ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	51,38,70,54	7,2,0,5	59,66,71,55	2,4,4,1	197	149	0.576024839422287	0.886158857500153	0.846,0.935,1.0,0.891	0.957,0.926,0.931,0.977	-0.03
1	2,6,4,2	40,48,80,45	2,6,6,4	57,73,56,44	178	149	0.59763850407094	0.893626376859767	0.04,0.095,0.04,0.036	0.029,0.064,0.082,0.071	-0.009
2	45,60,74,48	0,0,0,1	62,108,78,75	0,0,0,0	298	149	0.275862658063831	0.724691026238062	1.0,1.0,1.0,0.96	1.0,1.0,1.0,1.0	-0.01
3	28,32,63,13	25,30,36,35	35,52,41,42	31,30,37,38	256	149	0.392314054293955	0.771997676232614	0.395,0.383,0.505,0.178	0.397,0.502,0.392,0.391	-0.055
4	4,1,2,1	13,14,21,15	4,3,5,2	18,35,38,38	188	149	0.873042490262081	0.999202115572178	0.196,0.054,0.07,0.05	0.15,0.064,0.094,0.04	0.006
8	1572,1711,2955,2042	10,18,13,8	2181,2695,2265,2134	5,38,32,8	298	149	0.718978877302621	0.959729281600963	0.987,0.979,0.991,0.992	0.995,0.973,0.973,0.993	0.004
9	2814,3035,4808,3440	1892,2098,2858,2219	3868,4585,3822,3705	2086,2828,2617,2226	298	149	0.224493383383919	0.662190971389635	0.426,0.42,0.457,0.437	0.481,0.448,0.422,0.454	-0.016
10	46,69,74,80	0,0,0,0	63,87,82,46	0,0,2,0	242	149	0.256690936580678	0.701163206031812	1.0,1.0,1.0,1.0	1.0,1.0,0.962,1.0	0.01
11	0,0,1,0	2,5,14,13	1,1,0,0	11,12,6,9	176	149	0.564638499950127	0.879589616950131	0.0,0.0,0.057,0.0	0.071,0.066,0.0,0.0	-0.02
14	1,3,1,0	0,0,0,0	3,6,8,1	0,0,2,0	161	149	0.135502596085158	0.564957778908185	1.0,1.0,1.0,NA	1.0,1.0,0.787,1.0	0.053
15	0,0,0,0	51,65,123,53	0,1,0,0	82,90,121,91	151	149	0.177673504818312	0.604055131765161	0.0,0.0,0.0,0.0	0.0,0.011,0.0,0.0	-0.003
16	7,1,10,4	268,269,403,317	6,6,3,5	354,364,299,306	170	149	0.775139473426707	0.996394230830568	0.022,0.003,0.021,0.011	0.015,0.014,0.009,0.014	0.001
17	3,3,10,3	283,296,322,400	18,11,8,9	318,301,294,260	247	149	0.00352747648421781	0.216618990412608	0.006,0.006,0.018,0.005	0.033,0.022,0.016,0.02	-0.014
18	6,4,2,0	259,285,332,389	9,6,5,4	303,311,303,301	298	149	0.091687495007975	0.534291548475557	0.011,0.007,0.003,0.0	0.015,0.01,0.008,0.007	-0.005
19	178,192,217,217	39,40,38,54	152,201,176,174	37,63,47,48	167	149	0.0177127882821642	0.31842828860134	0.803,0.811,0.836,0.782	0.786,0.74,0.77,0.764	0.043
20	33,34,37,43	5,2,7,10	41,30,25,34	1,5,5,6	167	149	0.529293954566929	0.861046346058562	0.855,0.938,0.825,0.793	0.973,0.843,0.817,0.835	-0.014
21	2,1,1,1	56,50,85,41	1,6,1,2	52,80,83,61	162	149	0.48018579675407	0.827313698288907	0.032,0.018,0.011,0.022	0.017,0.065,0.011,0.029	-0.01
22	1,1,2,5	0,0,0,1	0,2,3,2	0,0,0,1	153	149	0.903462527844336	0.999202115572178	1.0,1.0,1.0,0.83	NA,1.0,1.0,0.661	0.071
23	12,18,18,14	2,4,2,2	11,18,11,11	8,5,7,6	153	149	0.00408842796825371	0.229960071748626	0.854,0.814,0.898,0.872	0.572,0.778,0.605,0.641	0.21
24	9,6,7,9	3,7,9,7	8,8,5,10	4,12,5,3	153	149	0.773725917293544	0.996093288524135	0.745,0.455,0.431,0.556	0.661,0.394,0.493,0.764	-0.031
25	3,7,13,7	7,6,4,3	4,11,3,3	1,4,3,4	153	149	0.682201467311223	0.939342463038189	0.294,0.532,0.76,0.694	0.796,0.728,0.493,0.422	-0.04
26	172,222,287,260	2,0,5,2	212,275,224,232	2,1,2,3	152	149	0.999202115572178	0.999202115572178	0.988,1.0,0.983,0.992	0.99,0.996,0.991,0.987	-0.0
27	337,374,545,465	6,5,19,9	379,471,430,380	10,7,9,11	152	149	0.925386324405206	0.999202115572178	0.982,0.987,0.966,0.981	0.974,0.985,0.979,0.971	0.002
