refseq_mrna	ensembl_transcript_id
NM_001001180	ENSMUST00000106052
NM_001002764	ENSMUST00000045281
NM_001007462	ENSMUST00000093059
NM_001007582	ENSMUST00000071886
NM_001008423	ENSMUST00000073251
NM_001011721	ENSMUST00000169373
NM_001011795	ENSMUST00000099620
NM_001012273	ENSMUST00000093906
NM_001013028	ENSMUST00000095383
NM_001013377	ENSMUST00000054538
NM_001013411	ENSMUST00000191234
NM_001013757	ENSMUST00000054530
NM_001013832	ENSMUST00000091648
NM_001018031	ENSMUST00000053013
NM_001025379	ENSMUST00000090180
NM_001031664	ENSMUST00000103006
NM_001033194	ENSMUST00000041638
NM_001033286	ENSMUST00000061093
NM_001033293	ENSMUST00000102925
NM_001033336	ENSMUST00000036554
NM_001033364	ENSMUST00000037145
NM_001033365	ENSMUST00000071419
NM_001033405	ENSMUST00000233092
NM_001033408	ENSMUST00000094698
NM_001033415	ENSMUST00000087241
NM_001033451	ENSMUST00000111333
NM_001033500	ENSMUST00000055879
NM_001033537	ENSMUST00000090827
NM_001033759	ENSMUST00000025663
NM_001033960	ENSMUST00000066055
NM_001034868	ENSMUST00000098433
NM_001035231	ENSMUST00000181892
NM_001037757	ENSMUST00000116556
NM_001037759	ENSMUST00000171265
NM_001037918	ENSMUST00000041621
NM_001037987	ENSMUST00000081769
NM_001038230	ENSMUST00000093140
NM_001039038	ENSMUST00000085027
NM_001039187	ENSMUST00000206687
NM_001039388	ENSMUST00000054251
NM_001040072	ENSMUST00000168479
NM_001040459	ENSMUST00000103005
NM_001040682	ENSMUST00000109936
NM_001042438	ENSMUST00000110168
NM_001044740	ENSMUST00000098816
NM_001077696	ENSMUST00000107152
NM_001080818	ENSMUST00000090464
NM_001080931	ENSMUST00000043624
NM_001080979	ENSMUST00000112157
NM_001081142	ENSMUST00000030376
NM_001081265	ENSMUST00000026975
NM_001081326	ENSMUST00000040603
NM_001081415	ENSMUST00000095228
NM_001081499	ENSMUST00000096313
NM_001081549	ENSMUST00000060005
NM_001081667	ENSMUST00000087157
NM_001081672	ENSMUST00000105032
NM_001083121	ENSMUST00000193703
NM_001083342	ENSMUST00000047720
NM_001098225	ENSMUST00000050166
NM_001098227	ENSMUST00000029912
NM_001105060	ENSMUST00000163803
NM_001109657	ENSMUST00000108680
NM_001110129	ENSMUST00000106321
NM_001110832	ENSMUST00000046719
NM_001111025	ENSMUST00000189013
NM_001111058	ENSMUST00000004728
NM_001111094	ENSMUST00000080254
NM_001115150	ENSMUST00000121416
NM_001123386	ENSMUST00000163595
NM_001142804	ENSMUST00000165067
NM_001142960	ENSMUST00000106822
NM_001143802	ENSMUST00000171394
NM_001145015	ENSMUST00000099133
NM_001145922	ENSMUST00000182061
NM_001159389	ENSMUST00000122922
NM_001159527	ENSMUST00000111113
NM_001159714	ENSMUST00000179769
NM_001160399	ENSMUST00000072835
NM_001161767	ENSMUST00000052069
NM_001161791	ENSMUST00000229725
NM_001162387	ENSMUST00000118557
NM_001162540	ENSMUST00000165870
NM_001163073	ENSMUST00000016026
NM_001163314	ENSMUST00000097739
NM_001163329	ENSMUST00000108372
NM_001163517	ENSMUST00000108221
NM_001163703	ENSMUST00000059851
NM_001164141	ENSMUST00000165569
NM_001164504	ENSMUST00000026494
NM_001164676	ENSMUST00000065871
NM_001164684	ENSMUST00000059256
NM_001165956	ENSMUST00000064718
NM_001166024	ENSMUST00000028691
NM_001166206	ENSMUST00000040941
NM_001166385	ENSMUST00000026367
NM_001167593	ENSMUST00000165133
NM_001167746	ENSMUST00000084803
NM_001170786	ENSMUST00000043735
NM_001170978	ENSMUST00000115839
NM_001172160	ENSMUST00000056760
NM_001173553	ENSMUST00000106491
NM_001174047	ENSMUST00000168532
NM_001177438	ENSMUST00000143380
NM_001177939	ENSMUST00000113778
NM_001195687	ENSMUST00000179944
NM_001198785	ENSMUST00000064307
NM_001199677	ENSMUST00000067935
NM_001200002	ENSMUST00000111820
NM_001242423	ENSMUST00000226145
NM_001243857	ENSMUST00000039064
NM_001252498	ENSMUST00000218995
NM_001252621	ENSMUST00000117377
NM_001253682	ENSMUST00000200048
NM_001253717	ENSMUST00000169310
NM_001256133	ENSMUST00000117812
NM_001267622	ENSMUST00000156290
NM_001276350	ENSMUST00000050542
NM_001281466	ENSMUST00000113130
NM_001281819	ENSMUST00000001963
NM_001284370	ENSMUST00000055833
NM_001285457	ENSMUST00000129100
NM_001285885	ENSMUST00000046751
NM_001285980	ENSMUST00000190131
NM_001286395	ENSMUST00000228489
NM_001287015	ENSMUST00000106535
NM_001289915	ENSMUST00000015540
NM_001290278	ENSMUST00000110849
NM_001290737	ENSMUST00000109254
NM_001290999	ENSMUST00000107759
NM_001291108	ENSMUST00000150602
NM_001291134	ENSMUST00000029180
NM_001301230	ENSMUST00000184146
NM_001301368	ENSMUST00000097921
NM_001301374	ENSMUST00000106364
NM_001301805	ENSMUST00000030782
NM_001302539	ENSMUST00000221807
NM_001302792	ENSMUST00000108387
NM_001302956	ENSMUST00000036187
NM_001305425	ENSMUST00000084125
NM_001305441	ENSMUST00000038569
NM_001308323	ENSMUST00000039577
NM_001310439	ENSMUST00000115388
NM_001310593	ENSMUST00000107558
NM_001311100	ENSMUST00000163047
NM_001311115	ENSMUST00000147250
NM_001312868	ENSMUST00000044234
NM_001313762	ENSMUST00000144099
NM_001313921	ENSMUST00000214397
NM_001313977	ENSMUST00000021527
NM_007474	ENSMUST00000098056
NM_007530	ENSMUST00000020979
NM_007557	ENSMUST00000009143
NM_007576	ENSMUST00000027657
NM_007646	ENSMUST00000030964
NM_007690	ENSMUST00000024627
NM_007777	ENSMUST00000087359
NM_007834	ENSMUST00000023615
NM_007966	ENSMUST00000031787
NM_008037	ENSMUST00000031017
NM_008137	ENSMUST00000025602
NM_008245	ENSMUST00000025944
NM_008250	ENSMUST00000048572
NM_008268	ENSMUST00000049272
NM_008341	ENSMUST00000020704
NM_008392	ENSMUST00000022722
NM_008415	ENSMUST00000050234
NM_008484	ENSMUST00000016315
NM_008504	ENSMUST00000020549
NM_008576	ENSMUST00000100167
NM_008599	ENSMUST00000113093
NM_008610	ENSMUST00000034187
NM_008625	ENSMUST00000028045
NM_008628	ENSMUST00000024967
NM_008663	ENSMUST00000107127
NM_008664	ENSMUST00000033842
NM_008682	ENSMUST00000020163
NM_008830	ENSMUST00000003717
NM_008899	ENSMUST00000178174
NM_008917	ENSMUST00000030412
NM_008994	ENSMUST00000071280
NM_009019	ENSMUST00000078494
NM_009034	ENSMUST00000035029
NM_009075	ENSMUST00000066134
NM_009135	ENSMUST00000042792
NM_009182	ENSMUST00000025477
NM_009207	ENSMUST00000080067
NM_009247	ENSMUST00000085054
NM_009278	ENSMUST00000166411
NM_009425	ENSMUST00000046383
NM_009428	ENSMUST00000040184
NM_009467	ENSMUST00000067790
NM_009504	ENSMUST00000023119
NM_009564	ENSMUST00000087971
NM_009567	ENSMUST00000108438
NM_009641	ENSMUST00000028955
NM_009648	ENSMUST00000107903
NM_009693	ENSMUST00000037811
NM_009715	ENSMUST00000112007
NM_009766	ENSMUST00000033464
NM_009826	ENSMUST00000027040
NM_009885	ENSMUST00000028161
NM_009894	ENSMUST00000001497
NM_009932	ENSMUST00000033899
NM_009962	ENSMUST00000037261
NM_009980	ENSMUST00000033269
NM_009989	ENSMUST00000028430
NM_010060	ENSMUST00000084806
NM_010101	ENSMUST00000087978
NM_010102	ENSMUST00000053646
NM_010103	ENSMUST00000043111
NM_010153	ENSMUST00000082059
NM_010169	ENSMUST00000059193
NM_010181	ENSMUST00000025497
NM_010236	ENSMUST00000028148
NM_010369	ENSMUST00000063359
NM_010456	ENSMUST00000048680
NM_010459	ENSMUST00000049241
NM_010464	ENSMUST00000001700
NM_010481	ENSMUST00000025217
NM_010547	ENSMUST00000114127
NM_010572	ENSMUST00000067841
NM_010659	ENSMUST00000007318
NM_010742	ENSMUST00000040404
NM_010770	ENSMUST00000020899
NM_010810	ENSMUST00000018767
NM_010895	ENSMUST00000041685
NM_010924	ENSMUST00000034808
NM_010939	ENSMUST00000075144
NM_010959	ENSMUST00000009798
NM_011109	ENSMUST00000030528
NM_011160	ENSMUST00000073581
NM_011198	ENSMUST00000035065
NM_011263	ENSMUST00000080359
NM_011347	ENSMUST00000162746
NM_011500	ENSMUST00000145910
NM_011658	ENSMUST00000049089
NM_011660	ENSMUST00000030051
NM_011677	ENSMUST00000102584
NM_011779	ENSMUST00000004646
NM_011782	ENSMUST00000023611
NM_011924	ENSMUST00000027690
NM_011932	ENSMUST00000029806
NM_011945	ENSMUST00000109267
NM_011947	ENSMUST00000002044
NM_012012	ENSMUST00000039725
NM_012021	ENSMUST00000025904
NM_012051	ENSMUST00000170036
NM_013476	ENSMUST00000052837
NM_013674	ENSMUST00000021784
NM_015737	ENSMUST00000161240
NM_016679	ENSMUST00000049567
NM_016700	ENSMUST00000111945
NM_016701	ENSMUST00000090973
NM_016751	ENSMUST00000014686
NM_018766	ENSMUST00000029084
NM_018773	ENSMUST00000204778
NM_018883	ENSMUST00000092937
NM_019389	ENSMUST00000159910
NM_019397	ENSMUST00000000412
NM_019485	ENSMUST00000055545
NM_019652	ENSMUST00000064314
NM_019755	ENSMUST00000033486
NM_019762	ENSMUST00000066873
NM_019783	ENSMUST00000121111
NM_019805	ENSMUST00000031422
NM_019828	ENSMUST00000103140
NM_019831	ENSMUST00000063577
NM_019918	ENSMUST00000029406
NM_019921	ENSMUST00000102650
NM_020493	ENSMUST00000015749
NM_020495	ENSMUST00000042812
NM_020596	ENSMUST00000095759
NM_021050	ENSMUST00000045706
NM_021308	ENSMUST00000048129
NM_021320	ENSMUST00000020204
NM_021458	ENSMUST00000131309
NM_021509	ENSMUST00000095784
NM_021552	ENSMUST00000073456
NM_021564	ENSMUST00000023587
NM_021600	ENSMUST00000073252
NM_021893	ENSMUST00000016640
NM_023197	ENSMUST00000106550
NM_023709	ENSMUST00000093033
NM_023738	ENSMUST00000035216
NM_023750	ENSMUST00000032802
NM_023842	ENSMUST00000124830
NM_024256	ENSMUST00000096243
NM_024480	ENSMUST00000116376
NM_025294	ENSMUST00000019075
NM_025315	ENSMUST00000032429
NM_025335	ENSMUST00000161568
NM_025400	ENSMUST00000103040
NM_025441	ENSMUST00000021368
NM_025664	ENSMUST00000002436
NM_025666	ENSMUST00000046404
NM_025725	ENSMUST00000060100
NM_025745	ENSMUST00000073192
NM_025833	ENSMUST00000055190
NM_025870	ENSMUST00000053583
NM_025990	ENSMUST00000028986
NM_025992	ENSMUST00000031817
NM_026063	ENSMUST00000025045
NM_026125	ENSMUST00000024338
NM_026147	ENSMUST00000138502
NM_026156	ENSMUST00000019614
NM_026171	ENSMUST00000027797
NM_026189	ENSMUST00000040677
NM_026246	ENSMUST00000007482
NM_026251	ENSMUST00000028665
NM_026403	ENSMUST00000019441
NM_026408	ENSMUST00000163742
NM_026460	ENSMUST00000039047
NM_026505	ENSMUST00000025075
NM_026756	ENSMUST00000105321
NM_026793	ENSMUST00000051809
NM_026805	ENSMUST00000058472
NM_026840	ENSMUST00000034004
NM_026913	ENSMUST00000027257
NM_026925	ENSMUST00000057270
NM_026935	ENSMUST00000023886
NM_026952	ENSMUST00000003203
NM_027083	ENSMUST00000021328
NM_027088	ENSMUST00000022458
NM_027107	ENSMUST00000021130
NM_027388	ENSMUST00000067058
NM_027661	ENSMUST00000062085
NM_027665	ENSMUST00000050342
NM_027807	ENSMUST00000034529
NM_027835	ENSMUST00000028259
NM_027893	ENSMUST00000006578
NM_027972	ENSMUST00000085894
NM_027975	ENSMUST00000029183
NM_028013	ENSMUST00000167549
NM_028315	ENSMUST00000042471
NM_028708	ENSMUST00000166163
NM_028763	ENSMUST00000109627
NM_028766	ENSMUST00000032183
NM_028892	ENSMUST00000164539
NM_028994	ENSMUST00000226519
NM_029078	ENSMUST00000119954
NM_029105	ENSMUST00000094193
NM_029231	ENSMUST00000019065
NM_029384	ENSMUST00000168578
NM_029823	ENSMUST00000058119
NM_029826	ENSMUST00000097522
NM_029850	ENSMUST00000031391
NM_030051	ENSMUST00000120645
NM_030137	ENSMUST00000102853
NM_030241	ENSMUST00000059580
NM_031163	ENSMUST00000023123
NM_052993	ENSMUST00000040159
NM_053099	ENSMUST00000025430
NM_053133	ENSMUST00000051163
NM_053176	ENSMUST00000023590
NM_053261	ENSMUST00000025403
NM_054096	ENSMUST00000177129
NM_080451	ENSMUST00000106426
NM_080793	ENSMUST00000037141
NM_080795	ENSMUST00000016664
NM_080858	ENSMUST00000033549
NM_133643	ENSMUST00000179308
NM_133685	ENSMUST00000070673
NM_134023	ENSMUST00000180088
NM_134050	ENSMUST00000021459
NM_134072	ENSMUST00000041768
NM_134234	ENSMUST00000072801
NM_134252	ENSMUST00000040210
NM_138302	ENSMUST00000023285
NM_138652	ENSMUST00000007340
NM_138953	ENSMUST00000001583
NM_139310	ENSMUST00000047025
NM_144548	ENSMUST00000118364
NM_144914	ENSMUST00000110832
NM_145123	ENSMUST00000048630
NM_145431	ENSMUST00000103213
NM_145442	ENSMUST00000021416
NM_145456	ENSMUST00000225197
NM_145523	ENSMUST00000028257
NM_145562	ENSMUST00000040576
NM_145588	ENSMUST00000032915
NM_145600	ENSMUST00000034147
NM_145684	ENSMUST00000019051
NM_145953	ENSMUST00000118539
NM_145962	ENSMUST00000018990
NM_145970	ENSMUST00000040383
NM_145990	ENSMUST00000144099
NM_146007	ENSMUST00000001181
NM_146108	ENSMUST00000044478
