refseq_ncrna	ensembl_transcript_id
NR_000040	ENSMUST00000219550
NR_001460	ENSMUST00000157463
NR_001461	ENSMUST00000185789
NR_002844	ENSMUST00000152916
NR_002847	ENSMUST00000172812
NR_002855	ENSMUST00000141681
NR_003247	ENSMUST00000205380
NR_003248	ENSMUST00000181706
NR_003364	ENSMUST00000156293
NR_003633	ENSMUST00000146701
NR_004853	ENSMUST00000174177
NR_015580	ENSMUST00000197977
NR_028110	ENSMUST00000216876
NR_028261	ENSMUST00000238468
NR_028391	ENSMUST00000148892
NR_030687	ENSMUST00020183253
NR_030721	ENSMUST00000123272
NR_033220	ENSMUST00000137180
NR_033310	ENSMUST00000116629
NR_033493	ENSMUST00000141256
NR_033559	ENSMUST00000159937
NR_033581	ENSMUST00000171054
NR_033657	ENSMUST00000181535
NR_036631	ENSMUST00000203365
NR_037690	ENSMUST00000167676
NR_037990	ENSMUST00000190488
NR_040284	ENSMUST00000154044
NR_040625	ENSMUST00000153878
NR_045010	ENSMUST00000146285
NR_045146	ENSMUST00000243517
NR_045369	ENSMUST00000161697
NR_045456	ENSMUST00000126591
NR_045527	ENSMUST00000235039
NR_045702	ENSMUST00000357000
NR_052009	ENSMUST00000212971
NR_102385	ENSMUST00000084038
NR_102399	ENSMUST00000111072
NR_104366	ENSMUST00000046751
NR_105062	ENSMUST00000205260
NR_110360	ENSMUST00000045243
NR_110432	ENSMUST00000109431
NR_126509	ENSMUST00000039782
NR_130895	ENSMUST00000029932
NR_130903	ENSMUST00000125633
NR_130959	ENSMUST00000143819
NR_131120	ENSMUST00000084125
NR_131195	ENSMUST00000247239
NR_131933	ENSMUST00000197016
NR_133670	ENSMUST00000209735
NR_137278	ENSMUST00000201604
NR_138478	ENSMUST00000222068
