ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,6,1,10	54,60,71,73	2,2,4,2	53,109,74,58	412	149
2	34,40,53,46	3,0,1,1	36,67,59,44	0,0,0,1	154	149
3	11,21,36,32	0,0,6,3	25,21,25,20	0,1,2,2	263	149
6	28,23,62,34	1,4,2,0	46,54,52,25	7,0,0,2	498	149
7	30,57,83,77	4,7,15,14	83,77,60,55	7,12,8,8	526	149
8	32,66,88,72	4,7,15,14	90,83,85,62	7,12,8,8	835	149
9	8,17,32,10	6,8,27,15	21,17,31,16	14,11,6,9	458	149
10	6,9,20,9	51,65,117,65	7,10,17,9	95,94,96,91	154	149
11	0,1,8,2	0,0,1,2	0,2,2,2	6,2,2,1	158	149
12	147,227,349,181	300,358,466,428	274,335,243,275	395,406,347,358	630	149
13	1,2,2,0	259,285,332,389	1,1,1,1	303,311,303,301	239	149
14	60,82,108,68	9,2,21,4	74,81,112,80	11,18,19,14	193	149
15	42,55,64,68	81,97,128,96	71,81,65,69	90,95,113,105	158	149
16	0,0,1,0	24,38,45,51	0,1,0,1	45,38,44,41	242	149
17	38,32,39,39	17,21,21,20	28,31,22,40	20,9,21,26	290	149
18	625,715,895,934	0,0,1,0	650,843,788,669	0,0,0,0	175	149
19	382,470,614,659	8,6,7,6	440,557,512,485	5,11,12,9	153	149
20	127,154,199,164	42,52,69,53	142,187,165,147	56,58,68,47	259	149
22	199,252,286,219	26,37,25,37	259,227,199,248	37,26,32,36	244	149
25	7522,10059,13466,9055	1149,1524,2173,1388	12525,10438,10914,10767	2150,1690,1836,1643	254	149
26	3752,5165,6701,4702	13,0,24,0	6256,5239,5636,5351	0,18,15,20	254	149
27	10,15,38,14	134,171,213,188	24,20,24,14	185,218,179,179	159	149
28	21,20,26,24	262,234,359,277	30,27,29,23	274,317,344,321	188	149
29	31,34,62,54	0,0,1,0	69,62,44,62	0,1,0,0	190	149
32	2,0,1,0	0,0,0,0	1,0,0,0	0,0,0,1	257	149
34	35,45,20,33	33,33,43,50	41,22,30,35	24,28,23,27	167	149
35	0,0,1,0	4,7,4,4	0,0,0,1	6,7,14,4	179	149
39	201,244,335,246	0,0,0,0	219,282,240,274	0,0,1,0	173	149
40	9,22,27,25	15,14,31,21	23,25,17,10	13,25,32,37	159	149
41	21,20,20,10	1,2,0,0	11,27,22,15	0,0,3,1	155	149
42	0,0,0,0	0,0,0,1	0,1,0,0	0,0,0,0	158	149
43	235,249,455,279	27,44,41,27	367,414,441,374	25,49,37,43	170	149
45	802,799,1373,921	14,14,13,23	1111,1144,1096,989	7,14,18,20	671	149
46	18,16,29,15	12,15,22,13	16,37,27,31	16,29,18,23	158	149
47	100,108,143,113	0,0,0,0	153,155,136,135	1,0,0,2	756	149
49	125,147,226,163	1,1,0,2	148,179,201,157	1,1,2,3	265	149
50	252,287,412,309	55,98,100,73	293,329,353,321	75,140,105,94	265	149
52	0,2,0,1	0,0,0,2	2,2,4,0	0,0,0,0	165	149
53	0,0,4,1	2,1,1,5	0,0,1,1	1,1,1,4	177	149
54	27,44,68,44	2,1,4,3	52,50,52,54	7,11,9,6	160	149
55	1741,1528,2692,2096	33,23,37,40	1894,1962,1784,1935	27,31,25,23	155	149
56	116,113,144,122	22,31,38,41	133,140,115,119	38,34,25,21	228	149
57	12,24,36,39	2,2,4,3	24,14,24,11	3,5,1,2	191	149
58	0,0,0,1	15,12,17,10	0,0,0,0	19,25,15,22	158	149
59	605,695,1066,761	0,0,1,0	828,1041,908,750	0,1,0,0	818	149
63	0,0,0,1	0,4,5,4	2,1,3,0	8,2,4,0	286	149
66	6,10,8,3	180,204,243,242	5,2,6,3	159,211,240,196	276	149
67	8,9,12,7	14,12,17,17	20,8,17,14	14,11,11,10	161	149
68	348,330,439,432	0,0,1,0	365,455,419,324	0,0,0,3	245	149
70	0,0,2,0	65,85,103,129	0,1,5,1	69,97,104,71	152	149
71	12,5,24,19	1,7,9,6	7,9,23,9	2,2,8,13	158	149
72	4,3,10,7	0,0,0,1	5,3,13,5	3,0,0,0	158	149
73	46,56,92,80	71,66,92,88	77,60,68,56	76,85,99,68	158	149
75	18,32,44,24	52,56,71,52	54,50,54,35	64,86,77,79	164	149
76	11,30,59,29	74,88,120,65	39,73,59,34	88,102,104,119	682	149
77	0,1,0,0	54,85,66,60	0,0,0,0	69,70,75,56	153	149
84	6,1,9,12	35,40,67,72	7,11,12,2	53,79,50,61	194	149
85	1307,1506,2158,1987	0,0,4,2	1586,1837,1730,1661	0,0,1,1	475	149
86	1302,1317,2089,1936	0,0,0,1	1572,1654,1435,1520	0,0,0,0	151	149
87	29,57,53,53	27,56,61,50	65,58,62,57	44,57,53,53	152	149
88	4,6,7,9	78,79,122,78	3,9,3,8	94,87,96,77	166	149
89	24,24,44,25	126,116,108,152	23,26,23,23	108,126,136,103	167	149
90	12,15,20,17	371,367,551,475	21,18,20,25	356,429,414,406	197	149
91	145,151,235,174	1,0,0,0	210,235,193,210	0,0,0,1	602	149
92	47,56,95,47	1,0,0,3	53,53,85,41	0,0,1,0	164	149
95	1,0,3,8	2,1,0,0	3,3,0,1	1,0,0,0	303	149
98	518,744,827,832	305,325,498,375	639,869,910,721	329,436,472,380	215	149
101	0,0,2,0	27,48,54,40	0,0,0,0	46,52,40,47	153	149
102	0,0,0,0	11,4,16,11	2,0,0,0	3,13,13,18	243	149
104	8,5,8,9	147,185,258,242	2,10,3,3	224,219,226,240	172	149
106	1,2,2,3	93,109,172,132	0,3,8,3	89,116,93,121	257	149
107	0,2,1,3	3,0,5,0	0,3,8,3	1,4,0,2	257	149
108	0,0,1,0	0,1,0,0	0,1,1,1	0,3,0,1	161	149
109	28,38,95,49	0,1,0,0	64,80,91,77	2,0,0,0	251	149
110	3,6,9,15	2,1,1,6	11,17,5,7	2,7,2,0	195	149
