ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	391,509,920,351	0,3,0,0	676,1093,958,775	0,0,0,0	1321	149
2	73,98,162,71	24,63,55,31	99,150,94,88	47,52,58,62	2606	149
4	13094,14874,23236,18251	106,131,212,116	19108,22414,18830,17163	182,165,184,148	1619	149
5	86,70,155,83	15,23,39,16	132,163,136,168	13,28,17,19	1016	149
6	54,103,141,87	3,1,7,6	82,113,141,90	5,11,11,11	296	149
7	0,0,1,2	71,83,149,119	0,2,2,0	87,136,115,104	254	149
8	70,103,127,46	73,82,97,109	110,93,112,99	100,112,127,115	509	149
9	35,42,67,47	242,308,346,380	85,73,83,53	337,316,258,270	475	149
10	930,948,1105,1351	2,10,5,11	1138,1054,1085,1076	4,10,8,6	356	149
11	4759,5498,8013,5787	0,0,0,0	7157,8176,7176,7110	0,1,0,0	3494	149
12	192,293,404,186	192,196,223,243	349,436,338,359	198,313,244,256	525	149
13	5,6,3,8	23,41,63,39	10,15,6,9	53,39,40,37	1015	149
14	2,3,0,2	25,23,39,41	0,0,0,2	53,42,43,26	373	149
15	4,8,16,1	33,26,44,42	3,10,1,3	56,43,24,38	323	149
16	476,583,958,437	48,46,61,53	883,1106,1038,911	60,52,34,60	3377	149
17	558,676,1092,500	20,16,29,27	1004,1278,1175,1032	28,23,32,20	3455	149
19	20,17,52,17	196,219,321,240	14,36,46,31	274,301,329,287	377	149
20	48,49,118,82	2,3,11,8	96,131,92,110	9,13,7,13	224	149
21	1370,1451,1869,1833	6,12,12,8	1521,1829,1746,1564	7,10,10,5	1576	149
22	30,35,46,18	52,66,69,68	44,69,32,50	81,71,69,65	589	149
24	183,182,390,194	152,152,213,146	353,414,508,391	183,204,203,169	2630	149
25	79,60,147,52	132,148,223,128	139,131,154,131	162,205,192,163	1987	149
26	62,108,170,98	1800,1925,2621,2834	170,144,161,136	2237,2444,2140,2178	454	149
27	25,71,94,56	1714,1858,2485,2646	94,59,85,54	2101,2297,2024,2063	334	149
28	237,389,601,340	2158,2397,3352,3548	537,599,457,442	2704,2776,2517,2575	367	149
29	4,2,1,5	0,0,1,4	1,7,3,5	0,1,0,1	244	149
30	13,12,11,7	306,328,417,431	22,10,19,23	293,420,392,335	454	149
31	41,40,98,35	2,1,1,0	76,125,108,74	5,0,2,3	343	149
32	50,51,116,38	108,136,146,134	89,151,127,82	131,157,150,153	413	149
35	27,47,62,27	19,38,61,27	64,71,96,75	39,38,37,43	527	149
36	25,45,68,25	16,22,36,35	62,110,65,77	20,20,34,27	289	149
37	8,7,25,9	22,22,36,33	14,27,32,24	48,41,54,48	283	149
38	413,502,955,367	2828,2777,4308,3596	758,955,1004,767	2773,3442,3226,2931	408	149
39	307,357,561,271	2512,2539,3939,3274	437,488,624,552	2705,3269,3065,2855	936	149
40	143,215,432,178	1879,1620,2797,2264	268,335,229,266	1988,2038,1852,1971	701	149
41	59,57,104,48	2338,2566,3235,4204	52,84,52,48	2511,3069,2887,2250	230	149
42	8,12,30,14	140,138,256,125	19,22,21,24	142,204,168,174	236	149
43	2,2,7,5	8,26,43,21	6,4,9,8	19,17,17,13	294	149
44	8,10,23,12	10,6,17,9	12,20,11,20	17,19,22,20	375	149
45	11,8,33,14	3,4,9,12	15,23,31,23	7,9,16,9	243	149
46	105,144,292,146	491,530,659,657	259,316,225,209	595,632,668,532	339	149
47	97,146,248,108	7,24,31,30	173,285,203,178	25,28,31,19	720	149
48	35,28,59,23	0,0,0,0	78,75,39,57	1,0,0,0	489	149
49	0,14,14,1	0,0,0,1	11,12,17,12	1,0,0,0	2460	149
50	1576,2161,3579,1562	7,5,9,10	3205,4257,3833,3088	14,12,12,10	3531	149
51	197,258,425,188	0,0,0,0	400,505,388,317	0,0,0,1	300	149
