IncLevel1	IncLevel2	IncLevelDifference
0.846,0.935,1.0,0.891	0.957,0.926,0.931,0.977	-0.03
0.04,0.095,0.04,0.036	0.029,0.064,0.082,0.071	-0.009
1.0,1.0,1.0,0.868	1.0,1.0,1.0,1.0	-0.033
0.395,0.383,0.505,0.178	0.397,0.502,0.392,0.391	-0.055
0.196,0.054,0.07,0.05	0.15,0.064,0.094,0.04	0.006
0.991,0.986,0.993,0.995	0.997,0.98,0.98,0.995	0.003
0.39,0.395,0.426,0.43	0.457,0.421,0.398,0.416	-0.013
1.0,1.0,1.0,1.0	1.0,1.0,0.962,1.0	0.01
0.0,0.0,0.057,0.0	0.071,0.066,0.0,0.0	-0.02
1.0,1.0,1.0,NA	1.0,1.0,0.787,1.0	0.053
0.0,0.0,0.0,0.0	0.0,0.011,0.0,0.0	-0.003
0.022,0.003,0.021,0.011	0.015,0.014,0.009,0.014	0.001
0.006,0.006,0.018,0.005	0.033,0.022,0.016,0.02	-0.014
0.015,0.008,0.003,0.0	0.014,0.008,0.01,0.007	-0.003
0.803,0.811,0.836,0.782	0.786,0.74,0.77,0.764	0.043
0.855,0.938,0.825,0.793	0.973,0.843,0.817,0.835	-0.014
0.032,0.018,0.011,0.022	0.017,0.065,0.011,0.029	-0.01
1.0,1.0,1.0,0.83	NA,1.0,1.0,0.661	0.071
0.854,0.814,0.898,0.872	0.572,0.778,0.605,0.641	0.21
0.745,0.455,0.431,0.556	0.661,0.394,0.493,0.764	-0.031
0.294,0.532,0.76,0.694	0.796,0.728,0.493,0.422	-0.04
0.988,1.0,0.983,0.992	0.99,0.996,0.991,0.987	-0.0
0.982,0.987,0.966,0.981	0.974,0.985,0.979,0.971	0.002
0.004,0.018,0.017,0.015	0.011,0.02,0.023,0.012	-0.003
1.0,1.0,1.0,1.0	1.0,0.997,1.0,1.0	0.001
0.173,0.369,0.327,0.467	0.196,0.594,0.268,1.0	-0.18
0.852,0.967,0.854,0.891	0.811,0.864,0.854,0.915	0.03
0.0,0.111,0.0,0.0	0.0,0.0,0.0,0.0	0.028
0.808,0.79,0.77,0.611	0.709,0.687,0.839,0.568	0.044
0.946,1.0,1.0,1.0	0.821,0.895,0.831,0.954	0.111
0.992,1.0,1.0,1.0	0.978,0.983,0.978,0.993	0.015
0.912,0.958,0.977,0.949	0.956,0.944,0.95,0.951	-0.001
1.0,1.0,1.0,1.0	0.829,1.0,1.0,1.0	0.043
1.0,1.0,0.978,1.0	1.0,0.968,0.962,1.0	0.012
0.464,0.602,0.516,0.538	0.743,0.412,0.479,0.423	0.016
0.83,0.904,0.888,0.648	0.854,0.55,0.814,0.667	0.096
0.957,0.941,0.96,0.964	0.954,0.957,0.956,0.949	0.001
0.0,NA,1.0,0.0	NA,0.0,NA,NA	0.333
0.558,1.0,0.702,0.627	0.894,0.91,1.0,0.871	-0.197
0.81,0.851,0.815,0.738	0.809,0.865,0.778,0.856	-0.023
0.656,0.627,0.72,0.53	0.724,0.771,0.689,0.656	-0.077
0.437,0.458,0.476,0.321	0.473,0.55,0.439,0.443	-0.053
0.464,0.355,0.285,0.391	0.241,0.344,0.42,0.411	0.02
0.718,0.752,0.708,0.78	0.599,0.858,0.562,0.675	0.066
0.746,1.0,1.0,1.0	NA,0.831,1.0,1.0	-0.007
0.0,0.002,0.001,0.001	0.0,0.002,0.0,0.002	0.0
0.014,0.003,0.008,0.0	0.006,0.02,0.016,0.021	-0.009
0.931,0.842,0.841,0.806	0.914,0.864,0.903,0.87	-0.033
0.831,0.738,0.708,0.727	0.717,0.656,0.636,0.72	0.069
0.865,0.801,0.678,0.885	0.924,0.885,0.763,1.0	-0.086
0.316,0.341,0.351,0.32	0.285,0.309,0.342,0.319	0.018
0.539,0.493,0.616,0.568	0.517,0.616,0.536,0.571	-0.006
0.522,0.551,0.609,0.625	0.656,0.573,0.537,0.577	-0.009
0.0,0.021,0.048,0.0	0.027,0.039,0.014,0.01	-0.005
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.977	0.006
0.96,1.0,0.959,1.0	0.914,1.0,1.0,1.0	0.001
1.0,0.934,1.0,1.0	1.0,0.931,1.0,0.957	0.012
0.013,0.0,0.0,0.005	0.0,0.0,0.006,0.006	0.001
0.991,0.991,1.0,0.993	0.978,0.98,1.0,0.986	0.008
0.065,0.057,0.081,0.015	0.085,0.101,0.087,0.047	-0.025
1.0,0.712,1.0,1.0	1.0,0.743,1.0,1.0	-0.008
0.0,0.016,0.031,0.0	0.008,0.009,0.054,0.019	-0.011
0.825,0.833,0.857,0.785	0.904,0.846,0.909,0.87	-0.057
0.0,0.0,0.016,0.0	0.009,0.0,0.019,0.0	-0.003
0.042,0.068,0.036,0.018	0.039,0.077,0.028,0.034	-0.003
0.993,0.991,0.994,0.993	0.991,0.994,0.993,0.995	-0.001
0.01,0.011,0.012,0.007	0.014,0.014,0.009,0.013	-0.002
1.0,1.0,0.948,1.0	0.983,1.0,1.0,1.0	-0.009
0.929,0.949,0.933,0.885	0.933,0.95,0.929,0.976	-0.023
0.712,0.669,0.738,0.743	0.707,0.6,0.658,0.696	0.05
0.293,0.229,0.287,0.237	0.205,0.294,0.245,0.257	0.011
0.307,0.288,0.321,0.469	0.386,0.344,0.363,0.356	-0.016
1.0,0.886,0.853,1.0	1.0,0.846,1.0,0.914	-0.005
1.0,1.0,1.0,1.0	0.925,1.0,1.0,0.955	0.03
1.0,1.0,1.0,1.0	0.852,0.918,1.0,1.0	0.057
0.333,0.0,0.122,0.094	0.217,0.0,0.065,0.0	0.067
1.0,0.968,0.962,1.0	0.984,0.907,1.0,1.0	0.01
0.0,0.016,0.006,0.0	0.0,0.0,0.0,0.0	0.005
0.0,0.662,0.595,1.0	0.662,1.0,0.495,1.0	-0.225
0.275,0.529,0.535,0.655	0.587,0.522,0.455,0.439	-0.002
0.026,0.015,0.0,0.005	0.006,0.04,0.0,0.023	-0.006
1.0,0.981,0.876,0.979	0.975,1.0,1.0,0.948	-0.022
0.853,1.0,1.0,0.903	1.0,1.0,1.0,1.0	-0.061
0.197,0.435,0.065,0.179	0.041,0.269,0.131,0.296	0.035
0.492,0.437,0.461,0.454	0.582,0.53,0.399,0.489	-0.039
0.385,0.559,0.448,0.485	0.565,0.539,0.48,0.447	-0.038
0.629,0.497,1.0,0.717	0.629,0.297,0.458,0.604	0.214
1.0,0.974,0.988,0.983	1.0,0.977,0.995,0.957	0.004
0.442,0.564,0.393,0.481	0.776,0.531,0.531,0.27	-0.057
0.155,0.195,0.174,0.23	0.24,0.234,0.219,0.085	-0.006
0.956,1.0,0.974,1.0	0.925,0.974,0.989,1.0	0.01
0.0,0.0,0.003,0.0	0.0,0.004,0.008,0.025	-0.009
1.0,0.944,0.846,0.951	0.949,0.821,1.0,0.848	0.031
NA,1.0,0.326,0.659	0.0,NA,0.0,1.0	0.328
1.0,1.0,0.62,0.0	0.765,1.0,0.817,1.0	-0.24
1.0,1.0,0.77,0.0	1.0,1.0,1.0,0.677	-0.227
1.0,1.0,1.0,0.0	1.0,0.854,1.0,1.0	-0.214
0.326,0.708,0.392,1.0	1.0,0.0,0.244,1.0	0.046
1.0,1.0,1.0,1.0	1.0,1.0,0.946,1.0	0.014
1.0,1.0,1.0,1.0	1.0,1.0,0.985,1.0	0.004
0.029,0.02,0.023,0.02	0.023,0.016,0.02,0.014	0.005
1.0,0.999,1.0,1.0	0.999,1.0,1.0,1.0	0.0
0.991,1.0,1.0,0.992	1.0,1.0,1.0,1.0	-0.004
0.531,0.482,0.478,0.425	0.48,0.57,0.552,0.422	-0.027
0.266,0.212,0.166,0.238	0.222,0.197,0.286,0.248	-0.018
0.883,0.897,0.894,0.943	0.925,0.919,0.88,0.872	0.005
0.993,0.981,0.972,1.0	1.0,0.988,0.994,0.988	-0.006
0.98,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.005
0.562,0.59,0.421,0.472	0.486,0.444,0.453,0.463	0.05
1.0,0.964,0.967,1.0	1.0,1.0,0.829,1.0	0.026
0.965,1.0,0.981,0.983	0.988,0.969,0.935,0.951	0.021
1.0,1.0,0.984,0.958	1.0,0.969,0.98,1.0	-0.002
0.918,0.983,0.98,0.968	0.961,0.966,0.983,0.959	-0.005
1.0,1.0,0.952,1.0	1.0,1.0,1.0,1.0	-0.012
0.991,0.997,0.98,1.0	0.959,0.998,1.0,0.997	0.004
0.004,0.0,0.015,0.009	0.007,0.002,0.0,0.0	0.005
NA,1.0,1.0,1.0	1.0,1.0,0.574,1.0	0.107
1.0,0.395,0.567,0.395	1.0,0.0,0.0,1.0	0.089
1.0,1.0,1.0,1.0	0.973,1.0,1.0,1.0	0.007
0.962,0.771,0.823,0.785	0.898,0.847,0.903,0.813	-0.03
0.746,1.0,0.495,0.662	NA,0.395,0.495,0.395	0.297
0.0,0.0,0.0,0.0	0.0,0.114,0.0,0.0	-0.029
0.83,1.0,1.0,1.0	1.0,0.946,1.0,1.0	-0.029
0.981,0.971,0.96,0.99	0.967,0.941,0.984,0.986	0.006
0.953,0.983,0.988,0.98	1.0,0.929,0.974,0.941	0.015
NA,0.0,NA,NA	NA,NA,NA,1.0	-1.0
0.683,0.733,0.907,0.766	0.558,0.849,0.648,0.839	0.049
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.715	0.071
0.966,0.799,0.889,0.887	0.882,0.838,0.858,0.88	0.021
0.921,0.968,0.955,0.959	0.974,0.961,0.951,0.923	-0.002
0.329,0.887,0.731,0.755	0.855,0.826,0.761,0.641	-0.095
1.0,0.945,1.0,1.0	1.0,0.945,1.0,1.0	0.0
