ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	0,6,1,10	54,60,71,73	2,2,4,2	53,109,74,58	412	149	0.597927461274285	0.851201187349553
2	34,40,53,46	3,0,1,1	36,67,59,44	0,0,0,1	154	149	0.110550742411061	0.506578927740333
3	11,21,36,32	0,0,6,3	25,21,25,20	0,1,2,2	263	149	0.999202115572178	0.999202115572178
6	28,23,62,34	1,4,2,0	46,54,52,25	7,0,0,2	498	149	0.46462378604131	0.760939125207388
7	30,57,83,77	4,7,15,14	83,77,60,55	7,12,8,8	526	149	0.322171547688999	0.672561360740225
8	32,66,88,72	4,7,15,14	90,83,85,62	7,12,8,8	835	149	0.134221891730789	0.517602265846814
9	8,17,32,10	6,8,27,15	21,17,31,16	14,11,6,9	458	149	0.0853180542836686	0.463773906847634
10	6,9,20,9	51,65,117,65	7,10,17,9	95,94,96,91	154	149	0.262201377365841	0.656103289046786
11	0,1,8,2	0,0,1,2	0,2,2,2	6,2,2,1	158	149	0.178498054530712	0.564357737242662
12	147,227,349,181	300,358,466,428	274,335,243,275	395,406,347,358	630	149	0.00521310356281823	0.194821401005419
13	1,2,2,0	259,285,332,389	1,1,1,1	303,311,303,301	239	149	0.999202115572178	0.999202115572178
14	60,82,108,68	9,2,21,4	74,81,112,80	11,18,19,14	193	149	0.0262045427399183	0.309999740613234
15	42,55,64,68	81,97,128,96	71,81,65,69	90,95,113,105	158	149	0.0658156641011745	0.422159334814286
16	0,0,1,0	24,38,45,51	0,1,0,1	45,38,44,41	242	149	0.44045561590476	0.748647979332372
17	38,32,39,39	17,21,21,20	28,31,22,40	20,9,21,26	290	149	0.487916941073474	0.773267705269153
18	625,715,895,934	0,0,1,0	650,843,788,669	0,0,0,0	175	149	0.322502252428434	0.672561360740225
19	382,470,614,659	8,6,7,6	440,557,512,485	5,11,12,9	153	149	0.0934217860152211	0.482948449115661
20	127,154,199,164	42,52,69,53	142,187,165,147	56,58,68,47	259	149	0.421330407079074	0.729295718512387
22	199,252,286,219	26,37,25,37	259,227,199,248	37,26,32,36	244	149	0.603010145926929	0.854836432152854
25	7522,10059,13466,9055	1149,1524,2173,1388	12525,10438,10914,10767	2150,1690,1836,1643	254	149	0.0726606882522158	0.438914971698658
26	3752,5165,6701,4702	13,0,24,0	6256,5239,5636,5351	0,18,15,20	254	149	0.745000984132024	0.956301852656621
27	10,15,38,14	134,171,213,188	24,20,24,14	185,218,179,179	159	149	0.776747195641883	0.96924814436466
28	21,20,26,24	262,234,359,277	30,27,29,23	274,317,344,321	188	149	0.548823200393543	0.817062670131687
29	31,34,62,54	0,0,1,0	69,62,44,62	0,1,0,0	190	149	0.999202115572178	0.999202115572178
32	2,0,1,0	0,0,0,0	1,0,0,0	0,0,0,1	257	149	0.999202115572178	0.999202115572178
34	35,45,20,33	33,33,43,50	41,22,30,35	24,28,23,27	167	149	0.0804751350034478	0.455512367029085
35	0,0,1,0	4,7,4,4	0,0,0,1	6,7,14,4	179	149	0.785375819931569	0.971861501024107
39	201,244,335,246	0,0,0,0	219,282,240,274	0,0,1,0	173	149	0.15294089864825	0.540086815226508
40	9,22,27,25	15,14,31,21	23,25,17,10	13,25,32,37	159	149	0.348682123062287	0.681533448655768
41	21,20,20,10	1,2,0,0	11,27,22,15	0,0,3,1	155	149	0.828445292626937	0.999202115572178
42	0,0,0,0	0,0,0,1	0,1,0,0	0,0,0,0	158	149	NA	NA
43	235,249,455,279	27,44,41,27	367,414,441,374	25,49,37,43	170	149	0.205137792642734	0.598715319373678
45	802,799,1373,921	14,14,13,23	1111,1144,1096,989	7,14,18,20	671	149	0.390362773413396	0.705561330028971
46	18,16,29,15	12,15,22,13	16,37,27,31	16,29,18,23	158	149	0.868218830695682	0.999202115572178
47	100,108,143,113	0,0,0,0	153,155,136,135	1,0,0,2	756	149	0.0092040607419257	0.197957935506325
49	125,147,226,163	1,1,0,2	148,179,201,157	1,1,2,3	265	149	0.415085172681741	0.725862171888396
50	252,287,412,309	55,98,100,73	293,329,353,321	75,140,105,94	265	149	0.023234071914043	0.307557574640523
52	0,2,0,1	0,0,0,2	2,2,4,0	0,0,0,0	165	149	0.996267030367414	0.999202115572178
53	0,0,4,1	2,1,1,5	0,0,1,1	1,1,1,4	177	149	0.685126587109963	0.912773530376992
54	27,44,68,44	2,1,4,3	52,50,52,54	7,11,9,6	160	149	0.00230004843512521	0.153786169477466
55	1741,1528,2692,2096	33,23,37,40	1894,1962,1784,1935	27,31,25,23	155	149	0.159730129664865	0.545667621699867
56	116,113,144,122	22,31,38,41	133,140,115,119	38,34,25,21	228	149	0.294894890057927	0.670872231426987
57	12,24,36,39	2,2,4,3	24,14,24,11	3,5,1,2	191	149	0.432392963445618	0.739726501455049
