IncLevel1	IncLevel2	IncLevelDifference
0.481,0.414,0.385,0.497	0.356,0.425,0.384,0.393	0.055
0.408,0.432,0.424,0.411	0.316,0.448,0.435,0.404	0.018
0.35,0.344,0.386,0.334	0.36,0.312,0.4,0.371	-0.007
0.325,0.399,0.439,0.37	0.396,0.372,0.441,0.454	-0.033
0.936,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.016
0.0,NA,1.0,NA	1.0,NA,1.0,NA	-0.5
0.62,0.64,0.596,0.607	0.645,0.536,0.607,0.615	0.015
0.017,0.034,0.027,0.031	0.017,0.017,0.012,0.019	0.011
0.0,0.0,0.375,0.44	0.0,0.189,0.116,0.046	0.116
0.929,0.929,0.929,0.94	0.928,0.915,0.941,0.914	0.007
0.987,0.988,0.989,0.992	0.993,0.991,0.993,0.991	-0.003
0.534,0.518,0.532,0.531	0.52,0.535,0.533,0.527	0.0
0.713,0.732,0.73,0.767	0.706,0.73,0.747,0.722	0.009
0.57,0.586,0.586,0.591	0.602,0.596,0.573,0.602	-0.01
0.982,0.977,0.974,0.98	0.967,0.98,0.974,0.976	0.004
0.335,0.42,0.476,0.43	0.259,0.302,0.527,0.312	0.065
0.592,0.62,0.633,0.581	0.596,0.645,0.619,0.594	-0.007
0.049,0.049,0.073,0.123	0.069,0.101,0.067,0.06	-0.001
0.095,0.017,0.129,0.16	0.043,0.093,0.068,0.089	0.027
0.374,0.417,0.41,0.472	0.487,0.485,0.409,0.392	-0.025
0.75,0.739,0.753,0.779	0.776,0.767,0.772,0.771	-0.016
1.0,1.0,1.0,1.0	0.967,1.0,1.0,0.953	0.02
0.497,0.546,0.532,0.483	0.476,0.529,0.528,0.539	-0.003
0.433,0.346,0.376,0.423	0.413,0.331,0.39,0.374	0.017
0.469,0.53,0.537,0.495	0.488,0.494,0.418,0.438	0.048
0.211,0.278,0.265,0.288	0.255,0.262,0.274,0.318	-0.017
0.005,0.029,0.027,0.032	0.025,0.035,0.036,0.034	-0.009
0.367,0.363,0.338,0.38	0.333,0.35,0.354,0.351	0.015
0.519,0.599,0.486,0.392	0.5,0.444,0.511,0.397	0.036
0.744,1.0,0.858,0.795	0.708,0.853,0.805,0.788	0.061
0.042,0.038,0.075,0.068	0.09,0.031,0.025,0.074	0.001
0.516,0.579,0.387,0.575	0.561,0.515,0.574,0.607	-0.05
0.514,0.6,0.688,0.682	0.529,0.571,0.54,0.692	0.038
1.0,1.0,0.99,1.0	0.967,1.0,1.0,1.0	0.006
