ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	391,509,920,351	0,3,0,0	676,1093,958,775	0,0,0,0	1321	149	0.308630921064443	0.526203127188342	1.0,0.95,1.0,1.0	1.0,1.0,1.0,1.0	-0.012
2	73,98,162,71	24,63,55,31	99,150,94,88	47,52,58,62	2606	149	0.324197875851883	0.539535190449579	0.148,0.082,0.144,0.116	0.107,0.142,0.085,0.075	0.02
4	13094,14874,23236,18251	106,131,212,116	19108,22414,18830,17163	182,165,184,148	1619	149	0.337203049871958	0.548014215521773	0.919,0.913,0.91,0.935	0.906,0.926,0.904,0.914	0.007
5	86,70,155,83	15,23,39,16	132,163,136,168	13,28,17,19	1016	149	0.0023295514969025	0.0405879972861405	0.457,0.309,0.368,0.432	0.598,0.461,0.54,0.565	-0.149
6	54,103,141,87	3,1,7,6	82,113,141,90	5,11,11,11	296	149	0.0139486814630119	0.0891402796553888	0.901,0.981,0.91,0.88	0.892,0.838,0.866,0.805	0.068
7	0,0,1,2	71,83,149,119	0,2,2,0	87,136,115,104	254	149	0.623852652621375	0.799992353408713	0.0,0.0,0.004,0.01	0.0,0.009,0.01,0.0	-0.001
8	70,103,127,46	73,82,97,109	110,93,112,99	100,112,127,115	509	149	0.999202115572178	0.999202115572178	0.219,0.269,0.277,0.11	0.244,0.196,0.205,0.201	0.007
9	35,42,67,47	242,308,346,380	85,73,83,53	337,316,258,270	475	149	0.000803953130453006	0.0243590017560479	0.043,0.041,0.057,0.037	0.073,0.068,0.092,0.058	-0.028
10	930,948,1105,1351	2,10,5,11	1138,1054,1085,1076	4,10,8,6	356	149	0.999202115572178	0.999202115572178	0.995,0.975,0.989,0.981	0.992,0.978,0.983,0.987	0.0
11	4759,5498,8013,5787	0,0,0,0	7157,8176,7176,7110	0,1,0,0	3494	149	0.0897407000909783	0.270817490496775	1.0,1.0,1.0,1.0	1.0,0.997,1.0,1.0	0.001
12	192,293,404,186	192,196,223,243	349,436,338,359	198,313,244,256	525	149	0.138748473347865	0.337368714066966	0.221,0.298,0.34,0.178	0.333,0.283,0.282,0.285	-0.036
13	5,6,3,8	23,41,63,39	10,15,6,9	53,39,40,37	1015	149	0.0647618184197043	0.219591883680296	0.031,0.021,0.007,0.029	0.027,0.053,0.022,0.034	-0.012
14	2,3,0,2	25,23,39,41	0,0,0,2	53,42,43,26	373	149	0.0477041868740764	0.183648727723532	0.031,0.05,0.0,0.019	0.0,0.0,0.0,0.03	0.018
15	4,8,16,1	33,26,44,42	3,10,1,3	56,43,24,38	323	149	0.36198428901332	0.569941639976914	0.053,0.124,0.144,0.011	0.024,0.097,0.019,0.035	0.039
16	476,583,958,437	48,46,61,53	883,1106,1038,911	60,52,34,60	3377	149	0.00123402016924357	0.0307486126574819	0.304,0.359,0.409,0.267	0.394,0.484,0.574,0.401	-0.129
17	558,676,1092,500	20,16,29,27	1004,1278,1175,1032	28,23,32,20	3455	149	0.0451559958709532	0.178261169746379	0.546,0.646,0.619,0.444	0.607,0.706,0.613,0.69	-0.09
19	20,17,52,17	196,219,321,240	14,36,46,31	274,301,329,287	377	149	0.999202115572178	0.999202115572178	0.039,0.03,0.06,0.027	0.02,0.045,0.052,0.041	-0.001
20	48,49,118,82	2,3,11,8	96,131,92,110	9,13,7,13	224	149	0.335571073234598	0.54706544712195	0.941,0.916,0.877,0.872	0.876,0.87,0.897,0.849	0.028
21	1370,1451,1869,1833	6,12,12,8	1521,1829,1746,1564	7,10,10,5	1576	149	0.420620565023583	0.625052513552185	0.956,0.92,0.936,0.956	0.954,0.945,0.943,0.967	-0.01
22	30,35,46,18	52,66,69,68	44,69,32,50	81,71,69,65	589	149	0.169161237738857	0.374443293968	0.127,0.118,0.144,0.063	0.121,0.197,0.105,0.163	-0.033
24	183,182,390,194	152,152,213,146	353,414,508,391	183,204,203,169	2630	149	0.000202314191918851	0.0160268475650927	0.064,0.064,0.094,0.07	0.099,0.103,0.124,0.116	-0.037
25	79,60,147,52	132,148,223,128	139,131,154,131	162,205,192,163	1987	149	0.002095750292464	0.039139203374682	0.043,0.03,0.047,0.03	0.06,0.046,0.057,0.057	-0.018
26	62,108,170,98	1800,1925,2621,2834	170,144,161,136	2237,2444,2140,2178	454	149	0.00614200414490207	0.05958413599946	0.011,0.018,0.021,0.011	0.024,0.019,0.024,0.02	-0.007
27	25,71,94,56	1714,1858,2485,2646	94,59,85,54	2101,2297,2024,2063	334	149	0.291349564419162	0.509205545020877	0.006,0.017,0.017,0.009	0.02,0.011,0.018,0.012	-0.003
28	237,389,601,340	2158,2397,3352,3548	537,599,457,442	2704,2776,2517,2575	367	149	0.00267803105911268	0.0431827153323998	0.043,0.062,0.068,0.037	0.075,0.081,0.069,0.065	-0.02
29	4,2,1,5	0,0,1,4	1,7,3,5	0,1,0,1	244	149	0.326412399054923	0.539831344335198	1.0,1.0,0.379,0.433	1.0,0.81,1.0,0.753	-0.188
30	13,12,11,7	306,328,417,431	22,10,19,23	293,420,392,335	454	149	0.0729044683348622	0.237991028843132	0.014,0.012,0.009,0.005	0.024,0.008,0.016,0.022	-0.008
31	41,40,98,35	2,1,1,0	76,125,108,74	5,0,2,3	343	149	0.79057387042494	0.914479826266668	0.899,0.946,0.977,1.0	0.868,1.0,0.959,0.915	0.02
32	50,51,116,38	108,136,146,134	89,151,127,82	131,157,150,153	413	149	0.0217843394942775	0.115785256490132	0.143,0.119,0.223,0.093	0.197,0.258,0.234,0.162	-0.068
35	27,47,62,27	19,38,61,27	64,71,96,75	39,38,37,43	527	149	0.00353121443507676	0.0459178331511593	0.287,0.259,0.223,0.22	0.317,0.346,0.423,0.33	-0.107
36	25,45,68,25	16,22,36,35	62,110,65,77	20,20,34,27	289	149	0.0179727562284144	0.102121351289485	0.446,0.513,0.493,0.269	0.615,0.739,0.496,0.595	-0.181
37	8,7,25,9	22,22,36,33	14,27,32,24	48,41,54,48	283	149	0.403481394617714	0.608808593212062	0.161,0.143,0.268,0.126	0.133,0.257,0.238,0.208	-0.034
38	413,502,955,367	2828,2777,4308,3596	758,955,1004,767	2773,3442,3226,2931	408	149	3.02059403808341e-05	0.0112439248630667	0.051,0.062,0.075,0.036	0.091,0.092,0.102,0.087	-0.037
39	307,357,561,271	2512,2539,3939,3274	437,488,624,552	2705,3269,3065,2855	936	149	0.0047778254781079	0.0531826803218896	0.019,0.022,0.022,0.013	0.025,0.023,0.031,0.03	-0.008
40	143,215,432,178	1879,1620,2797,2264	268,335,229,266	1988,2038,1852,1971	701	149	0.0780191893465498	0.248961238112075	0.016,0.027,0.032,0.016	0.028,0.034,0.026,0.028	-0.006
41	59,57,104,48	2338,2566,3235,4204	52,84,52,48	2511,3069,2887,2250	230	149	0.930306188852372	0.999202115572178	0.016,0.014,0.02,0.007	0.013,0.017,0.012,0.014	0.0
42	8,12,30,14	140,138,256,125	19,22,21,24	142,204,168,174	236	149	0.113522296763356	0.306266307843755	0.035,0.052,0.069,0.066	0.078,0.064,0.073,0.08	-0.018
43	2,2,7,5	8,26,43,21	6,4,9,8	19,17,17,13	294	149	0.0146049776545296	0.0916099753110911	0.112,0.038,0.076,0.108	0.138,0.107,0.212,0.238	-0.09
44	8,10,23,12	10,6,17,9	12,20,11,20	17,19,22,20	375	149	0.0589332854644518	0.207604154761934	0.241,0.398,0.35,0.346	0.219,0.295,0.166,0.284	0.093
45	11,8,33,14	3,4,9,12	15,23,31,23	7,9,16,9	243	149	0.888034981123447	0.976478950903353	0.692,0.551,0.692,0.417	0.568,0.61,0.543,0.61	0.005
46	105,144,292,146	491,530,659,657	259,316,225,209	595,632,668,532	339	149	0.00984205227292956	0.0728365503359037	0.086,0.107,0.163,0.089	0.161,0.18,0.129,0.147	-0.043
47	97,146,248,108	7,24,31,30	173,285,203,178	25,28,31,19	720	149	0.266932871960421	0.488208538885187	0.741,0.557,0.623,0.427	0.589,0.678,0.575,0.66	-0.038
48	35,28,59,23	0,0,0,0	78,75,39,57	1,0,0,0	489	149	0.11482480258855	0.307063965707859	1.0,1.0,1.0,1.0	0.96,1.0,1.0,1.0	0.01
49	0,14,14,1	0,0,0,1	11,12,17,12	1,0,0,0	2460	149	0.398188176366208	0.604515979323992	NA,1.0,1.0,0.057	0.4,1.0,1.0,1.0	-0.164
50	1576,2161,3579,1562	7,5,9,10	3205,4257,3833,3088	14,12,12,10	3531	149	0.838572751103906	0.94544787705731	0.905,0.948,0.944,0.868	0.906,0.937,0.931,0.929	-0.01
