ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	391,509,920,351	0,3,0,0	676,1093,958,775	0,0,0,0	1321	149	0.308630921064443	0.526203127188342
2	73,98,162,71	24,63,55,31	99,150,94,88	47,52,58,62	2606	149	0.324197875851883	0.539535190449579
4	13094,14874,23236,18251	106,131,212,116	19108,22414,18830,17163	182,165,184,148	1619	149	0.337203049871958	0.548014215521773
5	86,70,155,83	15,23,39,16	132,163,136,168	13,28,17,19	1016	149	0.0023295514969025	0.0405879972861405
6	54,103,141,87	3,1,7,6	82,113,141,90	5,11,11,11	296	149	0.0139486814630119	0.0891402796553888
7	0,0,1,2	71,83,149,119	0,2,2,0	87,136,115,104	254	149	0.623852652621375	0.799992353408713
8	70,103,127,46	73,82,97,109	110,93,112,99	100,112,127,115	509	149	0.999202115572178	0.999202115572178
9	35,42,67,47	242,308,346,380	85,73,83,53	337,316,258,270	475	149	0.000803953130453006	0.0243590017560479
10	930,948,1105,1351	2,10,5,11	1138,1054,1085,1076	4,10,8,6	356	149	0.999202115572178	0.999202115572178
11	4759,5498,8013,5787	0,0,0,0	7157,8176,7176,7110	0,1,0,0	3494	149	0.0897407000909783	0.270817490496775
12	192,293,404,186	192,196,223,243	349,436,338,359	198,313,244,256	525	149	0.138748473347865	0.337368714066966
13	5,6,3,8	23,41,63,39	10,15,6,9	53,39,40,37	1015	149	0.0647618184197043	0.219591883680296
14	2,3,0,2	25,23,39,41	0,0,0,2	53,42,43,26	373	149	0.0477041868740764	0.183648727723532
15	4,8,16,1	33,26,44,42	3,10,1,3	56,43,24,38	323	149	0.36198428901332	0.569941639976914
16	476,583,958,437	48,46,61,53	883,1106,1038,911	60,52,34,60	3377	149	0.00123402016924357	0.0307486126574819
17	558,676,1092,500	20,16,29,27	1004,1278,1175,1032	28,23,32,20	3455	149	0.0451559958709532	0.178261169746379
19	20,17,52,17	196,219,321,240	14,36,46,31	274,301,329,287	377	149	0.999202115572178	0.999202115572178
20	48,49,118,82	2,3,11,8	96,131,92,110	9,13,7,13	224	149	0.335571073234598	0.54706544712195
21	1370,1451,1869,1833	6,12,12,8	1521,1829,1746,1564	7,10,10,5	1576	149	0.420620565023583	0.625052513552185
22	30,35,46,18	52,66,69,68	44,69,32,50	81,71,69,65	589	149	0.169161237738857	0.374443293968
24	183,182,390,194	152,152,213,146	353,414,508,391	183,204,203,169	2630	149	0.000202314191918851	0.0160268475650927
25	79,60,147,52	132,148,223,128	139,131,154,131	162,205,192,163	1987	149	0.002095750292464	0.039139203374682
26	62,108,170,98	1800,1925,2621,2834	170,144,161,136	2237,2444,2140,2178	454	149	0.00614200414490207	0.05958413599946
27	25,71,94,56	1714,1858,2485,2646	94,59,85,54	2101,2297,2024,2063	334	149	0.291349564419162	0.509205545020877
28	237,389,601,340	2158,2397,3352,3548	537,599,457,442	2704,2776,2517,2575	367	149	0.00267803105911268	0.0431827153323998
29	4,2,1,5	0,0,1,4	1,7,3,5	0,1,0,1	244	149	0.326412399054923	0.539831344335198
30	13,12,11,7	306,328,417,431	22,10,19,23	293,420,392,335	454	149	0.0729044683348622	0.237991028843132
31	41,40,98,35	2,1,1,0	76,125,108,74	5,0,2,3	343	149	0.79057387042494	0.914479826266668
32	50,51,116,38	108,136,146,134	89,151,127,82	131,157,150,153	413	149	0.0217843394942775	0.115785256490132
