IncLevel1	IncLevel2	IncLevelDifference
1.0,0.95,1.0,1.0	1.0,1.0,1.0,1.0	-0.012
0.148,0.082,0.144,0.116	0.107,0.142,0.085,0.075	0.02
0.919,0.913,0.91,0.935	0.906,0.926,0.904,0.914	0.007
0.457,0.309,0.368,0.432	0.598,0.461,0.54,0.565	-0.149
0.901,0.981,0.91,0.88	0.892,0.838,0.866,0.805	0.068
0.0,0.0,0.004,0.01	0.0,0.009,0.01,0.0	-0.001
0.219,0.269,0.277,0.11	0.244,0.196,0.205,0.201	0.007
0.043,0.041,0.057,0.037	0.073,0.068,0.092,0.058	-0.028
0.995,0.975,0.989,0.981	0.992,0.978,0.983,0.987	0.0
1.0,1.0,1.0,1.0	1.0,0.997,1.0,1.0	0.001
0.221,0.298,0.34,0.178	0.333,0.283,0.282,0.285	-0.036
0.031,0.021,0.007,0.029	0.027,0.053,0.022,0.034	-0.012
0.031,0.05,0.0,0.019	0.0,0.0,0.0,0.03	0.018
0.053,0.124,0.144,0.011	0.024,0.097,0.019,0.035	0.039
0.304,0.359,0.409,0.267	0.394,0.484,0.574,0.401	-0.129
0.546,0.646,0.619,0.444	0.607,0.706,0.613,0.69	-0.09
0.039,0.03,0.06,0.027	0.02,0.045,0.052,0.041	-0.001
0.941,0.916,0.877,0.872	0.876,0.87,0.897,0.849	0.028
0.956,0.92,0.936,0.956	0.954,0.945,0.943,0.967	-0.01
0.127,0.118,0.144,0.063	0.121,0.197,0.105,0.163	-0.033
0.064,0.064,0.094,0.07	0.099,0.103,0.124,0.116	-0.037
0.043,0.03,0.047,0.03	0.06,0.046,0.057,0.057	-0.018
0.011,0.018,0.021,0.011	0.024,0.019,0.024,0.02	-0.007
0.006,0.017,0.017,0.009	0.02,0.011,0.018,0.012	-0.003
0.043,0.062,0.068,0.037	0.075,0.081,0.069,0.065	-0.02
1.0,1.0,0.379,0.433	1.0,0.81,1.0,0.753	-0.188
0.014,0.012,0.009,0.005	0.024,0.008,0.016,0.022	-0.008
0.899,0.946,0.977,1.0	0.868,1.0,0.959,0.915	0.02
0.143,0.119,0.223,0.093	0.197,0.258,0.234,0.162	-0.068
0.287,0.259,0.223,0.22	0.317,0.346,0.423,0.33	-0.107
0.446,0.513,0.493,0.269	0.615,0.739,0.496,0.595	-0.181
0.161,0.143,0.268,0.126	0.133,0.257,0.238,0.208	-0.034
0.051,0.062,0.075,0.036	0.091,0.092,0.102,0.087	-0.037
0.019,0.022,0.022,0.013	0.025,0.023,0.031,0.03	-0.008
0.016,0.027,0.032,0.016	0.028,0.034,0.026,0.028	-0.006
0.016,0.014,0.02,0.007	0.013,0.017,0.012,0.014	0.0
0.035,0.052,0.069,0.066	0.078,0.064,0.073,0.08	-0.018
0.112,0.038,0.076,0.108	0.138,0.107,0.212,0.238	-0.09
0.241,0.398,0.35,0.346	0.219,0.295,0.166,0.284	0.093
0.692,0.551,0.692,0.417	0.568,0.61,0.543,0.61	0.005
0.086,0.107,0.163,0.089	0.161,0.18,0.129,0.147	-0.043
0.741,0.557,0.623,0.427	0.589,0.678,0.575,0.66	-0.038
1.0,1.0,1.0,1.0	0.96,1.0,1.0,1.0	0.01
NA,1.0,1.0,0.057	0.4,1.0,1.0,1.0	-0.164
