ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	51,38,70,54	7,2,0,5	59,66,71,55	2,4,4,1	197	149	0.576024839422287	0.886158857500153
1	2,6,4,2	40,48,80,45	2,6,6,4	57,73,56,44	178	149	0.59763850407094	0.893626376859767
2	45,60,74,48	0,0,0,1	62,108,78,75	0,0,0,0	298	149	0.275862658063831	0.724691026238062
3	28,32,63,13	25,30,36,35	35,52,41,42	31,30,37,38	256	149	0.392314054293955	0.771997676232614
4	4,1,2,1	13,14,21,15	4,3,5,2	18,35,38,38	188	149	0.873042490262081	0.999202115572178
8	1572,1711,2955,2042	10,18,13,8	2181,2695,2265,2134	5,38,32,8	298	149	0.718978877302621	0.959729281600963
9	2814,3035,4808,3440	1892,2098,2858,2219	3868,4585,3822,3705	2086,2828,2617,2226	298	149	0.224493383383919	0.662190971389635
10	46,69,74,80	0,0,0,0	63,87,82,46	0,0,2,0	242	149	0.256690936580678	0.701163206031812
11	0,0,1,0	2,5,14,13	1,1,0,0	11,12,6,9	176	149	0.564638499950127	0.879589616950131
14	1,3,1,0	0,0,0,0	3,6,8,1	0,0,2,0	161	149	0.135502596085158	0.564957778908185
15	0,0,0,0	51,65,123,53	0,1,0,0	82,90,121,91	151	149	0.177673504818312	0.604055131765161
16	7,1,10,4	268,269,403,317	6,6,3,5	354,364,299,306	170	149	0.775139473426707	0.996394230830568
17	3,3,10,3	283,296,322,400	18,11,8,9	318,301,294,260	247	149	0.00352747648421781	0.216618990412608
18	6,4,2,0	259,285,332,389	9,6,5,4	303,311,303,301	298	149	0.091687495007975	0.534291548475557
19	178,192,217,217	39,40,38,54	152,201,176,174	37,63,47,48	167	149	0.0177127882821642	0.31842828860134
20	33,34,37,43	5,2,7,10	41,30,25,34	1,5,5,6	167	149	0.529293954566929	0.861046346058562
21	2,1,1,1	56,50,85,41	1,6,1,2	52,80,83,61	162	149	0.48018579675407	0.827313698288907
22	1,1,2,5	0,0,0,1	0,2,3,2	0,0,0,1	153	149	0.903462527844336	0.999202115572178
23	12,18,18,14	2,4,2,2	11,18,11,11	8,5,7,6	153	149	0.00408842796825371	0.229960071748626
24	9,6,7,9	3,7,9,7	8,8,5,10	4,12,5,3	153	149	0.773725917293544	0.996093288524135
25	3,7,13,7	7,6,4,3	4,11,3,3	1,4,3,4	153	149	0.682201467311223	0.939342463038189
26	172,222,287,260	2,0,5,2	212,275,224,232	2,1,2,3	152	149	0.999202115572178	0.999202115572178
27	337,374,545,465	6,5,19,9	379,471,430,380	10,7,9,11	152	149	0.925386324405206	0.999202115572178
28	2,12,15,14	382,470,613,658	7,16,17,8	440,557,510,485	210	149	0.400753924679208	0.776177176760768
29	487,590,742,669	0,0,0,0	761,885,720,725	0,1,0,0	298	149	0.118307379147606	0.562607627787972
30	3,6,2,9	7,5,2,5	1,9,6,5	2,3,8,0	298	149	0.321597376385456	0.735524770503504
31	45,38,99,64	6,1,13,6	39,58,38,28	7,7,5,2	194	149	0.573617520119461	0.884515377524309
32	0,2,0,0	16,14,39,34	0,0,0,0	29,37,24,19	170	149	0.441673339062742	0.798894039627227
33	43,32,57,40	6,5,10,15	29,56,53,38	7,15,6,17	253	149	0.446150532337475	0.801704195088697
34	18,22,15,20	1,0,0,0	14,26,15,21	3,3,3,1	152	149	0.0049332461120678	0.244612478845642
35	222,311,327,353	1,0,0,0	256,331,259,277	3,3,3,1	298	149	0.0023393189299965	0.177874880121586
36	217,298,316,343	12,7,4,10	251,315,252,263	6,10,7,7	298	149	0.972551525739506	0.999202115572178
37	23,27,47,39	0,0,0,0	36,31,25,36	1,0,0,0	298	149	0.122139638263078	0.562607627787972
38	21,23,46,37	0,0,1,0	34,31,26,34	0,1,1,0	153	149	0.999202115572178	0.999202115572178
39	21,26,32,30	17,12,21,18	29,21,25,21	7,21,19,20	213	149	0.776049434149568	0.996394230830568
40	21,27,34,29	3,2,3,11	25,21,25,20	3,12,4,7	213	149	0.240443656415679	0.682152584316055
41	1365,1250,1872,1695	59,76,75,61	1387,1738,1806,1351	65,76,81,70	154	149	0.603702704662091	0.895021333128349
42	0,0,1,0	1,0,0,2	0,0,0,0	0,1,0,0	167	149	NA	NA
43	6,5,14,6	4,0,5,3	10,12,11,8	1,1,0,1	177	149	0.00812574062601967	0.259859699364402
45	130,139,195,116	20,16,29,27	181,224,171,181	28,23,32,20	227	149	0.356384854723927	0.755845151599403
46	93,100,149,79	32,39,38,46	132,185,142,128	33,36,42,44	227	149	0.0699463789132504	0.488252541699652
47	85,99,141,67	72,77,102,93	123,177,142,125	90,95,119,103	227	149	0.142956060175781	0.576172755863021
48	38,23,24,36	43,41,59,55	23,31,45,32	71,58,61,45	152	149	0.629291848058763	0.907134116948796
49	28,30,32,43	10,9,12,11	28,40,24,32	17,6,17,14	164	149	0.40120835101966	0.776324924263302
50	3,3,2,2	1,0,0,0	0,5,4,2	0,1,0,0	152	149	0.0834300085330664	0.519850732202447
52	0,4,3,4	1868,2075,2845,2789	1,5,0,4	2147,2530,2144,2013	189	149	0.999202115572178	0.999202115572178
53	3,1,3,0	192,296,353,287	2,7,6,7	283,318,346,303	163	149	0.0128391385403754	0.279009712058891
54	69,87,97,68	5,16,18,16	76,78,123,82	7,12,13,12	152	149	0.175928039177818	0.600465942530441
55	55,46,57,38	11,16,23,14	44,35,66,42	17,18,37,16	152	149	0.0575548032514596	0.463479305029631
56	20,25,23,24	2,4,7,2	19,24,25,28	1,2,5,0	232	149	0.130573094099992	0.562607627787972
57	112,158,221,118	202,254,340,209	161,232,257,169	336,431,411,300	179	149	0.188449953378997	0.616513094019968
58	60,76,98,86	36,55,43,46	61,82,102,110	40,36,62,58	212	149	0.860140020257557	0.999202115572178
59	135,162,267,215	119,127,165,124	250,222,217,237	126,159,180,167	155	149	0.840521701096273	0.999202115572178
60	0,1,4,0	33,40,69,64	2,5,1,1	64,109,63,89	170	149	0.504975288349451	0.844554148565563
61	26,22,57,25	0,0,0,0	37,59,47,50	0,0,0,1	173	149	0.160634906955304	0.587850625731584
62	44,26,42,34	1,0,1,0	39,46,27,32	2,0,0,0	275	149	0.809817332838218	0.999202115572178
64	128,142,241,130	0,1,0,0	183,256,208,185	0,2,0,1	298	149	0.750489880990803	0.982623696398437
65	2,0,0,1	121,136,164,181	0,0,1,1	160,152,143,141	181	149	0.706099218056708	0.953140224620588
66	128,125,173,155	1,1,0,1	150,171,162,163	3,3,0,2	170	149	0.192815175750075	0.619629398121391
69	11,12,19,3	108,136,146,134	18,26,21,11	131,157,150,153	219	149	0.0391194591824368	0.412916450907674
70	6,5,6,1	0,1,0,0	4,5,7,3	0,1,0,0	298	149	0.999202115572178	0.999202115572178
71	0,2,4,0	61,91,95,131	1,1,6,2	92,80,79,78	197	149	0.229619487388061	0.670090700224151
72	53,51,128,93	11,10,21,25	86,73,82,68	9,13,8,10	152	149	0.0271525679784295	0.366462961463823
73	0,0,2,0	71,73,107,105	1,0,2,0	100,118,93,102	170	149	0.999202115572178	0.999202115572178
74	5,6,7,3	83,60,138,120	5,12,4,4	91,105,101,83	204	149	0.622983474453792	0.90693788363324
75	4532,4387,6825,5755	20,26,26,27	5053,5675,5242,4813	29,21,23,15	239	149	0.525078184160157	0.860682500734319
76	34,34,58,38	1904,2051,2604,3387	44,61,41,36	2048,2465,2336,1866	298	149	0.109570920511644	0.555429876075073
77	47,80,113,94	0,0,4,0	90,108,72,135	1,0,0,0	230	149	0.999202115572178	0.999202115572178
78	122,144,236,179	6,5,11,15	192,236,161,246	9,8,8,4	230	149	0.0907411184061235	0.534291548475557
80	48,35,43,59	19,17,15,20	59,49,51,49	24,32,26,21	152	149	0.132530852074421	0.562607627787972
81	41,30,62,25	97,99,151,79	26,51,37,49	99,120,112,139	152	149	0.616728654863084	0.902133187341583
82	102,80,134,159	122,105,150,96	139,154,146,152	117,157,138,146	281	149	0.654701088244091	0.922061806679512
83	7,8,6,17	0,1,1,0	5,17,9,22	0,3,0,2	154	149	0.440255206063018	0.798894039627227
84	10,12,30,18	0,0,0,0	15,22,16,26	1,0,0,1	182	149	0.00927748165641917	0.259859699364402
85	12,18,35,32	0,0,0,0	27,35,54,23	3,2,0,0	233	149	0.033939339681055	0.392549095015245
86	3,0,1,1	5,12,6,8	1,0,1,0	3,17,12,3	179	149	0.344333537460009	0.745373521741038
87	40,73,105,50	0,1,2,0	127,78,68,93	1,4,0,0	298	149	0.999202115572178	0.999202115572178
88	0,2,1,0	90,99,135,169	0,0,0,0	76,143,123,107	188	149	0.0759417326449856	0.504557854757785
92	0,2,3,2	4,1,2,0	2,3,1,5	1,0,1,0	152	149	0.074988146271988	0.503106746066639
96	6,13,17,24	15,11,14,12	21,23,22,19	14,20,25,23	157	149	0.744332311612823	0.978619427307797
97	3,2,0,1	111,131,208,194	1,6,0,4	164,140,118,170	152	149	0.515702493755808	0.854036590955286
98	27,55,30,49	0,1,4,1	42,43,53,39	1,0,0,2	158	149	0.403162553338249	0.777541307659394
