IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
51,38,70,54	7,2,0,5	59,66,71,55	2,4,4,1	197	149
2,6,4,2	40,48,80,45	2,6,6,4	57,73,56,44	178	149
45,60,74,48	0,0,0,1	62,108,78,75	0,0,0,0	298	149
28,32,63,13	25,30,36,35	35,52,41,42	31,30,37,38	256	149
4,1,2,1	13,14,21,15	4,3,5,2	18,35,38,38	188	149
1572,1711,2955,2042	10,18,13,8	2181,2695,2265,2134	5,38,32,8	298	149
2814,3035,4808,3440	1892,2098,2858,2219	3868,4585,3822,3705	2086,2828,2617,2226	298	149
46,69,74,80	0,0,0,0	63,87,82,46	0,0,2,0	242	149
0,0,1,0	2,5,14,13	1,1,0,0	11,12,6,9	176	149
1,3,1,0	0,0,0,0	3,6,8,1	0,0,2,0	161	149
0,0,0,0	51,65,123,53	0,1,0,0	82,90,121,91	151	149
7,1,10,4	268,269,403,317	6,6,3,5	354,364,299,306	170	149
3,3,10,3	283,296,322,400	18,11,8,9	318,301,294,260	247	149
6,4,2,0	259,285,332,389	9,6,5,4	303,311,303,301	298	149
178,192,217,217	39,40,38,54	152,201,176,174	37,63,47,48	167	149
33,34,37,43	5,2,7,10	41,30,25,34	1,5,5,6	167	149
2,1,1,1	56,50,85,41	1,6,1,2	52,80,83,61	162	149
1,1,2,5	0,0,0,1	0,2,3,2	0,0,0,1	153	149
12,18,18,14	2,4,2,2	11,18,11,11	8,5,7,6	153	149
9,6,7,9	3,7,9,7	8,8,5,10	4,12,5,3	153	149
3,7,13,7	7,6,4,3	4,11,3,3	1,4,3,4	153	149
172,222,287,260	2,0,5,2	212,275,224,232	2,1,2,3	152	149
337,374,545,465	6,5,19,9	379,471,430,380	10,7,9,11	152	149
2,12,15,14	382,470,613,658	7,16,17,8	440,557,510,485	210	149
487,590,742,669	0,0,0,0	761,885,720,725	0,1,0,0	298	149
3,6,2,9	7,5,2,5	1,9,6,5	2,3,8,0	298	149
45,38,99,64	6,1,13,6	39,58,38,28	7,7,5,2	194	149
0,2,0,0	16,14,39,34	0,0,0,0	29,37,24,19	170	149
43,32,57,40	6,5,10,15	29,56,53,38	7,15,6,17	253	149
18,22,15,20	1,0,0,0	14,26,15,21	3,3,3,1	152	149
222,311,327,353	1,0,0,0	256,331,259,277	3,3,3,1	298	149
217,298,316,343	12,7,4,10	251,315,252,263	6,10,7,7	298	149
23,27,47,39	0,0,0,0	36,31,25,36	1,0,0,0	298	149
21,23,46,37	0,0,1,0	34,31,26,34	0,1,1,0	153	149
21,26,32,30	17,12,21,18	29,21,25,21	7,21,19,20	213	149
21,27,34,29	3,2,3,11	25,21,25,20	3,12,4,7	213	149
1365,1250,1872,1695	59,76,75,61	1387,1738,1806,1351	65,76,81,70	154	149
0,0,1,0	1,0,0,2	0,0,0,0	0,1,0,0	167	149
6,5,14,6	4,0,5,3	10,12,11,8	1,1,0,1	177	149
130,139,195,116	20,16,29,27	181,224,171,181	28,23,32,20	227	149
93,100,149,79	32,39,38,46	132,185,142,128	33,36,42,44	227	149
85,99,141,67	72,77,102,93	123,177,142,125	90,95,119,103	227	149
38,23,24,36	43,41,59,55	23,31,45,32	71,58,61,45	152	149
28,30,32,43	10,9,12,11	28,40,24,32	17,6,17,14	164	149
3,3,2,2	1,0,0,0	0,5,4,2	0,1,0,0	152	149
0,4,3,4	1868,2075,2845,2789	1,5,0,4	2147,2530,2144,2013	189	149
3,1,3,0	192,296,353,287	2,7,6,7	283,318,346,303	163	149
69,87,97,68	5,16,18,16	76,78,123,82	7,12,13,12	152	149
55,46,57,38	11,16,23,14	44,35,66,42	17,18,37,16	152	149
20,25,23,24	2,4,7,2	19,24,25,28	1,2,5,0	232	149
112,158,221,118	202,254,340,209	161,232,257,169	336,431,411,300	179	149
60,76,98,86	36,55,43,46	61,82,102,110	40,36,62,58	212	149
135,162,267,215	119,127,165,124	250,222,217,237	126,159,180,167	155	149
0,1,4,0	33,40,69,64	2,5,1,1	64,109,63,89	170	149
26,22,57,25	0,0,0,0	37,59,47,50	0,0,0,1	173	149
44,26,42,34	1,0,1,0	39,46,27,32	2,0,0,0	275	149
128,142,241,130	0,1,0,0	183,256,208,185	0,2,0,1	298	149
2,0,0,1	121,136,164,181	0,0,1,1	160,152,143,141	181	149
128,125,173,155	1,1,0,1	150,171,162,163	3,3,0,2	170	149
11,12,19,3	108,136,146,134	18,26,21,11	131,157,150,153	219	149
6,5,6,1	0,1,0,0	4,5,7,3	0,1,0,0	298	149
0,2,4,0	61,91,95,131	1,1,6,2	92,80,79,78	197	149
53,51,128,93	11,10,21,25	86,73,82,68	9,13,8,10	152	149
0,0,2,0	71,73,107,105	1,0,2,0	100,118,93,102	170	149
5,6,7,3	83,60,138,120	5,12,4,4	91,105,101,83	204	149
4532,4387,6825,5755	20,26,26,27	5053,5675,5242,4813	29,21,23,15	239	149
34,34,58,38	1904,2051,2604,3387	44,61,41,36	2048,2465,2336,1866	298	149
47,80,113,94	0,0,4,0	90,108,72,135	1,0,0,0	230	149
122,144,236,179	6,5,11,15	192,236,161,246	9,8,8,4	230	149
48,35,43,59	19,17,15,20	59,49,51,49	24,32,26,21	152	149
41,30,62,25	97,99,151,79	26,51,37,49	99,120,112,139	152	149
102,80,134,159	122,105,150,96	139,154,146,152	117,157,138,146	281	149
7,8,6,17	0,1,1,0	5,17,9,22	0,3,0,2	154	149
10,12,30,18	0,0,0,0	15,22,16,26	1,0,0,1	182	149
12,18,35,32	0,0,0,0	27,35,54,23	3,2,0,0	233	149
3,0,1,1	5,12,6,8	1,0,1,0	3,17,12,3	179	149
40,73,105,50	0,1,2,0	127,78,68,93	1,4,0,0	298	149
0,2,1,0	90,99,135,169	0,0,0,0	76,143,123,107	188	149
0,2,3,2	4,1,2,0	2,3,1,5	1,0,1,0	152	149
6,13,17,24	15,11,14,12	21,23,22,19	14,20,25,23	157	149
3,2,0,1	111,131,208,194	1,6,0,4	164,140,118,170	152	149
27,55,30,49	0,1,4,1	42,43,53,39	1,0,0,2	158	149
10,11,19,16	1,0,0,1	20,28,19,11	0,0,0,0	257	149
3,11,1,4	12,14,14,18	1,3,2,6	23,8,13,14	152	149
27,39,62,29	20,36,52,25	70,82,63,68	36,52,68,51	208	149
20,42,45,20	27,28,47,18	49,40,73,42	32,29,67,44	176	149
2,7,8,6	1,6,0,2	2,3,6,9	1,6,6,5	176	149
138,159,174,122	0,4,2,2	156,133,208,140	0,3,1,6	155	149
11,18,10,10	9,9,10,7	16,21,21,4	3,12,12,7	230	149
21,33,39,30	74,88,120,65	43,48,45,17	88,102,104,119	230	149
46,71,77,62	2,0,2,0	65,79,92,66	5,2,1,0	156	149
0,0,1,0	153,171,263,233	0,1,2,5	180,238,232,178	165	149
69,65,85,64	0,1,4,1	73,50,63,52	1,3,0,3	298	149
0,3,1,2	0,0,2,1	0,0,0,3	1,0,2,0	154	149
2,7,4,0	0,0,2,1	4,7,11,6	1,0,2,0	183	149
2,4,4,0	0,0,1,2	4,7,11,5	0,0,0,2	178	149
2,4,4,0	0,0,0,1	4,7,10,3	0,1,0,0	178	149
1,5,2,3	2,2,3,0	1,0,1,1	0,1,3,0	154	149
35,42,45,26	0,0,0,0	55,36,41,39	0,0,2,0	173	149
254,290,331,353	0,0,0,0	309,347,250,318	0,0,1,0	298	149
64,48,79,59	1156,1283,1789,1527	53,45,51,33	1213,1447,1329,1261	280	149
1320,1515,2348,2108	0,1,0,0	1625,1880,1731,1586	1,0,0,0	298	149
239,256,334,270	1,0,0,1	311,314,313,312	0,0,0,0	298	149
131,164,151,144	105,160,150,177	116,133,153,131	114,91,113,163	164	149
93,66,83,124	252,240,410,390	91,86,128,98	312,344,314,291	152	149
170,197,217,240	14,14,16,9	237,219,189,154	12,12,16,14	240	149
198,220,298,253	1,3,6,0	196,235,226,244	0,2,1,2	215	149
101,86,134,70	1,0,0,0	72,111,121,69	0,0,0,0	298	149
71,78,80,83	29,28,57,48	73,108,88,75	40,70,55,45	288	149
27,32,35,32	0,1,1,0	36,48,23,27	0,0,4,0	177	149
98,96,126,135	3,0,2,2	99,150,102,92	1,4,6,4	177	149
68,55,73,81	0,0,1,3	63,74,57,72	0,2,1,0	177	149
317,395,486,498	17,4,6,10	412,519,476,428	10,11,5,11	247	149
7,15,24,14	0,0,1,0	16,18,18,13	0,0,0,0	179	149
541,665,829,761	3,1,10,0	663,755,722,602	17,1,0,1	251	149
1,0,6,4	197,220,280,329	2,1,0,0	204,293,315,188	207	149
0,1,3,6	0,0,0,0	4,7,6,5	0,0,4,0	166	149
2,1,2,1	0,1,1,1	3,0,0,1	0,1,2,0	228	149
40,48,62,66	0,0,0,0	60,50,53,48	1,0,0,0	298	149
26,24,38,26	1,7,8,7	36,34,19,31	4,6,2,7	152	149
3,3,3,2	1,0,3,1	0,2,2,2	0,3,2,3	152	149
0,0,0,0	3,11,9,10	0,1,0,0	11,7,2,8	166	149
10,7,10,14	2,0,0,0	25,18,15,16	0,1,0,0	153	149
