IncLevel1	IncLevel2	IncLevelDifference
0.0,0.032,0.007,0.052	0.019,0.005,0.026,0.009	0.008
0.916,1.0,0.981,0.978	1.0,1.0,1.0,0.977	-0.025
1.0,1.0,0.773,0.858	1.0,0.922,0.876,0.85	-0.004
0.882,0.636,0.892,1.0	0.674,1.0,1.0,0.8	-0.016
0.714,0.674,0.577,0.611	0.75,0.68,0.66,0.66	-0.044
0.652,0.6,0.348,0.517	0.667,0.625,0.628,0.59	-0.098
0.294,0.273,0.194,0.143	0.282,0.312,0.478,0.25	-0.105
0.102,0.118,0.142,0.118	0.067,0.093,0.146,0.087	0.022
NA,1.0,0.883,0.485	0.0,0.485,0.485,0.654	0.383
0.088,0.101,0.106,0.071	0.122,0.127,0.117,0.107	-0.027
0.002,0.004,0.004,0.0	0.002,0.002,0.002,0.002	0.001
0.837,0.969,0.799,0.929	0.839,0.776,0.82,0.815	0.071
0.328,0.348,0.32,0.4	0.427,0.446,0.352,0.383	-0.053
0.0,0.0,0.013,0.0	0.0,0.016,0.0,0.015	-0.005
0.528,0.439,0.488,0.5	0.418,0.639,0.35,0.441	0.027
1.0,1.0,0.999,1.0	1.0,1.0,1.0,1.0	-0.0
0.979,0.987,0.988,0.991	0.988,0.98,0.976,0.981	0.005
0.635,0.63,0.624,0.64	0.593,0.648,0.583,0.643	0.016
0.824,0.806,0.875,0.783	0.81,0.842,0.792,0.807	0.009
0.793,0.795,0.784,0.792	0.773,0.783,0.777,0.793	0.009
0.994,1.0,0.994,1.0	1.0,0.994,0.995,0.994	0.001
0.065,0.076,0.143,0.065	0.108,0.079,0.112,0.068	-0.004
0.06,0.063,0.054,0.064	0.08,0.063,0.063,0.054	-0.005
1.0,1.0,0.98,1.0	1.0,0.98,1.0,1.0	0.0
1.0,NA,1.0,NA	1.0,NA,NA,0.0	0.5
0.486,0.549,0.293,0.371	0.604,0.412,0.538,0.536	-0.098
0.0,0.0,0.172,0.0	0.0,0.0,0.0,0.172	0.0
1.0,1.0,1.0,1.0	1.0,1.0,0.995,1.0	0.001
0.36,0.596,0.449,0.527	0.624,0.484,0.332,0.202	0.072
0.953,0.906,1.0,1.0	1.0,1.0,0.876,0.935	0.012
NA,NA,NA,0.0	NA,1.0,NA,NA	-1.0
0.884,0.832,0.907,0.901	0.928,0.881,0.913,0.884	-0.021
0.93,0.933,0.96,0.905	0.974,0.948,0.937,0.915	-0.012
0.586,0.501,0.554,0.521	0.485,0.546,0.586,0.56	-0.004
1.0,1.0,1.0,1.0	0.981,1.0,1.0,0.952	0.017
0.986,0.988,1.0,0.979	0.988,0.99,0.983,0.967	0.006
0.72,0.622,0.698,0.704	0.687,0.566,0.654,0.657	0.045
NA,1.0,NA,0.311	1.0,1.0,1.0,NA	-0.345
0.0,0.0,0.771,0.144	0.0,0.0,0.457,0.174	0.071
0.926,0.976,0.941,0.932	0.874,0.809,0.843,0.893	0.089
0.981,0.985,0.986,0.981	0.985,0.984,0.986,0.988	-0.003
