IncLevel1	IncLevel2	IncLevelDifference
0.476,0.429,0.399,0.521	0.349,0.431,0.387,0.38	0.07
0.413,0.435,0.42,0.406	0.31,0.441,0.439,0.399	0.021
0.355,0.351,0.386,0.334	0.36,0.312,0.404,0.371	-0.005
0.325,0.404,0.443,0.374	0.399,0.378,0.441,0.459	-0.033
0.936,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.016
0.0,NA,1.0,NA	1.0,NA,1.0,NA	-0.5
0.62,0.64,0.596,0.607	0.645,0.536,0.607,0.615	0.015
0.017,0.034,0.027,0.031	0.017,0.017,0.012,0.019	0.011
0.0,0.0,0.375,0.44	0.0,0.189,0.116,0.046	0.116
0.929,0.929,0.931,0.94	0.933,0.919,0.945,0.913	0.005
0.987,0.988,0.989,0.992	0.992,0.991,0.993,0.991	-0.003
0.51,0.495,0.51,0.511	0.502,0.515,0.51,0.508	-0.002
0.713,0.732,0.73,0.767	0.706,0.731,0.747,0.722	0.009
0.57,0.586,0.585,0.591	0.602,0.596,0.573,0.602	-0.01
0.982,0.978,0.974,0.98	0.968,0.98,0.974,0.976	0.004
0.2,0.286,0.286,0.343	0.154,0.083,0.437,0.25	0.048
0.592,0.623,0.633,0.583	0.595,0.645,0.623,0.595	-0.007
0.025,0.053,0.053,0.047	0.032,0.013,0.0,0.017	0.029
0.071,0.018,0.113,0.146	0.016,0.026,0.025,0.048	0.058
0.445,0.437,0.438,0.517	0.527,0.538,0.452,0.453	-0.033
0.66,0.661,0.662,0.688	0.699,0.682,0.699,0.71	-0.03
1.0,1.0,1.0,1.0	0.967,1.0,1.0,0.953	0.02
0.501,0.553,0.54,0.484	0.489,0.539,0.532,0.545	-0.007
0.433,0.346,0.374,0.423	0.409,0.329,0.384,0.372	0.021
0.539,0.574,0.589,0.576	0.56,0.514,0.467,0.49	0.062
0.211,0.278,0.259,0.288	0.251,0.257,0.274,0.311	-0.014
0.005,0.029,0.008,0.01	0.015,0.02,0.02,0.012	-0.004
0.473,0.459,0.446,0.5	0.443,0.459,0.465,0.455	0.014
0.519,0.599,0.486,0.392	0.5,0.444,0.511,0.397	0.036
0.691,1.0,0.793,0.802	0.705,0.858,0.761,0.773	0.047
0.042,0.038,0.075,0.068	0.09,0.031,0.025,0.074	0.001
0.342,0.155,0.125,0.346	0.247,0.236,0.341,0.375	-0.058
0.308,0.276,0.452,0.319	0.165,0.269,0.263,0.385	0.068
1.0,1.0,0.989,1.0	0.959,1.0,1.0,1.0	0.007
0.219,0.172,0.203,0.192	0.192,0.177,0.159,0.188	0.018
1.0,0.333,0.0,0.333	0.0,0.0,0.25,0.0	0.354
0.53,0.631,0.553,0.612	0.531,0.553,0.462,0.402	0.095
0.58,0.422,0.397,0.5	0.44,0.501,0.385,0.35	0.056
0.0,0.338,0.351,0.413	0.27,0.19,0.209,0.167	0.067
0.0,0.437,0.466,0.823	0.226,0.264,0.2,0.115	0.23
0.554,0.603,0.486,0.901	0.199,0.595,0.595,0.525	0.157
