ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	134,165,293,98	0,3,0,0	221,335,307,235	0,0,0,0	298	149	0.322174693794282	0.567901155162801	1.0,0.965,1.0,1.0	1.0,1.0,1.0,1.0	-0.009
2	5,14,14,7	24,63,55,31	14,23,6,13	47,52,58,62	298	149	0.848511324231041	0.961195903108812	0.094,0.1,0.113,0.101	0.13,0.181,0.049,0.095	-0.012
4	2696,2930,4749,3416	106,131,212,116	3774,4524,3860,3593	182,165,184,148	298	149	0.447288747241158	0.67833357966354	0.927,0.918,0.918,0.936	0.912,0.932,0.913,0.924	0.005
5	24,18,46,23	15,23,39,16	36,50,34,41	13,28,17,19	298	149	0.00481368953723216	0.0668938146589187	0.444,0.281,0.371,0.418	0.581,0.472,0.5,0.519	-0.14
6	54,103,140,87	3,1,7,6	82,113,141,90	5,11,11,11	296	149	0.0141997385004315	0.109492607091204	0.901,0.981,0.91,0.88	0.892,0.838,0.866,0.805	0.068
7	0,0,1,2	71,83,149,119	0,2,2,0	87,136,115,104	254	149	0.623852652621375	0.816109130473245	0.0,0.0,0.004,0.01	0.0,0.009,0.01,0.0	-0.001
8	40,58,65,31	73,82,97,109	73,50,60,56	100,112,127,115	298	149	0.999202115572178	0.999202115572178	0.215,0.261,0.251,0.124	0.267,0.182,0.191,0.196	0.004
9	21,26,42,24	242,308,346,380	48,39,48,32	337,316,258,270	298	149	0.00229275180511024	0.048705585141621	0.042,0.04,0.057,0.031	0.066,0.058,0.085,0.056	-0.024
10	683,716,819,1017	2,10,5,11	870,776,830,776	4,10,8,6	298	149	0.999202115572178	0.999202115572178	0.994,0.973,0.988,0.979	0.991,0.975,0.981,0.985	0.001
11	562,662,839,681	0,0,0,0	850,938,802,779	0,1,0,0	298	149	0.120933395597723	0.349363142837866	1.0,1.0,1.0,1.0	1.0,0.998,1.0,1.0	0.0
12	107,150,204,96	192,196,223,243	190,227,162,204	198,313,244,256	298	149	0.121310665271519	0.349546731125253	0.218,0.277,0.314,0.165	0.324,0.266,0.249,0.285	-0.038
13	5,4,1,4	23,41,63,39	10,10,2,4	53,39,40,37	298	149	0.182300551596327	0.420860246682356	0.098,0.047,0.008,0.049	0.086,0.114,0.024,0.051	-0.018
14	1,2,0,2	25,23,39,41	0,0,0,1	53,42,43,26	298	149	0.0421473355405916	0.19634857176658	0.02,0.042,0.0,0.024	0.0,0.0,0.0,0.019	0.017
15	3,8,16,1	33,26,44,42	3,9,1,3	56,43,24,38	298	149	0.436251047801136	0.669859644096691	0.043,0.133,0.154,0.012	0.026,0.095,0.02,0.038	0.041
16	72,86,152,59	48,46,61,53	175,202,183,154	60,52,34,60	298	149	0.000302459528820576	0.0220302753071367	0.429,0.483,0.555,0.358	0.593,0.66,0.729,0.562	-0.18
17	110,136,199,86	20,16,29,27	211,250,214,193	28,23,32,20	298	149	0.0460918076072935	0.203523319430197	0.733,0.81,0.774,0.614	0.79,0.845,0.77,0.828	-0.076
19	13,12,40,10	196,219,321,240	9,28,37,17	274,301,329,287	298	149	0.931509514548866	0.999202115572178	0.032,0.027,0.059,0.02	0.016,0.044,0.053,0.029	-0.001
20	48,49,118,82	2,3,11,8	96,131,92,110	9,13,7,13	224	149	0.335571073234598	0.579427957871234	0.941,0.916,0.877,0.872	0.876,0.87,0.897,0.849	0.028
21	357,400,467,445	6,12,12,8	385,440,434,321	7,10,10,5	298	149	0.636495472500266	0.823841324620374	0.967,0.943,0.951,0.965	0.965,0.957,0.956,0.97	-0.006
22	18,16,22,9	52,66,69,68	22,23,10,25	81,71,69,65	298	149	0.68293561621767	0.85612327596318	0.148,0.108,0.138,0.062	0.12,0.139,0.068,0.161	-0.008
24	25,22,45,25	152,152,213,146	34,58,56,34	183,204,203,169	298	149	0.045355694944324	0.202045797577351	0.076,0.067,0.096,0.079	0.085,0.124,0.121,0.091	-0.026
25	10,9,22,14	132,148,223,128	24,23,23,14	162,205,192,163	298	149	0.0634732142974951	0.244489418034796	0.036,0.03,0.047,0.052	0.069,0.053,0.057,0.041	-0.014
26	47,77,126,77	1800,1925,2621,2834	138,108,117,95	2237,2444,2140,2178	298	149	0.012677109903304	0.102631452630341	0.013,0.02,0.023,0.013	0.03,0.022,0.027,0.021	-0.008
27	23,69,86,55	1714,1858,2485,2646	91,56,79,54	2101,2297,2024,2063	298	149	0.242003006317589	0.48870510013649	0.007,0.018,0.017,0.01	0.021,0.012,0.019,0.013	-0.003
28	203,333,524,288	2158,2397,3352,3548	462,498,390,374	2704,2776,2517,2575	298	149	0.00334856846123932	0.0565515554702732	0.045,0.065,0.072,0.039	0.079,0.082,0.072,0.068	-0.02
29	4,2,1,5	0,0,1,4	1,7,3,5	0,1,0,1	244	149	0.326412399054923	0.570836309676696	1.0,1.0,0.379,0.433	1.0,0.81,1.0,0.753	-0.188
30	6,10,4,5	306,328,417,431	15,8,8,11	293,420,392,335	298	149	0.0890562938933335	0.29914064433239	0.01,0.015,0.005,0.006	0.025,0.009,0.01,0.016	-0.006
31	41,40,94,35	2,1,1,0	74,124,107,74	5,0,2,3	298	149	0.805511840220132	0.934808590538728	0.911,0.952,0.979,1.0	0.881,1.0,0.964,0.925	0.018
32	49,51,108,38	108,136,146,134	86,147,124,80	131,157,150,153	298	149	0.01642187955616	0.117780609331607	0.185,0.158,0.27,0.124	0.247,0.319,0.292,0.207	-0.082
35	14,14,32,14	19,38,61,27	20,40,50,34	39,38,37,43	298	149	0.0364159526710307	0.182048598254127	0.269,0.156,0.208,0.206	0.204,0.345,0.403,0.283	-0.099
36	25,45,67,25	16,22,36,35	62,110,64,76	20,20,34,27	289	149	0.0185914087988066	0.123616954857997	0.446,0.513,0.49,0.269	0.615,0.739,0.493,0.592	-0.18
