ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1	134,165,293,98	0,3,0,0	221,335,307,235	0,0,0,0	298	149	0.322174693794282	0.567901155162801
2	5,14,14,7	24,63,55,31	14,23,6,13	47,52,58,62	298	149	0.848511324231041	0.961195903108812
4	2696,2930,4749,3416	106,131,212,116	3774,4524,3860,3593	182,165,184,148	298	149	0.447288747241158	0.67833357966354
5	24,18,46,23	15,23,39,16	36,50,34,41	13,28,17,19	298	149	0.00481368953723216	0.0668938146589187
6	54,103,140,87	3,1,7,6	82,113,141,90	5,11,11,11	296	149	0.0141997385004315	0.109492607091204
7	0,0,1,2	71,83,149,119	0,2,2,0	87,136,115,104	254	149	0.623852652621375	0.816109130473245
8	40,58,65,31	73,82,97,109	73,50,60,56	100,112,127,115	298	149	0.999202115572178	0.999202115572178
9	21,26,42,24	242,308,346,380	48,39,48,32	337,316,258,270	298	149	0.00229275180511024	0.048705585141621
10	683,716,819,1017	2,10,5,11	870,776,830,776	4,10,8,6	298	149	0.999202115572178	0.999202115572178
11	562,662,839,681	0,0,0,0	850,938,802,779	0,1,0,0	298	149	0.120933395597723	0.349363142837866
12	107,150,204,96	192,196,223,243	190,227,162,204	198,313,244,256	298	149	0.121310665271519	0.349546731125253
13	5,4,1,4	23,41,63,39	10,10,2,4	53,39,40,37	298	149	0.182300551596327	0.420860246682356
14	1,2,0,2	25,23,39,41	0,0,0,1	53,42,43,26	298	149	0.0421473355405916	0.19634857176658
15	3,8,16,1	33,26,44,42	3,9,1,3	56,43,24,38	298	149	0.436251047801136	0.669859644096691
16	72,86,152,59	48,46,61,53	175,202,183,154	60,52,34,60	298	149	0.000302459528820576	0.0220302753071367
17	110,136,199,86	20,16,29,27	211,250,214,193	28,23,32,20	298	149	0.0460918076072935	0.203523319430197
19	13,12,40,10	196,219,321,240	9,28,37,17	274,301,329,287	298	149	0.931509514548866	0.999202115572178
20	48,49,118,82	2,3,11,8	96,131,92,110	9,13,7,13	224	149	0.335571073234598	0.579427957871234
21	357,400,467,445	6,12,12,8	385,440,434,321	7,10,10,5	298	149	0.636495472500266	0.823841324620374
22	18,16,22,9	52,66,69,68	22,23,10,25	81,71,69,65	298	149	0.68293561621767	0.85612327596318
24	25,22,45,25	152,152,213,146	34,58,56,34	183,204,203,169	298	149	0.045355694944324	0.202045797577351
25	10,9,22,14	132,148,223,128	24,23,23,14	162,205,192,163	298	149	0.0634732142974951	0.244489418034796
26	47,77,126,77	1800,1925,2621,2834	138,108,117,95	2237,2444,2140,2178	298	149	0.012677109903304	0.102631452630341
27	23,69,86,55	1714,1858,2485,2646	91,56,79,54	2101,2297,2024,2063	298	149	0.242003006317589	0.48870510013649
28	203,333,524,288	2158,2397,3352,3548	462,498,390,374	2704,2776,2517,2575	298	149	0.00334856846123932	0.0565515554702732
