IncLevel1	IncLevel2	IncLevelDifference
1.0,0.965,1.0,1.0	1.0,1.0,1.0,1.0	-0.009
0.094,0.1,0.113,0.101	0.13,0.181,0.049,0.095	-0.012
0.927,0.918,0.918,0.936	0.912,0.932,0.913,0.924	0.005
0.444,0.281,0.371,0.418	0.581,0.472,0.5,0.519	-0.14
0.901,0.981,0.91,0.88	0.892,0.838,0.866,0.805	0.068
0.0,0.0,0.004,0.01	0.0,0.009,0.01,0.0	-0.001
0.215,0.261,0.251,0.124	0.267,0.182,0.191,0.196	0.004
0.042,0.04,0.057,0.031	0.066,0.058,0.085,0.056	-0.024
0.994,0.973,0.988,0.979	0.991,0.975,0.981,0.985	0.001
1.0,1.0,1.0,1.0	1.0,0.998,1.0,1.0	0.0
0.218,0.277,0.314,0.165	0.324,0.266,0.249,0.285	-0.038
0.098,0.047,0.008,0.049	0.086,0.114,0.024,0.051	-0.018
0.02,0.042,0.0,0.024	0.0,0.0,0.0,0.019	0.017
0.043,0.133,0.154,0.012	0.026,0.095,0.02,0.038	0.041
0.429,0.483,0.555,0.358	0.593,0.66,0.729,0.562	-0.18
0.733,0.81,0.774,0.614	0.79,0.845,0.77,0.828	-0.076
0.032,0.027,0.059,0.02	0.016,0.044,0.053,0.029	-0.001
0.941,0.916,0.877,0.872	0.876,0.87,0.897,0.849	0.028
0.967,0.943,0.951,0.965	0.965,0.957,0.956,0.97	-0.006
0.148,0.108,0.138,0.062	0.12,0.139,0.068,0.161	-0.008
0.076,0.067,0.096,0.079	0.085,0.124,0.121,0.091	-0.026
0.036,0.03,0.047,0.052	0.069,0.053,0.057,0.041	-0.014
0.013,0.02,0.023,0.013	0.03,0.022,0.027,0.021	-0.008
0.007,0.018,0.017,0.01	0.021,0.012,0.019,0.013	-0.003
0.045,0.065,0.072,0.039	0.079,0.082,0.072,0.068	-0.02
1.0,1.0,0.379,0.433	1.0,0.81,1.0,0.753	-0.188
0.01,0.015,0.005,0.006	0.025,0.009,0.01,0.016	-0.006
0.911,0.952,0.979,1.0	0.881,1.0,0.964,0.925	0.018
0.185,0.158,0.27,0.124	0.247,0.319,0.292,0.207	-0.082
0.269,0.156,0.208,0.206	0.204,0.345,0.403,0.283	-0.099
0.446,0.513,0.49,0.269	0.615,0.739,0.493,0.592	-0.18
0.161,0.143,0.268,0.126	0.133,0.257,0.238,0.208	-0.034
0.053,0.066,0.077,0.038	0.095,0.095,0.111,0.093	-0.04
0.021,0.025,0.021,0.015	0.027,0.03,0.046,0.034	-0.014
0.014,0.026,0.033,0.016	0.029,0.03,0.031,0.031	-0.008
0.016,0.014,0.02,0.007	0.013,0.017,0.012,0.014	0.0
0.035,0.052,0.069,0.066	0.078,0.064,0.073,0.08	-0.018
0.112,0.038,0.076,0.108	0.138,0.107,0.212,0.238	-0.09
0.259,0.429,0.37,0.308	0.227,0.333,0.17,0.273	0.091
0.692,0.551,0.692,0.417	0.568,0.61,0.543,0.61	0.005
0.087,0.11,0.163,0.089	0.163,0.18,0.13,0.146	-0.043
0.781,0.583,0.637,0.45	0.606,0.694,0.608,0.691	-0.037
1.0,1.0,1.0,1.0	0.947,1.0,1.0,1.0	0.013
NA,1.0,1.0,0.0	0.667,1.0,1.0,1.0	-0.25
0.859,0.945,0.93,0.851	0.907,0.928,0.925,0.922	-0.024
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.994	0.002
0.078,0.056,0.103,0.066	0.06,0.071,0.07,0.1	0.0
1.0,1.0,0.636,1.0	1.0,1.0,1.0,1.0	-0.091
0.147,0.2,0.264,0.143	0.288,0.273,0.393,0.194	-0.098
0.029,0.021,0.021,0.048	0.016,0.017,0.057,0.05	-0.005
0.034,0.03,0.038,0.019	0.028,0.03,0.039,0.034	-0.002
0.127,0.127,0.171,0.062	0.152,0.179,0.18,0.176	-0.05
0.022,0.025,0.032,0.018	0.033,0.034,0.035,0.036	-0.01
0.024,0.041,0.04,0.024	0.056,0.037,0.05,0.045	-0.015
0.267,0.233,0.313,0.179	0.276,0.283,0.301,0.291	-0.04
0.047,0.04,0.072,0.035	0.085,0.105,0.098,0.068	-0.041
0.02,0.028,0.034,0.023	0.076,0.053,0.034,0.022	-0.02
0.115,0.09,0.111,0.069	0.133,0.142,0.112,0.125	-0.032
0.1,0.079,0.065,0.077	0.064,0.116,0.091,0.067	-0.004
0.019,0.041,0.028,0.032	0.034,0.05,0.022,0.065	-0.013
0.037,0.032,0.065,0.04	0.05,0.04,0.028,0.051	0.001
0.053,0.1,0.095,0.048	0.077,0.101,0.164,0.064	-0.027
0.093,0.04,0.047,0.011	0.065,0.015,0.055,0.045	0.003
0.357,0.404,0.497,0.406	0.393,0.361,0.344,0.425	0.035
0.115,0.132,0.087,0.11	0.097,0.111,0.075,0.122	0.01
0.453,0.479,0.416,0.239	0.518,0.645,0.526,0.619	-0.18
0.07,0.111,0.095,0.093	0.099,0.09,0.103,0.091	-0.004
0.136,0.385,0.228,0.128	0.071,0.226,0.111,0.31	0.04
0.073,0.079,0.083,0.054	0.073,0.073,0.067,0.127	-0.013
0.036,0.031,0.04,0.01	0.049,0.04,0.044,0.065	-0.02
0.126,0.144,0.138,0.13	0.189,0.223,0.187,0.169	-0.057
0.333,0.474,0.438,0.576	0.506,0.494,0.351,0.714	-0.061
0.032,0.023,0.054,0.038	0.05,0.044,0.084,0.054	-0.021
0.019,0.015,0.019,0.019	0.037,0.019,0.021,0.019	-0.006
0.017,0.026,0.039,0.021	0.02,0.03,0.033,0.031	-0.003
0.068,0.076,0.088,0.037	0.065,0.119,0.055,0.091	-0.015
0.046,0.031,0.034,0.02	0.039,0.06,0.043,0.047	-0.014
0.019,0.0,0.026,0.085	0.096,0.019,0.113,0.017	-0.029
0.027,0.019,0.03,0.016	0.044,0.038,0.027,0.03	-0.012
0.018,0.02,0.022,0.005	0.013,0.025,0.007,0.014	0.002
0.008,0.023,0.019,0.005	0.013,0.016,0.005,0.012	0.002
0.211,0.022,0.029,0.018	0.075,0.091,0.02,0.024	0.018
0.094,0.099,0.178,0.096	0.129,0.167,0.168,0.162	-0.04
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.964	0.009
0.759,0.75,0.823,0.573	0.782,0.824,0.831,0.8	-0.083
0.155,0.174,0.286,0.12	0.261,0.25,0.261,0.198	-0.059
0.464,0.536,0.628,0.469	0.611,0.574,0.585,0.551	-0.056
0.637,0.658,0.653,0.611	0.739,0.741,0.68,0.69	-0.073
0.393,0.346,0.283,0.325	0.342,0.337,0.339,0.324	0.001
0.117,0.107,0.103,0.111	0.151,0.078,0.062,0.085	0.015
