IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
134,165,293,98	0,3,0,0	221,335,307,235	0,0,0,0	298	149
5,14,14,7	24,63,55,31	14,23,6,13	47,52,58,62	298	149
2696,2930,4749,3416	106,131,212,116	3774,4524,3860,3593	182,165,184,148	298	149
24,18,46,23	15,23,39,16	36,50,34,41	13,28,17,19	298	149
54,103,140,87	3,1,7,6	82,113,141,90	5,11,11,11	296	149
0,0,1,2	71,83,149,119	0,2,2,0	87,136,115,104	254	149
40,58,65,31	73,82,97,109	73,50,60,56	100,112,127,115	298	149
21,26,42,24	242,308,346,380	48,39,48,32	337,316,258,270	298	149
683,716,819,1017	2,10,5,11	870,776,830,776	4,10,8,6	298	149
562,662,839,681	0,0,0,0	850,938,802,779	0,1,0,0	298	149
107,150,204,96	192,196,223,243	190,227,162,204	198,313,244,256	298	149
5,4,1,4	23,41,63,39	10,10,2,4	53,39,40,37	298	149
1,2,0,2	25,23,39,41	0,0,0,1	53,42,43,26	298	149
3,8,16,1	33,26,44,42	3,9,1,3	56,43,24,38	298	149
72,86,152,59	48,46,61,53	175,202,183,154	60,52,34,60	298	149
110,136,199,86	20,16,29,27	211,250,214,193	28,23,32,20	298	149
13,12,40,10	196,219,321,240	9,28,37,17	274,301,329,287	298	149
48,49,118,82	2,3,11,8	96,131,92,110	9,13,7,13	224	149
357,400,467,445	6,12,12,8	385,440,434,321	7,10,10,5	298	149
18,16,22,9	52,66,69,68	22,23,10,25	81,71,69,65	298	149
25,22,45,25	152,152,213,146	34,58,56,34	183,204,203,169	298	149
10,9,22,14	132,148,223,128	24,23,23,14	162,205,192,163	298	149
47,77,126,77	1800,1925,2621,2834	138,108,117,95	2237,2444,2140,2178	298	149
23,69,86,55	1714,1858,2485,2646	91,56,79,54	2101,2297,2024,2063	298	149
203,333,524,288	2158,2397,3352,3548	462,498,390,374	2704,2776,2517,2575	298	149
4,2,1,5	0,0,1,4	1,7,3,5	0,1,0,1	244	149
6,10,4,5	306,328,417,431	15,8,8,11	293,420,392,335	298	149
41,40,94,35	2,1,1,0	74,124,107,74	5,0,2,3	298	149
49,51,108,38	108,136,146,134	86,147,124,80	131,157,150,153	298	149
14,14,32,14	19,38,61,27	20,40,50,34	39,38,37,43	298	149
25,45,67,25	16,22,36,35	62,110,64,76	20,20,34,27	289	149
8,7,25,9	22,22,36,33	14,27,32,24	48,41,54,48	283	149
316,390,714,285	2828,2777,4308,3596	582,723,803,602	2773,3442,3226,2931	298	149
109,128,169,102	2512,2539,3939,3274	151,200,295,203	2705,3269,3065,2855	298	149
55,86,188,73	1879,1620,2797,2264	120,126,117,125	1988,2038,1852,1971	298	149
59,57,104,48	2338,2566,3235,4204	52,84,52,48	2511,3069,2887,2250	230	149
8,12,30,14	140,138,256,125	19,22,21,24	142,204,168,174	236	149
2,2,7,5	8,26,43,21	6,4,9,8	19,17,17,13	294	149
7,9,20,8	10,6,17,9	10,19,9,15	17,19,22,20	298	149
11,8,33,14	3,4,9,12	15,23,31,23	7,9,16,9	243	149
93,131,257,128	491,530,659,657	231,278,200,182	595,632,668,532	298	149
50,67,109,49	7,24,31,30	77,127,96,85	25,28,31,19	298	149
11,12,36,12	0,0,0,0	36,41,17,25	1,0,0,0	298	149
0,1,3,0	0,0,0,1	4,1,2,1	1,0,0,0	298	149
85,173,238,114	7,5,9,10	272,308,296,238	14,12,12,10	298	149
195,256,422,187	0,0,0,0	398,500,382,313	0,0,0,1	298	149
15,16,33,22	89,136,143,155	17,23,25,23	134,151,167,103	298	149
2,9,7,1	0,0,2,0	3,6,5,5	0,0,0,0	298	149
19,34,63,24	55,68,88,72	59,57,79,39	73,76,61,81	298	149
6,4,6,10	100,92,139,99	4,3,12,12	123,89,100,113	298	149
19,20,32,14	269,320,408,363	19,22,27,23	330,359,329,327	298	149
79,100,155,68	272,343,377,517	125,162,159,144	349,371,362,337	298	149
80,96,183,100	1762,1895,2743,2716	137,157,147,152	2006,2222,2040,2038	298	149
43,77,119,65	1102,1146,1838,1660	116,87,109,91	1245,1424,1324,1235	234	149
93,90,169,81	150,174,218,218	152,167,148,154	234,248,202,220	254	149
12,12,25,11	123,143,162,150	29,40,31,24	156,171,143,164	298	149
3,5,9,4	96,116,172,114	12,13,7,5	98,154,131,146	223	149
29,21,49,23	112,106,196,156	45,48,35,35	147,145,139,122	298	149
16,14,13,15	91,103,119,113	11,25,20,13	102,120,126,114	236	149
5,11,9,11	158,159,196,209	10,18,8,14	175,210,225,125	241	149
13,13,27,16	168,194,195,193	15,19,12,18	142,230,206,166	298	149
7,16,26,10	74,85,146,116	18,33,43,12	127,174,130,103	252	149
13,9,12,2	84,144,163,123	14,4,16,9	133,170,182,126	224	149
86,117,187,144	102,114,125,139	105,131,125,102	107,153,157,91	226	149
27,37,33,45	134,156,222,233	24,38,28,28	144,196,222,130	232	149
48,70,94,42	29,38,66,67	116,131,100,117	54,36,45,36	298	149
68,88,120,115	450,353,572,562	106,106,112,93	482,535,489,466	298	149
6,15,13,5	19,12,22,17	2,14,3,9	13,24,12,10	298	149
19,22,32,18	120,129,176,159	20,25,20,35	127,159,140,120	298	149
11,9,18,4	147,142,218,189	14,16,15,23	136,190,162,166	298	149
17,26,36,31	59,77,112,104	36,61,35,30	77,106,76,74	298	149
12,18,39,19	12,10,25,7	41,39,27,35	20,20,25,7	298	149
15,11,41,26	230,229,356,333	29,29,43,31	277,312,234,269	298	149
8,7,10,11	212,226,255,291	18,12,11,9	233,315,251,228	298	149
5,8,19,10	185,194,307,308	7,12,13,11	220,256,254,228	227	149
24,34,49,17	164,207,255,220	26,67,28,44	186,249,241,221	298	149
52,38,65,37	544,592,916,905	58,102,57,68	719,799,640,693	298	149
1,0,3,6	32,29,67,39	10,2,8,1	57,64,38,36	246	149
11,9,19,9	199,233,309,270	26,26,15,18	283,326,275,290	298	149
8,9,16,3	264,271,429,363	8,17,4,9	375,400,348,391	247	149
5,15,19,5	295,312,496,490	11,15,4,10	433,461,420,427	298	149
8,1,2,1	15,22,33,27	6,8,1,1	37,40,25,20	298	149
33,35,97,45	159,159,224,213	58,89,62,74	195,222,154,191	298	149
33,32,56,28	0,0,0,0	35,71,53,53	0,0,0,1	298	149
44,54,121,43	7,9,13,16	93,112,98,72	13,12,10,9	298	149
41,53,117,44	112,126,146,161	87,102,91,68	123,153,129,138	298	149
97,127,219,113	56,55,65,64	185,170,192,140	59,63,68,57	298	149
439,511,833,513	125,133,221,163	684,879,710,734	121,154,167,165	298	149
