IncLevel1	IncLevel2	IncLevelDifference
1.0,1.0,0.97,0.985	1.0,1.0,0.969,0.986	-0.0
1.0,1.0,0.978,1.0	1.0,1.0,0.987,0.986	0.001
1.0,1.0,1.0,1.0	1.0,0.965,1.0,1.0	0.009
1.0,0.945,0.978,1.0	1.0,1.0,1.0,1.0	-0.019
0.962,0.873,1.0,1.0	1.0,1.0,1.0,1.0	-0.041
1.0,0.93,0.969,1.0	1.0,1.0,1.0,1.0	-0.025
0.333,0.091,1.0,NA	1.0,1.0,1.0,1.0	-0.525
1.0,1.0,1.0,1.0	1.0,1.0,0.982,1.0	0.004
0.967,1.0,1.0,1.0	1.0,0.972,1.0,1.0	-0.001
0.933,0.788,1.0,1.0	1.0,1.0,1.0,1.0	-0.07
0.933,1.0,1.0,1.0	1.0,0.955,1.0,1.0	-0.006
0.973,0.982,0.944,1.0	0.957,0.906,0.951,0.943	0.035
0.0,0.04,0.024,0.04	0.088,0.042,0.038,0.0	-0.016
0.0,0.0,0.013,0.0	0.077,0.0,0.039,0.0	-0.026
0.27,0.557,0.554,0.697	0.579,0.477,0.502,0.394	0.032
0.895,1.0,0.98,1.0	1.0,1.0,1.0,1.0	-0.031
0.915,0.909,0.823,0.715	0.682,1.0,0.626,1.0	0.014
1.0,0.973,1.0,1.0	1.0,0.958,1.0,1.0	0.004
0.0,0.014,0.025,0.0	0.012,0.0,0.026,0.0	0.0
1.0,1.0,1.0,1.0	0.978,1.0,1.0,1.0	0.006
0.0,0.0,0.0,0.0	0.0,0.0,0.019,0.0	-0.005
1.0,1.0,0.995,1.0	1.0,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,1.0	0.737,1.0,1.0,1.0	0.066
1.0,1.0,1.0,1.0	0.994,1.0,1.0,1.0	0.002
1.0,1.0,1.0,1.0	0.997,1.0,1.0,1.0	0.001
0.65,0.686,0.687,0.602	0.616,0.63,0.66,0.601	0.029
1.0,0.974,1.0,1.0	1.0,1.0,1.0,1.0	-0.006
0.995,0.996,0.993,1.0	1.0,1.0,0.989,1.0	-0.001
0.989,0.976,0.977,1.0	1.0,0.988,0.982,0.979	-0.002
1.0,1.0,1.0,1.0	1.0,0.959,0.955,1.0	0.021
1.0,1.0,1.0,0.975	1.0,1.0,1.0,1.0	-0.006
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.785	0.054
1.0,1.0,1.0,1.0	1.0,0.761,1.0,1.0	0.06
1.0,1.0,0.917,1.0	1.0,1.0,0.905,0.922	0.022
0.0,0.0,0.0,0.0	0.0,0.0,0.021,0.015	-0.009
NA,1.0,1.0,NA	0.0,NA,0.0,0.246	0.918
1.0,1.0,0.893,0.785	0.973,1.0,1.0,1.0	-0.074
1.0,1.0,1.0,1.0	1.0,0.995,1.0,0.993	0.003
0.833,0.849,0.918,1.0	0.903,0.806,1.0,1.0	-0.027
0.653,0.772,0.662,0.158	0.601,0.913,0.693,0.871	-0.208
0.846,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.038
NA,1.0,1.0,0.579	1.0,1.0,NA,1.0	-0.14
0.089,0.0,0.407,0.147	0.128,0.064,0.256,0.186	0.002
0.0,0.0,0.0,0.051	0.0,0.061,0.139,0.0	-0.037
0.0,1.0,0.0,0.302	0.0,0.564,0.245,0.0	0.123
1.0,NA,1.0,NA	NA,0.0,1.0,1.0	0.333
NA,NA,NA,1.0	1.0,NA,0.0,1.0	0.333
NA,NA,0.0,1.0	1.0,1.0,1.0,1.0	-0.5
1.0,1.0,0.952,1.0	1.0,1.0,1.0,1.0	-0.012
1.0,1.0,1.0,1.0	1.0,1.0,0.864,1.0	0.034
0.0,0.0,0.0,0.021	0.006,0.012,0.0,0.0	0.001
0.997,0.991,0.978,0.993	0.991,0.995,0.992,0.976	0.001
1.0,0.994,1.0,0.996	1.0,1.0,1.0,1.0	-0.003
0.87,1.0,0.947,1.0	1.0,1.0,1.0,1.0	-0.046
0.946,0.963,1.0,0.923	0.919,0.921,0.934,1.0	0.014
0.66,0.816,1.0,0.904	0.48,1.0,0.649,1.0	0.063
0.147,0.168,0.148,0.164	0.149,0.168,0.199,0.157	-0.012
0.964,0.971,0.979,0.984	0.985,0.983,0.987,0.993	-0.012
0.243,0.245,0.255,0.254	0.247,0.261,0.267,0.258	-0.009
0.003,0.003,0.003,0.002	0.005,0.003,0.004,0.004	-0.001
0.004,0.004,0.004,0.003	0.002,0.003,0.002,0.003	0.001
0.005,0.007,0.007,0.007	0.004,0.006,0.005,0.01	0.0
1.0,0.999,1.0,1.0	1.0,1.0,1.0,0.999	0.0
1.0,1.0,1.0,1.0	1.0,0.999,1.0,1.0	0.0
1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0	0.0
1.0,0.999,1.0,1.0	1.0,1.0,1.0,1.0	-0.0
0.996,0.993,0.996,0.997	0.998,0.989,0.99,0.997	0.002
0.806,0.752,0.876,0.866	0.942,0.645,0.716,0.89	0.027
0.227,0.224,0.229,0.23	0.276,0.229,0.221,0.245	-0.015
0.126,0.055,0.0,0.0	0.067,0.028,0.035,0.037	0.003
1.0,1.0,1.0,0.985	1.0,1.0,1.0,0.976	0.002
1.0,1.0,1.0,0.973	1.0,1.0,1.0,0.964	0.002
1.0,1.0,0.981,1.0	0.993,0.989,1.0,1.0	-0.0
1.0,1.0,1.0,1.0	1.0,0.988,0.994,1.0	0.004
0.993,0.987,1.0,1.0	1.0,1.0,1.0,1.0	-0.005
1.0,0.821,1.0,1.0	1.0,1.0,1.0,1.0	-0.045
1.0,1.0,1.0,1.0	0.875,1.0,1.0,1.0	0.031
0.636,0.636,0.81,0.68	0.75,0.5,0.5,1.0	0.003
1.0,0.897,1.0,1.0	1.0,1.0,1.0,1.0	-0.026
1.0,0.794,0.942,1.0	1.0,0.89,1.0,1.0	-0.039
1.0,1.0,1.0,0.84	0.667,0.9,0.926,0.727	0.155
1.0,1.0,0.5,1.0	1.0,0.5,1.0,1.0	0.0
1.0,1.0,0.714,1.0	1.0,0.917,1.0,1.0	-0.051
1.0,1.0,1.0,0.939	1.0,1.0,1.0,1.0	-0.015
1.0,0.986,1.0,1.0	1.0,1.0,1.0,1.0	-0.004
0.024,0.015,0.01,0.012	0.023,0.016,0.019,0.018	-0.004
0.073,0.122,0.092,0.086	0.05,0.047,0.066,0.048	0.04
0.884,0.939,0.903,0.943	0.901,0.874,0.912,0.897	0.021
1.0,1.0,0.825,0.95	1.0,1.0,1.0,1.0	-0.056
0.086,0.0,0.056,0.051	0.024,0.067,0.041,0.02	0.01
0.0,NA,0.0,0.09	0.0,0.0,0.0,0.0	0.03
0.976,1.0,1.0,0.983	0.948,0.97,0.973,0.948	0.03
1.0,1.0,1.0,1.0	0.981,0.985,0.959,1.0	0.019
0.937,0.905,0.989,0.899	0.935,0.928,0.967,0.974	-0.019
0.922,1.0,0.863,0.914	0.956,0.988,0.891,0.971	-0.027
1.0,1.0,1.0,0.982	0.964,1.0,0.986,1.0	0.008
0.97,1.0,0.968,0.992	0.972,1.0,0.969,0.971	0.004
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.984	0.004
0.993,1.0,1.0,1.0	1.0,0.986,0.987,0.983	0.009
0.992,1.0,1.0,1.0	0.987,1.0,0.995,0.994	0.004
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.963	0.009
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.992	0.002
1.0,1.0,1.0,0.981	1.0,1.0,1.0,1.0	-0.005
0.945,1.0,1.0,1.0	1.0,0.986,1.0,1.0	-0.01
0.923,1.0,1.0,1.0	1.0,1.0,1.0,0.889	0.008
0.925,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.019
0.0,0.03,0.0,0.319	0.123,0.0,0.0,0.06	0.041
0.851,1.0,1.0,1.0	1.0,1.0,1.0,0.875	-0.006
0.889,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.028
0.396,1.0,0.663,0.496	0.663,1.0,0.568,0.766	-0.11
1.0,1.0,1.0,0.953	0.843,1.0,0.959,1.0	0.038
1.0,1.0,1.0,0.958	0.84,1.0,0.961,1.0	0.039
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.978	0.006
1.0,1.0,0.983,1.0	1.0,1.0,1.0,1.0	-0.004
1.0,1.0,1.0,1.0	0.978,1.0,1.0,1.0	0.006
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.984	0.004
1.0,0.961,1.0,1.0	1.0,1.0,1.0,1.0	-0.01
1.0,1.0,1.0,0.954	1.0,1.0,1.0,1.0	-0.012
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.976	0.006
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.919	0.02
1.0,1.0,1.0,1.0	1.0,0.964,0.88,0.964	0.048
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.932	0.017
1.0,1.0,1.0,1.0	1.0,0.986,0.951,0.986	0.019
0.0,0.0,0.0,0.0	0.0,0.151,0.0,0.0	-0.038
0.0,NA,1.0,0.0	1.0,0.0,0.0,NA	0.0
0.438,0.438,0.701,1.0	0.089,1.0,0.862,0.701	-0.019
1.0,1.0,1.0,0.833	1.0,1.0,0.778,1.0	0.014
0.75,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.062
1.0,0.962,1.0,1.0	1.0,1.0,1.0,1.0	-0.01
0.994,0.989,0.981,0.995	0.995,0.992,0.993,1.0	-0.005
1.0,1.0,0.972,1.0	1.0,0.972,1.0,1.0	0.0
0.637,0.525,0.807,0.666	0.734,0.551,0.779,0.703	-0.033
0.534,0.468,0.445,0.616	0.572,0.471,0.546,0.685	-0.053
0.702,0.754,0.626,0.784	0.65,0.791,0.603,0.837	-0.004
0.966,1.0,0.966,1.0	0.97,1.0,1.0,1.0	-0.009
0.0,NA,NA,NA	1.0,NA,NA,1.0	-1.0
1.0,1.0,0.979,1.0	1.0,1.0,1.0,1.0	-0.005
1.0,1.0,1.0,1.0	0.991,1.0,1.0,1.0	0.002
1.0,1.0,0.994,1.0	1.0,1.0,1.0,1.0	-0.002
1.0,1.0,1.0,0.995	1.0,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,1.0	1.0,1.0,0.995,1.0	0.001
0.864,0.842,0.816,0.86	0.887,0.888,0.786,0.835	-0.004
0.161,0.194,0.214,0.228	0.197,0.246,0.238,0.201	-0.021
1.0,1.0,1.0,1.0	1.0,0.997,1.0,1.0	0.001
0.996,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.001
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.985	0.004
1.0,1.0,0.997,1.0	1.0,1.0,1.0,1.0	-0.001
0.081,0.043,0.0,0.077	0.043,0.118,0.061,0.019	-0.01
1.0,0.996,1.0,1.0	1.0,0.994,0.997,1.0	0.001
1.0,0.983,1.0,1.0	1.0,0.967,0.983,1.0	0.008
0.015,0.033,0.033,0.022	0.034,0.034,0.055,0.039	-0.015
0.856,0.939,0.957,1.0	1.0,0.958,1.0,1.0	-0.052
1.0,1.0,1.0,1.0	0.995,1.0,1.0,1.0	0.001
0.755,0.78,0.789,0.802	0.754,0.742,0.784,0.789	0.014
0.796,0.737,0.826,0.79	0.832,0.745,0.643,0.694	0.059
0.848,0.872,0.848,0.86	0.887,0.85,0.815,0.848	0.007
0.979,0.996,0.989,0.982	0.992,0.991,0.992,0.992	-0.005
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.996	0.001
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.996	0.001
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.992	0.002
1.0,1.0,1.0,1.0	1.0,1.0,0.826,1.0	0.043
1.0,1.0,1.0,1.0	1.0,1.0,0.964,1.0	0.009
0.0,0.0,0.0,0.0	0.094,0.0,0.0,0.0	-0.024
1.0,0.367,0.839,0.592	0.935,0.537,0.897,0.615	-0.046
0.699,1.0,1.0,0.864	1.0,1.0,1.0,1.0	-0.109
0.75,1.0,1.0,0.846	1.0,1.0,1.0,1.0	-0.101
1.0,0.833,1.0,1.0	1.0,1.0,1.0,1.0	-0.042
0.565,0.7,0.562,0.583	0.817,0.487,0.533,0.548	0.006
0.045,0.138,0.099,0.061	0.113,0.098,0.081,0.098	-0.012
1.0,1.0,NA,0.0	1.0,1.0,NA,1.0	-0.333
1.0,1.0,0.769,NA	1.0,1.0,1.0,1.0	-0.077
1.0,1.0,1.0,0.98	1.0,1.0,1.0,1.0	-0.005
1.0,0.944,1.0,1.0	0.96,1.0,1.0,1.0	-0.004
0.902,0.954,0.958,1.0	0.961,0.979,1.0,0.985	-0.028
1.0,1.0,1.0,1.0	0.965,1.0,1.0,1.0	0.009
