ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000099550"	"Gm28079"	chrY	-	70011119	70011303	70012700	70012830	70010534	70010604	70014707	70014755
1	"ENSMUSG00000101032"	"Gm29377"	chrY	+	66375896	66376027	66377424	66377608	66373977	66374025	66378123	66378193
2	"ENSMUSG00000068457"	"Uty"	chrY	-	1131035	1131223	1134871	1134986	1129869	1130011	1136847	1136996
3	"ENSMUSG00000068457"	"Uty"	chrY	-	1134871	1134986	1136847	1136996	1131035	1131223	1137657	1137732
4	"ENSMUSG00000068457"	"Uty"	chrY	-	1134871	1134986	1137657	1137732	1131035	1131223	1137806	1137871
5	"ENSMUSG00000068457"	"Uty"	chrY	-	1136847	1136996	1137657	1137732	1134871	1134986	1137806	1137871
6	"ENSMUSG00000068457"	"Uty"	chrY	-	1199454	1199513	1224496	1224546	1189335	1189390	1239710	1239819
7	"ENSMUSG00000068457"	"Uty"	chrY	-	1199454	1199513	1224496	1224546	1189335	1189390	1245155	1245219
8	"ENSMUSG00000068457"	"Uty"	chrY	-	1224496	1224546	1239710	1239819	1199454	1199513	1245155	1245219
9	"ENSMUSG00000069049"	"Eif2s3y"	chrY	+	1011259	1011323	1011839	1011967	1010542	1010685	1012047	1012169
10	"ENSMUSG00000035299"	"Mid1"	chrX	+	169800739	169800792	169926953	169927669	169685198	169685372	169966062	169966158
11	"ENSMUSG00000035299"	"Mid1"	chrX	+	169966062	169966158	169976921	169977029	169926953	169927555	169981884	169982033
12	"ENSMUSG00000079317"	"Trappc2"	chrX	+	166446790	166446902	166449787	166449903	166440775	166440839	166452136	166453138
13	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	166353564	166353684	166367027	166367174	166344691	166345081	166372637	166372824
14	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	166379987	166380159	166382448	166382522	166375632	166375789	166383934	166384000
15	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	166382448	166382522	166383934	166384000	166379987	166380159	166385390	166385481
16	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	166382448	166382522	166383934	166384000	166379987	166380159	166386951	166388988
17	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	166383934	166384000	166385390	166385481	166382448	166382522	166386951	166388988
18	"ENSMUSG00000031380"	"Figf"	chrX	+	164385803	164386029	164391601	164391792	164373377	164373919	164394432	164394581
19	"ENSMUSG00000031360"	"Ctps2"	chrX	+	163000061	163000158	163011061	163011206	162996704	162996760	163029766	163029878
20	"ENSMUSG00000000037"	"Scml2"	chrX	+	161223156	161223240	161224460	161224544	161221665	161221749	161225876	161225960
21	"ENSMUSG00000031295"	"Phka2"	chrX	+	160502746	160502904	160523271	160523430	160502165	160502292	160527729	160527777
22	"ENSMUSG00000031295"	"Phka2"	chrX	+	160502752	160502904	160523271	160523430	160502171	160502292	160527729	160527776
23	"ENSMUSG00000031295"	"Phka2"	chrX	+	160588964	160589018	160590167	160590368	160586778	160586949	160590938	160591141
24	"ENSMUSG00000025658"	"Cnksr2"	chrX	-	157826356	157826553	157853094	157853635	157821435	157823836	157856559	157856660
25	"ENSMUSG00000087403"	"Kantr"	chrX	-	152320209	152320284	152327160	152327239	152315311	152315419	152327365	152327470
26	"ENSMUSG00000041133"	"Smc1a"	chrX	+	152041326	152041468	152046894	152047048	152037590	152037697	152047857	152047968
27	"ENSMUSG00000025261"	"Huwe1"	chrX	+	151806719	151806860	151835223	151835292	151803326	151803569	151840055	151840154
28	"ENSMUSG00000025262"	"Fam120c"	chrX	+	151457721	151457836	151463968	151464178	151436144	151436394	151465282	151465484
29	"ENSMUSG00000025266"	"Gnl3l"	chrX	-	151004244	151004285	151014020	151014089	151003533	151003641	151017200	151017322
30	"ENSMUSG00000025266"	"Gnl3l"	chrX	-	151004244	151004285	151014020	151014150	151003533	151003641	151017200	151017322
31	"ENSMUSG00000025266"	"Gnl3l"	chrX	-	151004270	151004285	151014020	151014089	151003533	151003641	151017200	151017322
32	"ENSMUSG00000025266"	"Gnl3l"	chrX	-	151004270	151004285	151014020	151014150	151003533	151003641	151017200	151017322
33	"ENSMUSG00000025272"	"Tro"	chrX	-	150645693	150646119	150649547	150649655	150645307	150645521	150650433	150650548
34	"ENSMUSG00000041718"	"Alg13"	chrX	+	144319898	144320002	144320002	144320061	144318002	144318121	144322011	144322150
35	"ENSMUSG00000041718"	"Alg13"	chrX	+	144363864	144364107	144367898	144367939	144356795	144356961	144369560	144369861
36	"ENSMUSG00000031284"	"Pak3"	chrX	+	143712277	143712340	143713893	143713938	143709647	143709748	143715135	143715289
37	"ENSMUSG00000047045"	"Tmem164"	chrX	+	142682290	142682949	142805989	142806068	142681417	142681556	142832500	142832601
38	"ENSMUSG00000047045"	"Tmem164"	chrX	+	142682290	142682949	142752039	142752089	142681725	142681939	142770966	142771033
39	"ENSMUSG00000047045"	"Tmem164"	chrX	+	142834184	142834393	142841582	142841645	142832500	142832601	142842409	142843494
40	"ENSMUSG00000031278"	"Acsl4"	chrX	-	142351378	142351908	142360386	142360484	142350959	142351137	142390304	142390344
41	"ENSMUSG00000031278"	"Acsl4"	chrX	-	142351378	142351908	142360386	142360436	142350959	142351137	142390304	142390535
42	"ENSMUSG00000031274"	"Col4a5"	chrX	+	141658531	141658540	141664675	141664684	141656684	141656870	141666841	141666975
43	"ENSMUSG00000079418"	"Atg4a"	chrX	+	140988165	140988237	140988279	140988365	140986278	140986389	140990157	140990256
44	"ENSMUSG00000044348"	"Slc25a53"	chrX	-	137016248	137016339	137030025	137030099	137015256	137015382	137032350	137032500
45	"ENSMUSG00000087368"	"BC065397"	chrX	+	136759855	136759918	136760417	136760575	136758559	136758758	136761990	136762088
46	"ENSMUSG00000087368"	"BC065397"	chrX	+	136759855	136759918	136761990	136762088	136758559	136758758	136788520	136788617
