refseq_ncrna_predicted	ensembl_transcript_id
XR_001778400	ENSMUST00000163643
XR_001778488	ENSMUST00000033876
XR_001778804	ENSMUST00000213518
XR_001778822	ENSMUST00000034912
XR_001779022	ENSMUST00000156680
XR_001779193	ENSMUST00000332093
XR_001779555	ENSMUST00000105525
XR_001779872	ENSMUST00000231452
XR_001779900	ENSMUST00000068264
XR_001779914	ENSMUST00000142739
XR_001779939	ENSMUST00000002121
XR_001779952	ENSMUST00000061837
XR_001780022	ENSMUST00000042808
XR_001780026	ENSMUST00000045026
XR_001780032	ENSMUST00000000285
XR_001780046	ENSMUST00000020831
XR_001780075	ENSMUST00000101270
XR_001780333	ENSMUST00000357891
XR_001780462	ENSMUST00000120580
XR_001780793	ENSMUST00000021614
XR_001781100	ENSMUST00000097588
XR_001781129	ENSMUST00000228252
XR_001781166	ENSMUST00000089473
XR_001781508	ENSMUST00000090247
XR_001781521	ENSMUST00000122941
XR_001781812	ENSMUST00000182627
XR_001781846	ENSMUST00000023335
XR_001781851	ENSMUST00000230616
XR_001781891	ENSMUST00000302890
XR_001782352	ENSMUST00000115366
XR_001782583	ENSMUST00000047247
XR_001782751	ENSMUST00000047037
XR_001783336	ENSMUST00000230800
XR_001783518	ENSMUST00000209674
XR_001783519	ENSMUST00000209399
XR_001783652	ENSMUST00000075316
XR_001784131	ENSMUST00000193143
XR_001784191	ENSMUST00000030452
XR_001784218	ENSMUST00000050949
XR_001784694	ENSMUST00000036489
XR_001785094	ENSMUST00000152831
XR_001785575	ENSMUST00000037991
XR_001785578	ENSMUST00000071268
XR_373606	ENSMUST00000237749
XR_373614	ENSMUST00000027797
XR_373945	ENSMUST00000154230
XR_373946	ENSMUST00000154230
XR_374090	ENSMUST00000131298
XR_374097	ENSMUST00000028178
XR_374143	ENSMUST00000052550
XR_374438	ENSMUST00000036450
XR_375515	ENSMUST00000160074
XR_375551	ENSMUST00000142890
XR_376792	ENSMUST00000087181
XR_377438	ENSMUST00000113712
XR_380329	ENSMUST00000218315
XR_380404	ENSMUST00000061506
XR_380985	ENSMUST00000070257
XR_381481	ENSMUST00000127843
XR_382235	ENSMUST00000037923
XR_382461	ENSMUST00000026993
XR_383969	ENSMUST00000186360
XR_385168	ENSMUST00000097414
XR_385169	ENSMUST00000097414
XR_385990	ENSMUST00000037763
XR_386023	ENSMUST00000165123
XR_386369	ENSMUST00000023828
XR_386464	ENSMUST00000043610
XR_387134	ENSMUST00000113130
XR_388348	ENSMUST00000036315
XR_388384	ENSMUST00000079545
XR_388402	ENSMUST00000048139
XR_388524	ENSMUST00000132685
XR_388552	ENSMUST00000101270
XR_388589	ENSMUST00000155032
XR_389271	ENSMUST00000046603
XR_389751	ENSMUST00000030778
XR_390341	ENSMUST00000084524
XR_866007	ENSMUST00000000199
XR_866008	ENSMUST00000000199
XR_866010	ENSMUST00000028279
XR_868865	ENSMUST00000203954
XR_873991	ENSMUST00000328241
XR_879535	ENSMUST00000001480
XR_881423	ENSMUST00000036579
