ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSMUSG00000068457"	"Uty"	chrY	-	1170903	1171002	1170903	1170954	1174727	1174854
1	"ENSMUSG00000056673"	"Kdm5d"	chrY	+	910656	910849	910685	910849	910447	910586
2	"ENSMUSG00000056673"	"Kdm5d"	chrY	+	914024	916760	916640	916760	910685	910849
3	"ENSMUSG00000056673"	"Kdm5d"	chrY	+	927602	927891	927709	927891	927244	927439
4	"ENSMUSG00000035299"	"Mid1"	chrX	+	169985896	169986097	169985935	169986097	169984998	169985142
5	"ENSMUSG00000031354"	"Amelx"	chrX	-	169181777	169182143	169181777	169181852	169182484	169182529
6	"ENSMUSG00000031354"	"Amelx"	chrX	-	169181777	169182215	169181777	169181852	169182484	169182529
7	"ENSMUSG00000031354"	"Amelx"	chrX	-	169181777	169182215	169181777	169182143	169182484	169182529
8	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	166385390	166388988	166386951	166388988	166382448	166382522
9	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	166385390	166388988	166386951	166388988	166383934	166384000
10	"ENSMUSG00000040621"	"Gemin8"	chrX	+	166180352	166180809	166180445	166180809	166178791	166178830
11	"ENSMUSG00000047757"	"Fancb"	chrX	+	164992703	164992894	164992730	164992894	164991544	164991688
12	"ENSMUSG00000047757"	"Fancb"	chrX	+	164995886	164996121	164995978	164996121	164995343	164995422
13	"ENSMUSG00000000037"	"Scml2"	chrX	+	161209194	161209269	161209197	161209269	161202013	161202097
14	"ENSMUSG00000000037"	"Scml2"	chrX	+	161237479	161237757	161237491	161237757	161234612	161234696
15	"ENSMUSG00000031295"	"Phka2"	chrX	+	160590165	160590368	160590167	160590368	160588964	160589018
16	"ENSMUSG00000025283"	"Sat1"	chrX	-	155213896	155213958	155213896	155213937	155214032	155214134
17	"ENSMUSG00000045180"	"Shroom2"	chrX	-	152617192	152617453	152617192	152617355	152618900	152619446
18	"ENSMUSG00000045180"	"Shroom2"	chrX	-	152618900	152619639	152618900	152619446	152623125	152623335
19	"ENSMUSG00000045180"	"Shroom2"	chrX	-	152623125	152623335	152623125	152623317	152644393	152644543
20	"ENSMUSG00000045180"	"Shroom2"	chrX	-	152623125	152623335	152623125	152623317	152657423	152657524
21	"ENSMUSG00000087403"	"Kantr"	chrX	-	152298651	152298887	152298651	152298874	152327160	152327239
22	"ENSMUSG00000025261"	"Huwe1"	chrX	+	151806271	151806407	151806275	151806407	151800882	151800946
23	"ENSMUSG00000025261"	"Huwe1"	chrX	+	151806271	151806407	151806275	151806407	151801313	151801366
24	"ENSMUSG00000025261"	"Huwe1"	chrX	+	151806271	151806407	151806275	151806407	151803661	151803802
25	"ENSMUSG00000025261"	"Huwe1"	chrX	+	151806271	151806407	151806275	151806407	151804445	151804540
26	"ENSMUSG00000025261"	"Huwe1"	chrX	+	151898443	151898661	151898446	151898661	151897186	151897253
27	"ENSMUSG00000025261"	"Huwe1"	chrX	+	151908727	151908956	151908730	151908956	151907275	151907444
28	"ENSMUSG00000025266"	"Gnl3l"	chrX	-	151014020	151014150	151014020	151014089	151017200	151017322
29	"ENSMUSG00000025272"	"Tro"	chrX	-	150645693	150649655	150645693	150646119	150650433	150650548
30	"ENSMUSG00000025271"	"Pfkfb1"	chrX	+	150589795	150590084	150589952	150590084	150588944	150589044
31	"ENSMUSG00000025270"	"Alas2"	chrX	+	150552958	150553081	150553003	150553081	150552148	150552344
32	"ENSMUSG00000025269"	"Apex2"	chrX	-	150585864	150586066	150585864	150586045	150587042	150587126
33	"ENSMUSG00000041718"	"Alg13"	chrX	+	144319898	144320061	144320002	144320061	144318022	144318121
34	"ENSMUSG00000031278"	"Acsl4"	chrX	-	142351378	142351618	142351378	142351615	142360386	142360436
35	"ENSMUSG00000031278"	"Acsl4"	chrX	-	142351378	142351908	142351378	142351615	142360386	142360436
36	"ENSMUSG00000031278"	"Acsl4"	chrX	-	142351378	142351908	142351378	142351618	142360386	142360436
37	"ENSMUSG00000044348"	"Slc25a53"	chrX	-	137015256	137016339	137015256	137015382	137027989	137028154
38	"ENSMUSG00000044348"	"Slc25a53"	chrX	-	137016248	137016339	137016248	137016335	137027989	137028154
39	"ENSMUSG00000044550"	"Tceal3"	chrX	+	136667059	136667190	136667123	136667190	136594201	136594250
40	"ENSMUSG00000044550"	"Tceal3"	chrX	+	136667059	136667190	136667123	136667190	136666610	136666664
41	"ENSMUSG00000046432"	"Ngfrap1"	chrX	+	136271262	136271978	136271267	136271978	136270809	136270882
42	"ENSMUSG00000009941"	"Nxf2"	chrX	-	134949686	134949884	134949686	134949866	134950346	134950419
43	"ENSMUSG00000049047"	"Armcx3"	chrX	+	134757235	134757342	134757263	134757342	134756646	134756885
44	"ENSMUSG00000079435"	"Rpl36a"	chrX	+	134586510	134586578	134586511	134586578	134586077	134586183
