ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSMUSG00000069049"	"Eif2s3y"	chrY	+	1016056	1017508	1016056	1016191	1017363	1017508	1	391,509,920,351	0,3,0,0	676,1093,958,775	0,0,0,0	1321	149	0.308630921064443	0.526203127188342	1.0,0.95,1.0,1.0	1.0,1.0,1.0,1.0	-0.012
2	"ENSMUSG00000056673"	"Kdm5d"	chrY	+	914024	916760	914024	914183	916640	916760	2	73,98,162,71	24,63,55,31	99,150,94,88	47,52,58,62	2606	149	0.324197875851883	0.539535190449579	0.148,0.082,0.144,0.116	0.107,0.142,0.085,0.075	0.02
4	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	166385390	166388988	166385390	166385481	166386951	166388988	4	13094,14874,23236,18251	106,131,212,116	19108,22414,18830,17163	182,165,184,148	1619	149	0.337203049871958	0.548014215521773	0.919,0.913,0.91,0.935	0.906,0.926,0.904,0.914	0.007
5	"ENSMUSG00000038344"	"Txlng"	chrX	-	162786616	162787678	162786616	162786691	162787558	162787678	5	86,70,155,83	15,23,39,16	132,163,136,168	13,28,17,19	1016	149	0.0023295514969025	0.0405879972861405	0.457,0.309,0.368,0.432	0.598,0.461,0.54,0.565	-0.149
6	"ENSMUSG00000038344"	"Txlng"	chrX	-	162811291	162811595	162811291	162811388	162811535	162811595	6	54,103,141,87	3,1,7,6	82,113,141,90	5,11,11,11	296	149	0.0139486814630119	0.0891402796553888	0.901,0.981,0.91,0.88	0.892,0.838,0.866,0.805	0.068
7	"ENSMUSG00000025332"	"Kdm5c"	chrX	+	152244872	152245283	152244872	152244996	152245101	152245283	7	0,0,1,2	71,83,149,119	0,2,2,0	87,136,115,104	254	149	0.623852652621375	0.799992353408713	0.0,0.0,0.004,0.01	0.0,0.009,0.01,0.0	-0.001
8	"ENSMUSG00000025262"	"Fam120c"	chrX	+	151467299	151467856	151467299	151467438	151467798	151467856	8	70,103,127,46	73,82,97,109	110,93,112,99	100,112,127,115	509	149	0.999202115572178	0.999202115572178	0.219,0.269,0.277,0.11	0.244,0.196,0.205,0.201	0.007
9	"ENSMUSG00000025268"	"Maged2"	chrX	-	150808720	150809152	150808720	150808783	150809109	150809152	9	35,42,67,47	242,308,346,380	85,73,83,53	337,316,258,270	475	149	0.000803953130453006	0.0243590017560479	0.043,0.041,0.057,0.037	0.073,0.068,0.092,0.058	-0.028
10	"ENSMUSG00000025268"	"Maged2"	chrX	-	150811822	150812314	150811822	150811948	150812155	150812314	10	930,948,1105,1351	2,10,5,11	1138,1054,1085,1076	4,10,8,6	356	149	0.999202115572178	0.999202115572178	0.995,0.975,0.989,0.981	0.992,0.978,0.983,0.987	0.0
11	"ENSMUSG00000025272"	"Tro"	chrX	-	150645693	150649655	150645693	150646119	150649464	150649655	11	4759,5498,8013,5787	0,0,0,0	7157,8176,7176,7110	0,1,0,0	3494	149	0.0897407000909783	0.270817490496775	1.0,1.0,1.0,1.0	1.0,0.997,1.0,1.0	0.001
