	GeneID	chr	strand	SEstart	SeEnd	upstreamEnd	DownstreamStart
0	ENSMUSG00000068457	chrY	-	1099581	1099752	1098573	1102764
1	ENSMUSG00000068457	chrY	-	1131035	1131223	1130011	1134871
2	ENSMUSG00000068457	chrY	-	1134871	1134986	1131223	1136847
3	ENSMUSG00000068457	chrY	-	1134871	1134986	1131223	1137657
4	ENSMUSG00000068457	chrY	-	1134871	1134986	1131223	1137806
5	ENSMUSG00000068457	chrY	-	1136847	1136996	1131223	1137657
6	ENSMUSG00000068457	chrY	-	1136847	1136996	1131223	1137806
7	ENSMUSG00000068457	chrY	-	1136847	1136996	1134986	1137657
8	ENSMUSG00000068457	chrY	-	1136847	1136996	1134986	1137806
9	ENSMUSG00000068457	chrY	-	1137657	1137732	1131223	1137806
10	ENSMUSG00000068457	chrY	-	1137657	1137732	1134986	1137806
11	ENSMUSG00000068457	chrY	-	1137657	1137732	1136996	1137806
12	ENSMUSG00000068457	chrY	-	1161174	1161230	1158634	1168089
13	ENSMUSG00000068457	chrY	-	1161178	1161230	1158634	1168089
14	ENSMUSG00000068457	chrY	-	1169122	1169257	1168185	1169964
15	ENSMUSG00000068457	chrY	-	1197205	1197326	1189390	1199454
16	ENSMUSG00000068457	chrY	-	1199454	1199513	1189390	1224496
17	ENSMUSG00000068457	chrY	-	1224496	1224546	1199513	1239710
18	ENSMUSG00000068457	chrY	-	1226694	1226826	1224546	1239710
19	ENSMUSG00000068457	chrY	-	1239710	1239819	1224546	1245155
20	ENSMUSG00000068457	chrY	-	1239991	1240147	1239819	1245155
37	ENSMUSG00000031352	chrX	-	169316545	169316694	169315721	169316995
41	ENSMUSG00000044583	chrX	-	167308788	167308856	167308485	167309280
42	ENSMUSG00000044583	chrX	-	167308788	167308856	167308485	167330000
43	ENSMUSG00000044583	chrX	-	167309280	167309361	167308485	167330000
44	ENSMUSG00000044583	chrX	-	167309280	167309361	167308856	167330000
45	ENSMUSG00000040522	chrX	-	167263748	167263890	167245849	167264151
46	ENSMUSG00000084806	chrX	-	167092826	167092913	167089872	167102013
47	ENSMUSG00000086008	chrX	-	167068279	167068408	167065005	167069135
48	ENSMUSG00000000402	chrX	-	166568408	166568521	166563034	166585455
49	ENSMUSG00000051224	chrX	-	166507708	166507746	166505836	166508905
50	ENSMUSG00000079316	chrX	-	166458891	166459009	166458343	166462314
51	ENSMUSG00000079316	chrX	-	166465093	166465122	166462342	166479539
54	ENSMUSG00000040586	chrX	-	166413300	166413374	166411907	166414975
55	ENSMUSG00000040586	chrX	-	166424975	166425082	166415095	166426819
74	ENSMUSG00000018589	chrX	-	165183572	165183722	165130562	165252219
75	ENSMUSG00000018589	chrX	-	165254220	165254358	165252434	165257105
76	ENSMUSG00000018589	chrX	-	165289598	165289666	165282046	165324500
104	ENSMUSG00000038344	chrX	-	162790611	162790806	162787678	162797639
105	ENSMUSG00000038344	chrX	-	162807484	162807576	162797810	162811291
106	ENSMUSG00000038344	chrX	-	162811291	162811595	162797810	162829238
107	ENSMUSG00000059493	chrX	-	161839798	161839925	161837421	161840204
108	ENSMUSG00000059493	chrX	-	161849474	161849537	161847214	161871468
109	ENSMUSG00000062168	chrX	-	160624563	160624648	160623703	160625676
110	ENSMUSG00000062168	chrX	-	160643267	160643304	160642000	160646630
111	ENSMUSG00000062168	chrX	-	160718262	160718340	160693614	160735435
141	ENSMUSG00000025658	chrX	-	157826356	157826553	157823836	157853094
142	ENSMUSG00000025658	chrX	-	157853094	157853635	157826553	157856559
143	ENSMUSG00000025658	chrX	-	157890082	157890172	157888612	157906669
144	ENSMUSG00000025658	chrX	-	157919745	157919892	157910250	157934639
145	ENSMUSG00000025658	chrX	-	157961253	157961295	157945416	157990107
146	ENSMUSG00000025658	chrX	-	157993730	157993933	157990195	157996520
147	ENSMUSG00000071708	chrX	-	157465823	157465888	157462136	157469987
148	ENSMUSG00000071708	chrX	-	157466397	157466491	157465888	157469987
149	ENSMUSG00000041552	chrX	-	155622319	155622484	155587031	155622959
150	ENSMUSG00000025283	chrX	-	155213896	155213937	155213667	155214032
151	ENSMUSG00000025283	chrX	-	155213896	155213958	155213667	155214032
152	ENSMUSG00000025283	chrX	-	155215120	155215230	155214134	155215600
156	ENSMUSG00000041633	chrX	-	153695623	153695678	153689697	153696084
160	ENSMUSG00000045180	chrX	-	152618900	152619446	152617355	152623125
161	ENSMUSG00000045180	chrX	-	152618900	152619639	152617355	152623125
162	ENSMUSG00000045180	chrX	-	152623125	152623317	152617355	152643812
163	ENSMUSG00000045180	chrX	-	152623125	152623335	152617355	152643812
169	ENSMUSG00000056679	chrX	-	152367420	152367510	152347708	152368050
170	ENSMUSG00000087403	chrX	-	152320209	152320284	152298874	152327160
171	ENSMUSG00000087403	chrX	-	152320209	152320284	152298874	152327365
172	ENSMUSG00000087403	chrX	-	152320209	152320284	152315419	152327160
173	ENSMUSG00000087403	chrX	-	152327160	152327239	152298874	152327365
174	ENSMUSG00000087403	chrX	-	152327160	152327239	152320284	152327365
217	ENSMUSG00000025264	chrX	-	151090595	151090781	151090414	151091675
218	ENSMUSG00000025264	chrX	-	151090604	151090781	151090414	151091675
219	ENSMUSG00000025264	chrX	-	151091675	151091767	151090414	151096164
220	ENSMUSG00000025264	chrX	-	151096164	151096255	151091767	151096428
221	ENSMUSG00000025266	chrX	-	150995010	150995098	150994422	150997185
222	ENSMUSG00000025266	chrX	-	150999696	150999803	150997330	151000602
223	ENSMUSG00000025266	chrX	-	151002173	151002290	151001121	151003533
224	ENSMUSG00000025266	chrX	-	151004244	151004285	151003641	151014020
225	ENSMUSG00000025266	chrX	-	151004270	151004285	151003641	151014020
226	ENSMUSG00000025266	chrX	-	151012521	151012692	151004285	151014020
227	ENSMUSG00000025266	chrX	-	151014020	151014089	151004285	151017200
228	ENSMUSG00000025266	chrX	-	151014020	151014150	151004285	151017200
229	ENSMUSG00000025268	chrX	-	150812670	150812737	150812314	150814228
230	ENSMUSG00000025272	chrX	-	150645693	150646119	150645521	150650433
231	ENSMUSG00000025272	chrX	-	150645693	150649655	150645521	150650433
232	ENSMUSG00000025272	chrX	-	150649464	150649655	150646119	150650433
233	ENSMUSG00000025272	chrX	-	150649547	150649655	150645521	150650433
239	ENSMUSG00000025269	chrX	-	150522120	150522210	150521282	150584464
240	ENSMUSG00000031289	chrX	-	147384443	147384559	147383677	147388213
241	ENSMUSG00000031289	chrX	-	147400821	147400929	147397980	147403732
245	ENSMUSG00000041700	chrX	-	145326838	145326937	145291327	145340727
249	ENSMUSG00000041710	chrX	-	144387852	144387894	144385983	144388148
250	ENSMUSG00000041710	chrX	-	144480959	144481481	144427821	144523463
288	ENSMUSG00000031278	chrX	-	142321779	142321856	142320834	142327975
289	ENSMUSG00000031278	chrX	-	142351378	142351615	142351137	142360386
290	ENSMUSG00000031278	chrX	-	142351378	142351618	142351137	142360386
291	ENSMUSG00000031278	chrX	-	142351378	142351908	142351137	142360386
292	ENSMUSG00000031278	chrX	-	142360386	142360436	142351908	142390304
293	ENSMUSG00000031278	chrX	-	142360386	142360484	142351908	142390304
294	ENSMUSG00000042282	chrX	-	142179979	142180281	142161931	142189120
303	ENSMUSG00000031273	chrX	-	141172668	141172815	141172226	141174618
309	ENSMUSG00000072944	chrX	-	140027567	140027702	140025340	140027838
310	ENSMUSG00000072944	chrX	-	140060774	140060822	140039155	140062247
311	ENSMUSG00000072944	chrX	-	140060774	140060822	140039155	140062412
316	ENSMUSG00000044348	chrX	-	136988145	136988205	136983621	136992965
317	ENSMUSG00000044348	chrX	-	137016248	137016335	137015382	137027989
318	ENSMUSG00000044348	chrX	-	137016248	137016339	137015382	137027989
319	ENSMUSG00000044348	chrX	-	137027989	137028154	137015382	137030025
320	ENSMUSG00000044348	chrX	-	137027989	137028154	137016339	137032350
321	ENSMUSG00000044348	chrX	-	137030025	137030099	137028154	137032350
322	ENSMUSG00000044348	chrX	-	137032350	137032500	137016339	137037929
323	ENSMUSG00000044348	chrX	-	137032350	137032500	137016339	137038165
324	ENSMUSG00000044348	chrX	-	137032350	137032500	137016339	137038223
325	ENSMUSG00000072955	chrX	-	136975397	136975502	136956839	136976758
331	ENSMUSG00000018595	chrX	-	136775485	136775553	136774772	136775832
343	ENSMUSG00000031422	chrX	-	136735545	136735622	136734501	136739804
344	ENSMUSG00000031422	chrX	-	136739804	136739894	136734501	136742823
