	GeneID	chr	strand	1stExonStart	1stExonEnd	2ndExonStart	2ndExonEnd	upstreamEE	downstreamES
0	ENSMUSG00000068457	chrY	-	1131035	1131223	1134871	1134986	1130011	1136847
1	ENSMUSG00000068457	chrY	-	1134871	1134986	1136847	1136996	1131223	1137657
2	ENSMUSG00000068457	chrY	-	1134871	1134986	1137657	1137732	1131223	1137806
3	ENSMUSG00000068457	chrY	-	1136847	1136996	1137657	1137732	1134986	1137806
4	ENSMUSG00000068457	chrY	-	1199454	1199513	1224496	1224546	1189390	1239710
5	ENSMUSG00000068457	chrY	-	1199454	1199513	1224496	1224546	1189390	1245155
6	ENSMUSG00000068457	chrY	-	1224496	1224546	1239710	1239819	1199513	1245155
20	ENSMUSG00000025658	chrX	-	157826356	157826553	157853094	157853635	157823836	157856559
21	ENSMUSG00000087403	chrX	-	152320209	152320284	152327160	152327239	152315419	152327365
25	ENSMUSG00000025266	chrX	-	151004244	151004285	151014020	151014089	151003641	151017200
26	ENSMUSG00000025266	chrX	-	151004244	151004285	151014020	151014150	151003641	151017200
27	ENSMUSG00000025272	chrX	-	150645693	150646119	150649547	150649655	150645521	150650433
34	ENSMUSG00000031278	chrX	-	142351378	142351908	142360386	142360436	142351137	142390304
37	ENSMUSG00000044348	chrX	-	137016248	137016339	137030025	137030099	137015382	137032350
42	ENSMUSG00000031422	chrX	-	136735545	136735622	136739804	136739894	136734501	136741209
52	ENSMUSG00000052676	chrX	-	134977647	134977747	134990563	134990629	134974026	134992134
55	ENSMUSG00000067369	chrX	-	134266260	134266315	134267330	134267561	134263861	134276845
56	ENSMUSG00000051323	chrX	-	133625268	133625438	133681080	133681408	133588577	133685117
57	ENSMUSG00000051323	chrX	-	133625268	133625441	133681080	133681408	133588577	133685117
65	ENSMUSG00000031229	chrX	-	105836309	105836427	105839840	105839978	105832577	105845496
66	ENSMUSG00000031229	chrX	-	105899880	105899993	105910573	105910643	105890972	105911469
67	ENSMUSG00000033906	chrX	-	104574168	104574238	104588300	104588421	104572537	104598091
68	ENSMUSG00000033906	chrX	-	104588300	104588421	104598091	104598186	104574238	104632583
69	ENSMUSG00000033906	chrX	-	104598091	104598186	104632583	104632610	104588421	104670663
71	ENSMUSG00000034055	chrX	-	102520753	102520924	102528066	102528117	102517496	102531921
