	GeneID	chr	strand	RiStart	RiEnd
0	ENSMUSG00000069049	chrY	+	1016056	1017508
1	ENSMUSG00000056673	chrY	+	914024	916760
2	ENSMUSG00000031342	chrX	+	166385390	166388988
5	ENSMUSG00000025332	chrX	+	152244872	152245283
6	ENSMUSG00000025262	chrX	+	151467299	151467856
14	ENSMUSG00000031256	chrX	+	134069844	134073277
15	ENSMUSG00000031256	chrX	+	134069844	134073277
17	ENSMUSG00000079487	chrX	+	101293957	101294175
25	ENSMUSG00000043929	chrX	+	94234989	94235420
26	ENSMUSG00000000881	chrX	+	100772822	100773409
27	ENSMUSG00000033460	chrX	+	134718369	134718818
28	ENSMUSG00000033460	chrX	+	134718369	134718818
29	ENSMUSG00000031398	chrX	+	74333745	74334348
30	ENSMUSG00000031398	chrX	+	74335042	74335498
31	ENSMUSG00000031398	chrX	+	74335769	74336191
32	ENSMUSG00000015291	chrX	+	74307671	74308261
33	ENSMUSG00000015291	chrX	+	74309075	74310134
34	ENSMUSG00000019087	chrX	+	74300577	74301358
35	ENSMUSG00000008682	chrX	+	74271659	74271907
42	ENSMUSG00000031385	chrX	+	73766940	73767672
44	ENSMUSG00000035967	chrX	+	56493038	56496734
45	ENSMUSG00000035967	chrX	+	56506879	56507840
47	ENSMUSG00000025860	chrX	+	42071241	42072637
50	ENSMUSG00000031066	chrX	+	20712325	20712982
51	ENSMUSG00000031066	chrX	+	20716746	20717804
52	ENSMUSG00000031065	chrX	+	20696017	20696467
53	ENSMUSG00000031065	chrX	+	20696730	20696964
55	ENSMUSG00000029034	chr4	+	155885564	155886156
56	ENSMUSG00000029034	chr4	+	155888047	155888326
63	ENSMUSG00000019738	chr7	+	30232331	30232536
64	ENSMUSG00000019738	chr7	+	30232749	30232981
65	ENSMUSG00000041921	chr2	+	71509740	71511560
66	ENSMUSG00000022761	chr16	+	17525422	17526331
67	ENSMUSG00000036202	chr2	+	52093502	52094662
71	ENSMUSG00000057110	chr2	+	35175537	35176322
74	ENSMUSG00000002546	chr2	+	32299031	32299310
76	ENSMUSG00000039515	chr2	+	30438228	30439764
81	ENSMUSG00000026803	chr2	+	29069891	29071376
84	ENSMUSG00000014873	chr2	+	26917427	26919055
85	ENSMUSG00000014873	chr2	+	26917427	26919055
86	ENSMUSG00000014873	chr2	+	26917427	26919055
91	ENSMUSG00000015093	chr2	+	25457660	25457974
96	ENSMUSG00000029208	chr5	+	69556952	69558296
97	ENSMUSG00000029208	chr5	+	69567127	69568497
98	ENSMUSG00000026965	chr2	+	25272914	25273932
100	ENSMUSG00000017428	chr11	+	80469801	80470418
101	ENSMUSG00000017418	chr2	+	15076255	15082452
103	ENSMUSG00000019320	chr17	+	24699543	24700015
106	ENSMUSG00000045994	chr9	+	26751504	26751890
107	ENSMUSG00000038374	chr3	+	96631431	96633791
109	ENSMUSG00000037262	chr2	+	10090112	10090363
112	ENSMUSG00000055024	chr15	+	81639740	81640141
113	ENSMUSG00000074797	chr2	+	130671400	130671620
119	ENSMUSG00000057738	chr2	+	30029619	30030196
127	ENSMUSG00000028621	chr4	+	107068611	107070547
128	ENSMUSG00000022884	chr16	+	23108587	23108851
129	ENSMUSG00000022884	chr16	+	23109984	23110343
130	ENSMUSG00000022884	chr16	+	23110579	23111263
131	ENSMUSG00000022884	chr16	+	23111125	23111592
132	ENSMUSG00000007610	chr8	+	71490334	71491590
133	ENSMUSG00000013033	chr8	+	83937196	83937557
138	ENSMUSG00000004100	chr9	+	20889337	20889684
139	ENSMUSG00000004100	chr9	+	20891082	20891365
140	ENSMUSG00000024773	chr19	+	6258550	6258985
142	ENSMUSG00000040663	chr19	+	4220177	4223490
143	ENSMUSG00000024843	chr19	+	3889879	3892213
145	ENSMUSG00000034006	chr18	+	80256306	80257118
146	ENSMUSG00000019368	chr11	+	4043286	4043759
147	ENSMUSG00000019368	chr11	+	4043652	4043972
150	ENSMUSG00000020134	chr11	+	21140563	21142657
151	ENSMUSG00000007050	chr17	+	34984979	34985139
152	ENSMUSG00000003033	chr8	+	72253208	72253633
153	ENSMUSG00000089847	chr7	+	105640761	105641228
154	ENSMUSG00000057246	chr17	+	34421852	34421987
155	ENSMUSG00000057246	chr17	+	34459862	34460734
156	ENSMUSG00000042055	chr7	+	129628993	129629983
157	ENSMUSG00000042055	chr7	+	129630619	129631269
158	ENSMUSG00000042055	chr7	+	129632709	129633729
159	ENSMUSG00000036452	chr18	+	39357552	39357828
160	ENSMUSG00000036452	chr18	+	39357552	39357828
165	ENSMUSG00000020818	chr11	+	116863905	116865956
167	ENSMUSG00000015085	chr2	+	25399281	25399736
168	ENSMUSG00000025962	chr1	+	63735462	63735968
169	ENSMUSG00000044533	chr17	+	24720272	24720731
171	ENSMUSG00000006058	chr11	+	96046279	96047430
174	ENSMUSG00000020156	chr10	+	80228994	80230127
175	ENSMUSG00000020156	chr10	+	80236110	80238920
176	ENSMUSG00000020156	chr10	+	80236110	80238920
177	ENSMUSG00000020156	chr10	+	80238314	80238920
178	ENSMUSG00000009995	chrX	+	74282749	74283400
179	ENSMUSG00000009995	chrX	+	74288177	74288513
180	ENSMUSG00000009995	chrX	+	74288177	74288513
181	ENSMUSG00000034116	chr17	+	57279099	57279401
183	ENSMUSG00000023952	chr17	+	46164193	46164833
184	ENSMUSG00000023952	chr17	+	46165777	46166446
185	ENSMUSG00000029534	chr6	+	17850356	17852412
193	ENSMUSG00000019518	chr5	+	138172348	138172893
194	ENSMUSG00000019518	chr5	+	138172348	138172893
195	ENSMUSG00000019518	chr5	+	138176051	138176263
196	ENSMUSG00000019518	chr5	+	138177922	138178180
198	ENSMUSG00000039220	chr17	+	35927909	35928329
199	ENSMUSG00000035929	chr17	+	35379819	35380636
200	ENSMUSG00000036819	chr11	+	59450674	59453645
201	ENSMUSG00000062044	chr7	+	45786450	45786960
205	ENSMUSG00000024334	chr17	+	34093832	34094589
211	ENSMUSG00000024312	chr17	+	33940884	33941272
212	ENSMUSG00000024299	chr17	+	33538067	33538410
213	ENSMUSG00000024299	chr17	+	33549479	33550670
215	ENSMUSG00000054134	chr17	+	30986068	30986635
217	ENSMUSG00000020886	chr11	+	70030866	70031258
221	ENSMUSG00000017686	chr11	+	80242020	80242681
222	ENSMUSG00000002250	chr17	+	28298276	28299034
224	ENSMUSG00000025737	chr17	+	25827234	25827532
236	ENSMUSG00000027338	chr2	+	131953008	131956130
237	ENSMUSG00000027338	chr2	+	131953008	131956130
238	ENSMUSG00000014767	chr17	+	15501153	15501357
240	ENSMUSG00000032604	chr9	+	108508382	108508986
241	ENSMUSG00000032604	chr9	+	108508382	108509224
242	ENSMUSG00000032604	chr9	+	108512482	108512778
243	ENSMUSG00000032604	chr9	+	108513892	108514208
244	ENSMUSG00000032604	chr9	+	108514966	108515232
245	ENSMUSG00000032604	chr9	+	108514966	108515936
246	ENSMUSG00000073468	chr17	+	8321799	8323335
247	ENSMUSG00000073468	chr17	+	8321799	8323335
248	ENSMUSG00000053080	chr19	+	7421254	7421644
250	ENSMUSG00000001986	chrX	+	41654005	41654924
251	ENSMUSG00000024516	chr18	+	65812664	65814957
252	ENSMUSG00000024516	chr18	+	65812664	65814957
256	ENSMUSG00000022967	chr16	+	91505054	91507441
257	ENSMUSG00000029068	chr4	+	155817922	155820428
258	ENSMUSG00000029068	chr4	+	155817922	155820428
259	ENSMUSG00000029068	chr4	+	155818538	155820428
262	ENSMUSG00000007570	chr17	+	28318061	28318407
269	ENSMUSG00000068206	chr15	+	79245289	79246111
270	ENSMUSG00000068206	chr15	+	79245289	79246500
271	ENSMUSG00000068206	chr15	+	79247264	79248296
272	ENSMUSG00000032280	chr9	+	61411262	61412514
275	ENSMUSG00000004846	chr5	+	136990150	136990539
276	ENSMUSG00000004846	chr5	+	136991543	136992088
277	ENSMUSG00000032409	chr9	+	95864967	95867685
278	ENSMUSG00000050875	chr18	+	59065834	59066989
279	ENSMUSG00000050875	chr18	+	59065834	59066989
280	ENSMUSG00000050875	chr18	+	59065834	59066989
282	ENSMUSG00000038084	chr16	+	29614125	29615164
283	ENSMUSG00000047909	chr2	+	11781476	11783756
284	ENSMUSG00000023505	chr6	+	124831361	124832439
290	ENSMUSG00000024073	chr17	+	74561150	74562101
291	ENSMUSG00000024073	chr17	+	74618435	74619838
295	ENSMUSG00000006498	chr10	+	79858751	79859271
296	ENSMUSG00000006498	chr10	+	79858751	79859271
297	ENSMUSG00000006498	chr10	+	79858951	79859271
298	ENSMUSG00000006498	chr10	+	79858951	79859271
299	ENSMUSG00000006498	chr10	+	79859351	79859712
300	ENSMUSG00000055692	chr16	+	17276633	17276887
301	ENSMUSG00000055692	chr16	+	17276633	17277039
302	ENSMUSG00000055692	chr16	+	17276961	17277250
303	ENSMUSG00000055692	chr16	+	17277341	17277592
304	ENSMUSG00000055692	chr16	+	17277341	17277891
305	ENSMUSG00000055692	chr16	+	17277341	17277891
306	ENSMUSG00000055692	chr16	+	17277668	17277891
307	ENSMUSG00000022779	chr16	+	16889482	16890261
311	ENSMUSG00000024339	chr17	+	34211869	34212358
312	ENSMUSG00000025731	chr17	+	25876660	25877169
319	ENSMUSG00000000148	chr5	+	140710137	140711653
320	ENSMUSG00000000148	chr5	+	140712504	140713172
321	ENSMUSG00000000148	chr5	+	140712504	140713172
326	ENSMUSG00000001289	chr15	+	102326432	102326849
327	ENSMUSG00000015488	chr2	+	27018887	27021089
332	ENSMUSG00000023039	chr15	+	101413968	101416281
334	ENSMUSG00000029389	chr5	+	124554670	124556848
335	ENSMUSG00000023484	chr15	+	99056768	99057158
338	ENSMUSG00000058159	chr17	+	8422104	8422728
339	ENSMUSG00000033237	chr15	+	96391103	96392478
345	ENSMUSG00000026520	chr1	+	180906162	180906687
346	ENSMUSG00000015363	chr15	+	89084902	89085446
347	ENSMUSG00000015363	chr15	+	89085525	89087071
350	ENSMUSG00000027087	chr2	+	83803239	83806916
351	ENSMUSG00000022394	chr15	+	81667158	81668763
352	ENSMUSG00000042303	chr15	+	81003803	81004185
353	ENSMUSG00000042303	chr15	+	81008288	81008908
354	ENSMUSG00000025060	chr19	+	47622235	47622694
355	ENSMUSG00000052133	chr16	+	35659922	35660383
356	ENSMUSG00000032313	chr9	+	55435190	55438345
357	ENSMUSG00000022550	chr15	+	76593937	76594447
358	ENSMUSG00000022550	chr15	+	76593937	76594447
359	ENSMUSG00000022550	chr15	+	76594152	76594447
360	ENSMUSG00000022550	chr15	+	76594528	76594752
362	ENSMUSG00000022558	chr15	+	76407891	76408528
363	ENSMUSG00000022558	chr15	+	76421139	76423835
364	ENSMUSG00000022558	chr15	+	76432148	76433396
365	ENSMUSG00000022558	chr15	+	76434062	76434787
366	ENSMUSG00000022558	chr15	+	76446515	76447365
367	ENSMUSG00000022561	chr15	+	76332159	76332631
368	ENSMUSG00000022561	chr15	+	76332159	76332631
369	ENSMUSG00000022561	chr15	+	76332902	76333373
371	ENSMUSG00000080316	chr17	+	17838086	17838509
373	ENSMUSG00000024338	chr17	+	34200140	34200915
375	ENSMUSG00000068744	chr3	+	108384235	108384431
376	ENSMUSG00000064158	chr7	+	45625121	45625695
377	ENSMUSG00000024403	chr17	+	35237116	35238767
379	ENSMUSG00000014504	chr18	+	34331749	34334364
381	ENSMUSG00000029149	chr5	+	31252191	31252571
382	ENSMUSG00000026289	chr1	+	87785875	87786346
383	ENSMUSG00000005268	chr15	+	10325866	10326545
386	ENSMUSG00000024217	chr17	+	27840463	27842378
391	ENSMUSG00000025736	chr17	+	25829605	25829853
392	ENSMUSG00000025736	chr17	+	25829941	25830206
393	ENSMUSG00000039157	chr2	+	32558317	32560155
396	ENSMUSG00000035900	chr15	+	86132814	86133759
397	ENSMUSG00000062867	chr9	+	108561596	108561857
398	ENSMUSG00000022102	chr14	+	70771544	70771747
399	ENSMUSG00000071644	chr19	+	8969161	8969506
400	ENSMUSG00000038900	chr2	+	32962984	32963853
406	ENSMUSG00000032323	chr9	+	58018193	58019496
407	ENSMUSG00000020397	chr11	+	46439805	46439975
408	ENSMUSG00000040940	chr7	+	24912056	24912352
409	ENSMUSG00000040940	chr7	+	24918519	24919351
410	ENSMUSG00000040940	chr7	+	24923658	24923970
411	ENSMUSG00000040940	chr7	+	24924795	24925062
412	ENSMUSG00000023411	chr14	+	55832222	55833943
413	ENSMUSG00000045691	chr14	+	55056023	55056430
414	ENSMUSG00000005514	chr5	+	135734382	135734706
415	ENSMUSG00000005774	chr3	+	94956486	94956802
416	ENSMUSG00000005774	chr3	+	94957781	94961349
423	ENSMUSG00000032594	chr9	+	108044724	108045313
426	ENSMUSG00000004561	chr14	+	51885150	51885522
427	ENSMUSG00000004561	chr14	+	51885150	51885522
428	ENSMUSG00000004561	chr14	+	51888741	51889635
430	ENSMUSG00000038812	chr19	+	6910583	6911028
431	ENSMUSG00000087231	chr6	+	67063394	67064718
432	ENSMUSG00000036062	chr4	+	42933615	42933997
434	ENSMUSG00000028555	chr4	+	109422445	109422942
435	ENSMUSG00000038335	chr11	+	74907823	74908120
437	ENSMUSG00000029925	chr6	+	39080938	39083855
439	ENSMUSG00000014856	chr8	+	105328321	105328692
440	ENSMUSG00000014856	chr8	+	105328321	105328692
441	ENSMUSG00000021901	chr14	+	31251749	31251954
442	ENSMUSG00000021901	chr14	+	31256660	31257767
443	ENSMUSG00000021901	chr14	+	31256660	31257767
444	ENSMUSG00000021901	chr14	+	31257880	31258530
452	ENSMUSG00000026790	chr2	+	29914230	29914510
453	ENSMUSG00000011658	chr7	+	44897519	44898700
454	ENSMUSG00000011658	chr7	+	44897519	44898700
455	ENSMUSG00000011658	chr7	+	44898984	44899386
456	ENSMUSG00000011658	chr7	+	44898984	44900624
458	ENSMUSG00000021868	chr14	+	25696003	25698341
459	ENSMUSG00000029165	chr5	+	30893900	30894510
460	ENSMUSG00000026199	chr1	+	75194840	75195712
461	ENSMUSG00000026199	chr1	+	75195062	75195712
462	ENSMUSG00000026199	chr1	+	75195062	75195712
463	ENSMUSG00000026199	chr1	+	75195800	75196381
464	ENSMUSG00000026199	chr1	+	75197643	75198376
468	ENSMUSG00000024948	chr19	+	6341743	6341967
469	ENSMUSG00000024948	chr19	+	6343801	6344079
470	ENSMUSG00000024948	chr19	+	6345576	6345836
471	ENSMUSG00000024948	chr19	+	6346083	6346293
472	ENSMUSG00000024948	chr19	+	6352774	6353190
473	ENSMUSG00000032125	chr9	+	37404073	37404521
474	ENSMUSG00000032125	chr9	+	37405572	37406083
475	ENSMUSG00000053332	chr1	+	161035751	161036014
476	ENSMUSG00000053332	chr1	+	161035982	161036244
477	ENSMUSG00000053332	chr1	+	161036207	161036579
478	ENSMUSG00000053332	chr1	+	161035982	161037315
479	ENSMUSG00000053332	chr1	+	161035982	161037315
480	ENSMUSG00000053332	chr1	+	161036819	161037164
481	ENSMUSG00000053332	chr1	+	161036819	161037315
482	ENSMUSG00000053332	chr1	+	161036819	161037315
483	ENSMUSG00000053332	chr1	+	161037287	161037547
484	ENSMUSG00000053332	chr1	+	161037504	161038037
485	ENSMUSG00000053332	chr1	+	161038224	161038535
488	ENSMUSG00000022386	chr15	+	85896359	85896917
489	ENSMUSG00000042328	chr5	+	112369454	112370744
491	ENSMUSG00000026280	chr1	+	93775627	93778364
492	ENSMUSG00000025579	chr11	+	119273974	119274311
499	ENSMUSG00000023007	chr15	+	99304424	99305433
500	ENSMUSG00000023007	chr15	+	99309684	99310035
501	ENSMUSG00000023007	chr15	+	99314842	99315286
502	ENSMUSG00000023007	chr15	+	99314842	99315286
504	ENSMUSG00000022681	chr16	+	13826882	13827125
506	ENSMUSG00000024947	chr19	+	6335038	6335905
507	ENSMUSG00000024947	chr19	+	6338282	6338961
510	ENSMUSG00000042831	chr7	+	30309480	30310054
511	ENSMUSG00000042831	chr7	+	30309480	30310054
512	ENSMUSG00000042831	chr7	+	30312236	30312707
513	ENSMUSG00000042831	chr7	+	30312236	30312707
516	ENSMUSG00000001962	chrX	+	74314863	74315572
517	ENSMUSG00000001962	chrX	+	74318814	74319098
519	ENSMUSG00000058740	chr2	+	25888758	25890905
520	ENSMUSG00000058740	chr2	+	25909204	25909677
521	ENSMUSG00000034059	chr2	+	84737063	84737528
522	ENSMUSG00000030815	chr7	+	127577534	127578029
523	ENSMUSG00000030815	chr7	+	127577534	127578029
524	ENSMUSG00000030815	chr7	+	127577534	127578029
525	ENSMUSG00000022214	chr14	+	55565097	55565541
527	ENSMUSG00000071724	chr15	+	76295894	76296141
528	ENSMUSG00000024160	chr17	+	24890567	24890935
529	ENSMUSG00000024160	chr17	+	24890832	24891136
530	ENSMUSG00000022216	chr14	+	55579770	55580041
531	ENSMUSG00000022216	chr14	+	55580594	55580811
532	ENSMUSG00000022216	chr14	+	55580594	55580811
