ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000096768"	"Erdr1"	chrY	+	90816348	90816464	90816348	90816433	90816435	90816464
1	"ENSMUSG00000069049"	"Eif2s3y"	chrY	+	1016056	1017508	1016056	1016191	1017363	1017508
2	"ENSMUSG00000056673"	"Kdm5d"	chrY	+	914024	916760	914024	914183	916640	916760
3	"ENSMUSG00000035299"	"Mid1"	chrX	+	169975258	169975993	169975258	169975306	169975926	169975993
4	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	166385390	166388988	166385390	166385481	166386951	166388988
5	"ENSMUSG00000038344"	"Txlng"	chrX	-	162786616	162787678	162786616	162786691	162787558	162787678
6	"ENSMUSG00000038344"	"Txlng"	chrX	-	162811291	162811595	162811291	162811388	162811535	162811595
7	"ENSMUSG00000025332"	"Kdm5c"	chrX	+	152244872	152245283	152244872	152244996	152245101	152245283
8	"ENSMUSG00000025262"	"Fam120c"	chrX	+	151467299	151467856	151467299	151467438	151467798	151467856
9	"ENSMUSG00000025268"	"Maged2"	chrX	-	150808720	150809152	150808720	150808783	150809109	150809152
10	"ENSMUSG00000025268"	"Maged2"	chrX	-	150811822	150812314	150811822	150811948	150812155	150812314
11	"ENSMUSG00000025272"	"Tro"	chrX	-	150645693	150649655	150645693	150646119	150649464	150649655
12	"ENSMUSG00000025272"	"Tro"	chrX	-	150650976	150651458	150650976	150651039	150651415	150651458
13	"ENSMUSG00000044348"	"Slc25a53"	chrX	-	137015256	137016339	137015256	137015382	137016248	137016339
14	"ENSMUSG00000067369"	"Trmt2b"	chrX	-	134238142	134238586	134238142	134238242	134238466	134238586
15	"ENSMUSG00000067369"	"Trmt2b"	chrX	-	134240078	134240569	134240078	134240180	134240354	134240569
16	"ENSMUSG00000031256"	"Cstf2"	chrX	+	134069844	134073277	134069844	134069907	134073135	134073277
17	"ENSMUSG00000031256"	"Cstf2"	chrX	+	134069844	134073277	134069844	134069907	134073213	134073277
18	"ENSMUSG00000073027"	"Dmrtc1b"	chrX	+	102711176	102711517	102711176	102711277	102711359	102711517
19	"ENSMUSG00000031310"	"Zmym3"	chrX	-	101415760	101416461	101415760	101415938	101416166	101416461
20	"ENSMUSG00000079487"	"Med12"	chrX	+	101293957	101294175	101293957	101294012	101294087	101294175
21	"ENSMUSG00000046032"	"Snx12"	chrX	-	101211958	101213864	101211958	101212346	101213773	101213864
22	"ENSMUSG00000031297"	"Slc7a3"	chrX	-	101080100	101080871	101080100	101080267	101080707	101080871
23	"ENSMUSG00000078122"	"F630028O10Rik"	chrX	+	96240412	96243636	96240412	96240513	96241037	96243636
24	"ENSMUSG00000057421"	"Las1l"	chrX	-	95947769	95950446	95947769	95947855	95950336	95950446
25	"ENSMUSG00000057421"	"Las1l"	chrX	-	95953221	95955211	95953221	95953303	95955141	95955211
26	"ENSMUSG00000025151"	"Maged1"	chrX	-	94536873	94537356	94536873	94536988	94537293	94537356
27	"ENSMUSG00000025151"	"Maged1"	chrX	-	94537293	94537584	94537293	94537356	94537541	94537584
28	"ENSMUSG00000025151"	"Maged1"	chrX	-	94537675	94538065	94537675	94537755	94537973	94538065
29	"ENSMUSG00000043929"	"Klhl15"	chrX	+	94234989	94235420	94234989	94235125	94235220	94235420
30	"ENSMUSG00000000881"	"Dlg3"	chrX	+	100772822	100773409	100772822	100772959	100773264	100773409
31	"ENSMUSG00000033460"	"Armcx1"	chrX	+	134718369	134718818	134718369	134718461	134718655	134718818
32	"ENSMUSG00000033460"	"Armcx1"	chrX	+	134718369	134718818	134718369	134718461	134718725	134718818
33	"ENSMUSG00000031399"	"Fam3a"	chrX	-	74392674	74393103	74392674	74392727	74392829	74393103
34	"ENSMUSG00000032806"	"Slc10a3"	chrX	-	74369216	74371011	74369216	74370440	74370527	74371011
35	"ENSMUSG00000031398"	"Plxna3"	chrX	+	74333745	74334348	74333745	74333846	74334224	74334348
36	"ENSMUSG00000031398"	"Plxna3"	chrX	+	74335042	74335498	74335042	74335157	74335297	74335498
37	"ENSMUSG00000031398"	"Plxna3"	chrX	+	74335769	74336191	74335769	74335866	74336000	74336191
38	"ENSMUSG00000015291"	"Gdi1"	chrX	+	74307671	74308261	74307671	74307870	74308129	74308261
39	"ENSMUSG00000015291"	"Gdi1"	chrX	+	74309075	74310134	74309075	74309175	74309962	74310134
40	"ENSMUSG00000019087"	"Atp6ap1"	chrX	+	74300577	74301358	74300577	74300771	74301323	74301358
41	"ENSMUSG00000008682"	"Rpl10"	chrX	+	74271659	74271907	74271659	74271718	74271799	74271907
42	"ENSMUSG00000031386"	"Hcfc1"	chrX	-	73946709	73947050	73946709	73946847	73946934	73947050
43	"ENSMUSG00000031387"	"Renbp"	chrX	-	73929115	73930517	73929115	73930262	73930407	73930517
44	"ENSMUSG00000031389"	"Arhgap4"	chrX	-	73899844	73900469	73899844	73899872	73900098	73900469
45	"ENSMUSG00000031389"	"Arhgap4"	chrX	-	73900098	73900469	73900098	73900183	73900277	73900469
46	"ENSMUSG00000002010"	"Idh3g"	chrX	-	73780573	73781030	73780573	73780707	73780897	73781030
47	"ENSMUSG00000002010"	"Idh3g"	chrX	-	73782005	73782716	73782005	73782103	73782674	73782716
48	"ENSMUSG00000031385"	"Plxnb3"	chrX	+	73766940	73767672	73766940	73767180	73767520	73767672
49	"ENSMUSG00000057836"	"Xlr3a"	chrX	-	73090858	73093304	73090858	73090958	73093269	73093304
50	"ENSMUSG00000035967"	"Ddx26b"	chrX	+	56493038	56496734	56493038	56493133	56496515	56496734
51	"ENSMUSG00000035967"	"Ddx26b"	chrX	+	56506879	56507840	56506879	56507062	56507213	56507840
