	GeneID	chr	strand	shortSplice	longSplice	shareSplice
1	ENSMUSG00000056673	chrY	+	910685	910656	910586
2	ENSMUSG00000056673	chrY	+	916640	914024	910849
3	ENSMUSG00000056673	chrY	+	927709	927602	927439
4	ENSMUSG00000035299	chrX	+	169985935	169985896	169985142
5	ENSMUSG00000031342	chrX	+	166386951	166385390	166382522
6	ENSMUSG00000031342	chrX	+	166386951	166385390	166384000
7	ENSMUSG00000040621	chrX	+	166180445	166180352	166178830
8	ENSMUSG00000047757	chrX	+	164992730	164992703	164991688
9	ENSMUSG00000000037	chrX	+	161237491	161237479	161234696
10	ENSMUSG00000031295	chrX	+	160590167	160590165	160589018
17	ENSMUSG00000025261	chrX	+	151806275	151806271	151800946
18	ENSMUSG00000025261	chrX	+	151806275	151806271	151801366
19	ENSMUSG00000025261	chrX	+	151806275	151806271	151803802
20	ENSMUSG00000025261	chrX	+	151806275	151806271	151804540
21	ENSMUSG00000025261	chrX	+	151898446	151898443	151897253
22	ENSMUSG00000025261	chrX	+	151908730	151908727	151907444
25	ENSMUSG00000025271	chrX	+	150589952	150589795	150589044
26	ENSMUSG00000025270	chrX	+	150553003	150552958	150552344
28	ENSMUSG00000041718	chrX	+	144320002	144319898	144318121
34	ENSMUSG00000044550	chrX	+	136667123	136667059	136594250
35	ENSMUSG00000044550	chrX	+	136667123	136667059	136666664
36	ENSMUSG00000046432	chrX	+	136271267	136271262	136270882
38	ENSMUSG00000049047	chrX	+	134757263	134757235	134756885
39	ENSMUSG00000031256	chrX	+	134073213	134073135	134069907
40	ENSMUSG00000031256	chrX	+	134073213	134073135	134072474
41	ENSMUSG00000031256	chrX	+	134073213	134073135	134072764
45	ENSMUSG00000062070	chrX	+	106200156	106200116	106199761
50	ENSMUSG00000034160	chrX	+	101643005	101642975	101640322
51	ENSMUSG00000031314	chrX	+	101540822	101540759	101539187
53	ENSMUSG00000079487	chrX	+	101293957	101293936	101293870
54	ENSMUSG00000079487	chrX	+	101296616	101296592	101296088
55	ENSMUSG00000031209	chrX	+	96497973	96497847	96486358
59	ENSMUSG00000033460	chrX	+	134718725	134718655	134718461
61	ENSMUSG00000031403	chrX	+	75097282	75097234	75096901
62	ENSMUSG00000004221	chrX	+	74437166	74437163	74434014
65	ENSMUSG00000015291	chrX	+	74310479	74310389	74310134
66	ENSMUSG00000008682	chrX	+	74271659	74271360	74271024
76	ENSMUSG00000031385	chrX	+	73759455	73758522	73757150
77	ENSMUSG00000031375	chrX	+	73492962	73492923	73492833
78	ENSMUSG00000031351	chrX	+	73001407	73001404	73001071
79	ENSMUSG00000071753	chrX	+	61134720	61134712	61133503
98	ENSMUSG00000001127	chrX	+	20858765	20858741	20858512
99	ENSMUSG00000031066	chrX	+	20712836	20712325	20712160
100	ENSMUSG00000031065	chrX	+	20694037	20693906	20693531
101	ENSMUSG00000031065	chrX	+	20696921	20696730	20696645
103	ENSMUSG00000031010	chrX	+	13116623	13116608	13114644
104	ENSMUSG00000008035	chrX	+	10717986	10717983	10717704
105	ENSMUSG00000029034	chr4	+	155875228	155875137	155872923
106	ENSMUSG00000029034	chr4	+	155885163	155885097	155875366
113	ENSMUSG00000037321	chr17	+	34193157	34193127	34192965
114	ENSMUSG00000059005	chr2	+	75663672	75663570	75662756
115	ENSMUSG00000019738	chr7	+	30232749	30232691	30232536
116	ENSMUSG00000036879	chr8	+	85843020	85843003	85841057
