ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSMUSG00000096768"	"Erdr1"	chrY	+	90793295	90793680	90793295	90793417	90816348	90816464
1	"ENSMUSG00000068457"	"Uty"	chrY	-	1161174	1161230	1161178	1161230	1157906	1158634
2	"ENSMUSG00000068457"	"Uty"	chrY	-	1176490	1176584	1176495	1176584	1174727	1174854
3	"ENSMUSG00000035299"	"Mid1"	chrX	+	169926953	169927669	169926953	169927555	169966062	169966158
4	"ENSMUSG00000035299"	"Mid1"	chrX	+	169975258	169975993	169975258	169975306	169976921	169977029
5	"ENSMUSG00000035299"	"Mid1"	chrX	+	169972884	169973395	169972884	169972916	169976921	169977031
6	"ENSMUSG00000047757"	"Fancb"	chrX	+	164995343	164995771	164995343	164995422	164995886	164996121
7	"ENSMUSG00000031381"	"Piga"	chrX	+	164422583	164423363	164422583	164422986	164427931	164428064
8	"ENSMUSG00000031381"	"Piga"	chrX	+	164422583	164423672	164422583	164422986	164427931	164428064
9	"ENSMUSG00000031381"	"Piga"	chrX	+	164422583	164423672	164422583	164423363	164427931	164428064
10	"ENSMUSG00000031295"	"Phka2"	chrX	+	160586778	160586954	160586778	160586949	160588964	160589018
11	"ENSMUSG00000031298"	"Adgrg2"	chrX	+	160458834	160458882	160458834	160458873	160461342	160461381
12	"ENSMUSG00000025283"	"Sat1"	chrX	-	155215119	155215684	155215600	155215684	155214032	155214134
13	"ENSMUSG00000045180"	"Shroom2"	chrX	-	152623035	152623335	152623125	152623335	152618900	152619446
14	"ENSMUSG00000087403"	"Kantr"	chrX	-	152327365	152327495	152327409	152327495	152327160	152327239
15	"ENSMUSG00000025332"	"Kdm5c"	chrX	+	152271859	152271938	152271859	152271929	152272074	152272274
16	"ENSMUSG00000041245"	"Wnk3"	chrX	+	151236533	151236727	151236533	151236634	151236892	151237036
17	"ENSMUSG00000041245"	"Wnk3"	chrX	+	151293809	151294041	151293809	151293900	151294421	151294552
18	"ENSMUSG00000025266"	"Gnl3l"	chrX	-	151004244	151004285	151004270	151004285	151003533	151003641
19	"ENSMUSG00000025266"	"Gnl3l"	chrX	-	151017200	151017322	151017204	151017322	151014020	151014089
20	"ENSMUSG00000041353"	"Tmem29"	chrX	-	150458961	150459154	150459071	150459154	150420341	150420441
21	"ENSMUSG00000041380"	"Htr2c"	chrX	+	147169569	147169770	147169569	147169675	147182979	147183152
22	"ENSMUSG00000041380"	"Htr2c"	chrX	+	147169569	147169770	147169569	147169675	147193768	147197277
23	"ENSMUSG00000041718"	"Alg13"	chrX	+	144319898	144320061	144319898	144320002	144322011	144322150
24	"ENSMUSG00000031434"	"Morc4"	chrX	-	139854409	139854538	139854478	139854538	139852012	139852132
25	"ENSMUSG00000031425"	"Plp1"	chrX	+	136831952	136832214	136831952	136832109	136833267	136833436
26	"ENSMUSG00000031425"	"Plp1"	chrX	+	136831952	136832214	136831952	136832109	136834154	136834228
27	"ENSMUSG00000072964"	"Bhlhb9"	chrX	+	135885852	135886097	135885852	135886087	135886844	135886926
