	GeneID	chr	strand	shortSplice	longSplice	shareSplice
1	ENSMUSG00000068457	chrY	-	1176495	1176490	1174854
9	ENSMUSG00000025283	chrX	-	155215600	155215119	155214134
10	ENSMUSG00000045180	chrX	-	152623125	152623035	152619446
11	ENSMUSG00000087403	chrX	-	152327409	152327365	152327239
15	ENSMUSG00000025266	chrX	-	151004270	151004244	151003641
16	ENSMUSG00000025266	chrX	-	151017204	151017200	151014089
17	ENSMUSG00000041353	chrX	-	150459071	150458961	150420441
24	ENSMUSG00000009596	chrX	-	134470487	134470379	134470171
27	ENSMUSG00000031229	chrX	-	105856481	105856457	105856031
28	ENSMUSG00000056537	chrX	-	103981072	103981062	103979334
29	ENSMUSG00000031323	chrX	-	102905060	102905054	102904879
31	ENSMUSG00000031310	chrX	-	101409632	101409611	101409305
32	ENSMUSG00000031310	chrX	-	101418794	101418272	101417330
34	ENSMUSG00000031297	chrX	-	101080707	101080100	101079808
37	ENSMUSG00000047996	chrX	-	78561575	78561559	78520821
41	ENSMUSG00000031429	chrX	-	140952225	140952146	140949309
42	ENSMUSG00000031387	chrX	-	73930228	73930186	73930080
43	ENSMUSG00000031389	chrX	-	73896393	73896384	73896047
44	ENSMUSG00000002010	chrX	-	73782674	73782005	73781789
45	ENSMUSG00000057836	chrX	-	73094960	73094823	73094252
49	ENSMUSG00000023074	chrX	-	53355655	53355652	53347865
53	ENSMUSG00000031099	chrX	-	47887111	47887096	47884203
54	ENSMUSG00000037475	chrX	-	41813949	41813416	41812494
55	ENSMUSG00000037475	chrX	-	41881908	41881904	41879937
56	ENSMUSG00000001134	chrX	-	20961679	20961634	20960019
61	ENSMUSG00000031012	chrX	-	13785936	13785918	13714771
64	ENSMUSG00000051007	chr7	-	141411812	141411797	141410885
68	ENSMUSG00000000392	chr2	-	62502799	62502705	62502515
76	ENSMUSG00000037703	chr2	-	130637284	130636942	130636627
77	ENSMUSG00000015133	chr7	-	66266490	66266459	66265541
78	ENSMUSG00000026867	chr2	-	34706740	34706697	34706139
79	ENSMUSG00000026867	chr2	-	34717315	34717252	34715330
80	ENSMUSG00000021068	chr12	-	70025406	70025379	70021031
81	ENSMUSG00000024268	chr18	-	25491140	25491080	25486965
90	ENSMUSG00000036067	chr2	-	27023534	27023087	27022864
91	ENSMUSG00000026924	chr2	-	26415306	26415281	26414445
92	ENSMUSG00000026927	chr2	-	26385540	26385497	26384821
93	ENSMUSG00000026927	chr2	-	26385989	26385497	26384821
94	ENSMUSG00000026927	chr2	-	26385540	26385497	26385145
95	ENSMUSG00000026927	chr2	-	26385989	26385497	26385145
96	ENSMUSG00000036281	chr2	-	26372758	26372730	26370880
97	ENSMUSG00000036281	chr2	-	26378493	26378449	26378067
99	ENSMUSG00000026958	chr2	-	25355813	25355809	25355721
106	ENSMUSG00000034101	chr2	-	84650405	84650320	84622082
107	ENSMUSG00000034101	chr2	-	84650405	84650320	84626137
110	ENSMUSG00000026767	chr2	-	12356904	12356900	12355364
111	ENSMUSG00000058594	chr2	-	11769775	11769749	11767711
123	ENSMUSG00000017210	chr11	-	98728784	98728777	98728697
125	ENSMUSG00000025221	chr19	-	45797090	45796278	45795704
126	ENSMUSG00000025188	chr19	-	42766709	42766685	42766216
130	ENSMUSG00000039021	chr2	-	32775047	32774793	32774557
131	ENSMUSG00000024798	chr19	-	35969308	35969303	35960399
132	ENSMUSG00000025656	chrX	-	95054942	95054880	95054290
133	ENSMUSG00000025656	chrX	-	95165592	95165588	95131015
134	ENSMUSG00000097855	chr19	-	29520847	29520773	29500079
135	ENSMUSG00000097855	chr19	-	29520847	29520773	29510329
136	ENSMUSG00000032480	chr9	-	110084780	110084728	110084646
137	ENSMUSG00000032480	chr9	-	110115490	110115035	110113090
141	ENSMUSG00000035735	chr19	-	10271010	10270987	10269325
142	ENSMUSG00000035735	chr19	-	10271010	10270987	10269818
144	ENSMUSG00000054874	chr19	-	5683306	5683276	5681553
145	ENSMUSG00000054874	chr19	-	5683306	5683276	5681574
146	ENSMUSG00000030322	chr6	-	115848905	115848394	115845617
148	ENSMUSG00000056153	chr18	-	88887212	88887208	88762168
149	ENSMUSG00000056153	chr18	-	88887212	88887208	88887065
152	ENSMUSG00000007833	chr7	-	45149663	45149300	45148740
154	ENSMUSG00000001120	chr10	-	76785139	76785070	76781873
158	ENSMUSG00000024454	chr18	-	37941707	37941378	37941110
161	ENSMUSG00000006289	chr14	-	50917453	50917382	50917310
163	ENSMUSG00000036845	chr7	-	30557882	30557849	30557676
165	ENSMUSG00000035478	chr10	-	80399217	80399121	80395595
169	ENSMUSG00000033016	chr18	-	80635690	80635401	80608025
171	ENSMUSG00000042625	chr17	-	56571256	56571209	56569022
172	ENSMUSG00000042625	chr17	-	56578640	56578636	56577905
173	ENSMUSG00000042625	chr17	-	56578692	56578636	56577905
174	ENSMUSG00000042625	chr17	-	56578692	56578640	56577905
182	ENSMUSG00000050323	chr4	-	11073143	11073139	11070322
