	GeneID	chr	strand	shortSplice	longSplice	shareSplice
0	ENSMUSG00000068457	chrY	-	1170954	1171002	1174727
11	ENSMUSG00000025283	chrX	-	155213937	155213958	155214032
12	ENSMUSG00000045180	chrX	-	152617355	152617453	152618900
13	ENSMUSG00000045180	chrX	-	152619446	152619639	152623125
14	ENSMUSG00000045180	chrX	-	152623317	152623335	152644393
15	ENSMUSG00000045180	chrX	-	152623317	152623335	152657423
16	ENSMUSG00000087403	chrX	-	152298874	152298887	152327160
23	ENSMUSG00000025266	chrX	-	151014089	151014150	151017200
24	ENSMUSG00000025272	chrX	-	150646119	150649655	150650433
27	ENSMUSG00000025269	chrX	-	150586045	150586066	150587042
29	ENSMUSG00000031278	chrX	-	142351615	142351618	142360386
30	ENSMUSG00000031278	chrX	-	142351615	142351908	142360386
31	ENSMUSG00000031278	chrX	-	142351618	142351908	142360386
32	ENSMUSG00000044348	chrX	-	137015382	137016339	137027989
33	ENSMUSG00000044348	chrX	-	137016335	137016339	137027989
37	ENSMUSG00000009941	chrX	-	134949866	134949884	134950346
42	ENSMUSG00000051323	chrX	-	133625438	133625441	133632894
43	ENSMUSG00000025665	chrX	-	111400269	111400284	111404677
44	ENSMUSG00000025665	chrX	-	111463098	111463101	111463270
46	ENSMUSG00000031229	chrX	-	105832577	105832591	105836309
47	ENSMUSG00000031229	chrX	-	105880015	105880018	105884306
48	ENSMUSG00000031229	chrX	-	105880015	105880018	105887714
49	ENSMUSG00000031323	chrX	-	102903763	102903846	102904749
52	ENSMUSG00000031310	chrX	-	101416975	101416981	101417286
56	ENSMUSG00000057421	chrX	-	95953303	95955211	95955874
57	ENSMUSG00000035062	chrX	-	95642326	95642358	95643307
58	ENSMUSG00000035062	chrX	-	95643459	95643480	95645306
60	ENSMUSG00000087396	chrX	-	75709406	75710703	75727457
63	ENSMUSG00000031399	chrX	-	74387084	74387105	74387437
64	ENSMUSG00000031399	chrX	-	74387751	74387806	74390473
67	ENSMUSG00000031392	chrX	-	74017430	74017511	74017900
68	ENSMUSG00000031392	chrX	-	74017430	74017511	74018129
69	ENSMUSG00000031392	chrX	-	74022661	74022664	74022848
70	ENSMUSG00000031386	chrX	-	73947514	73947517	73947841
71	ENSMUSG00000031386	chrX	-	73948286	73948418	73948901
72	ENSMUSG00000031389	chrX	-	73896992	73896997	73897080
73	ENSMUSG00000031389	chrX	-	73898013	73898046	73898131
74	ENSMUSG00000031389	chrX	-	73900385	73900469	73900634
75	ENSMUSG00000031389	chrX	-	73905863	73905893	73906156
80	ENSMUSG00000031400	chrX	-	74412477	74412480	74413863
81	ENSMUSG00000062949	chrX	-	60260297	60260306	60261651
82	ENSMUSG00000085998	chrX	-	53713749	53713857	53715266
83	ENSMUSG00000036022	chrX	-	53259018	53259021	53259840
84	ENSMUSG00000085396	chrX	-	50627250	50627309	50630890
85	ENSMUSG00000036916	chrX	-	48578529	48578556	48588702
86	ENSMUSG00000036916	chrX	-	48578529	48578556	48591672
87	ENSMUSG00000037475	chrX	-	41802986	41802992	41803455
88	ENSMUSG00000037475	chrX	-	41812494	41812575	41813229
89	ENSMUSG00000037475	chrX	-	41812494	41812575	41813949
90	ENSMUSG00000037475	chrX	-	41872679	41872686	41873881
91	ENSMUSG00000031095	chrX	-	38545600	38545616	38546691
92	ENSMUSG00000036502	chrX	-	38224669	38225125	38233102
93	ENSMUSG00000054737	chrX	-	21060523	21060528	21061893
94	ENSMUSG00000054737	chrX	-	21060523	21060557	21061893
95	ENSMUSG00000054737	chrX	-	21060528	21060557	21061893
96	ENSMUSG00000054737	chrX	-	21060528	21060557	21061937
97	ENSMUSG00000054737	chrX	-	21060523	21060528	21061942
102	ENSMUSG00000041096	chrX	-	152340197	152340380	152341539
107	ENSMUSG00000025144	chr11	-	120712539	120712712	120713692
108	ENSMUSG00000025144	chr11	-	120711756	120711895	120713692
109	ENSMUSG00000040699	chr11	-	106159414	106159442	106159812
110	ENSMUSG00000040699	chr11	-	106159414	106159442	106160050
111	ENSMUSG00000040699	chr11	-	106159414	106159442	106160359
112	ENSMUSG00000026245	chr1	-	78480013	78480111	78482307
119	ENSMUSG00000034903	chr2	-	65099389	65099392	65102068
120	ENSMUSG00000034903	chr2	-	65151164	65151167	65238362
121	ENSMUSG00000000392	chr2	-	62547875	62547892	62548569
122	ENSMUSG00000026980	chr2	-	60332956	60332960	60334449
124	ENSMUSG00000073643	chr1	-	79707571	79707582	79709092
133	ENSMUSG00000036249	chr2	-	51932519	51932523	51934831
134	ENSMUSG00000003166	chr16	-	17858570	17858579	17859403
135	ENSMUSG00000003166	chr16	-	17859523	17859526	17872562
136	ENSMUSG00000026761	chr2	-	48910242	48910294	48912561
137	ENSMUSG00000026761	chr2	-	48910245	48910294	48917164
140	ENSMUSG00000026885	chr2	-	35889370	35889380	35890271
147	ENSMUSG00000002550	chr2	-	32258419	32258667	32259579
151	ENSMUSG00000015290	chrX	-	74367909	74368010	74368152
152	ENSMUSG00000075415	chr2	-	31036254	31036257	31036541
153	ENSMUSG00000075415	chr2	-	31053080	31053137	31054023
154	ENSMUSG00000075415	chr2	-	31053080	31053167	31054023
155	ENSMUSG00000075415	chr2	-	31053137	31053167	31054023
156	ENSMUSG00000039686	chr2	-	30110381	30110420	30110661
166	ENSMUSG00000026924	chr2	-	26416228	26416257	26416370
167	ENSMUSG00000026927	chr2	-	26385609	26386063	26386903
168	ENSMUSG00000036281	chr2	-	26374560	26374564	26374642
169	ENSMUSG00000026958	chr2	-	25355028	25355953	25356028
