ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSMUSG00000069049"	"Eif2s3y"	chrY	+	1016056	1017508	1016056	1016191	1017363	1017508	1	134,165,293,98	0,3,0,0	221,335,307,235	0,0,0,0	298	149	0.322174693794282	0.567901155162801	1.0,0.965,1.0,1.0	1.0,1.0,1.0,1.0	-0.009
2	"ENSMUSG00000056673"	"Kdm5d"	chrY	+	914024	916760	914024	914183	916640	916760	2	5,14,14,7	24,63,55,31	14,23,6,13	47,52,58,62	298	149	0.848511324231041	0.961195903108812	0.094,0.1,0.113,0.101	0.13,0.181,0.049,0.095	-0.012
4	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	166385390	166388988	166385390	166385481	166386951	166388988	4	2696,2930,4749,3416	106,131,212,116	3774,4524,3860,3593	182,165,184,148	298	149	0.447288747241158	0.67833357966354	0.927,0.918,0.918,0.936	0.912,0.932,0.913,0.924	0.005
5	"ENSMUSG00000038344"	"Txlng"	chrX	-	162786616	162787678	162786616	162786691	162787558	162787678	5	24,18,46,23	15,23,39,16	36,50,34,41	13,28,17,19	298	149	0.00481368953723216	0.0668938146589187	0.444,0.281,0.371,0.418	0.581,0.472,0.5,0.519	-0.14
6	"ENSMUSG00000038344"	"Txlng"	chrX	-	162811291	162811595	162811291	162811388	162811535	162811595	6	54,103,140,87	3,1,7,6	82,113,141,90	5,11,11,11	296	149	0.0141997385004315	0.109492607091204	0.901,0.981,0.91,0.88	0.892,0.838,0.866,0.805	0.068
7	"ENSMUSG00000025332"	"Kdm5c"	chrX	+	152244872	152245283	152244872	152244996	152245101	152245283	7	0,0,1,2	71,83,149,119	0,2,2,0	87,136,115,104	254	149	0.623852652621375	0.816109130473245	0.0,0.0,0.004,0.01	0.0,0.009,0.01,0.0	-0.001
8	"ENSMUSG00000025262"	"Fam120c"	chrX	+	151467299	151467856	151467299	151467438	151467798	151467856	8	40,58,65,31	73,82,97,109	73,50,60,56	100,112,127,115	298	149	0.999202115572178	0.999202115572178	0.215,0.261,0.251,0.124	0.267,0.182,0.191,0.196	0.004
9	"ENSMUSG00000025268"	"Maged2"	chrX	-	150808720	150809152	150808720	150808783	150809109	150809152	9	21,26,42,24	242,308,346,380	48,39,48,32	337,316,258,270	298	149	0.00229275180511024	0.048705585141621	0.042,0.04,0.057,0.031	0.066,0.058,0.085,0.056	-0.024
10	"ENSMUSG00000025268"	"Maged2"	chrX	-	150811822	150812314	150811822	150811948	150812155	150812314	10	683,716,819,1017	2,10,5,11	870,776,830,776	4,10,8,6	298	149	0.999202115572178	0.999202115572178	0.994,0.973,0.988,0.979	0.991,0.975,0.981,0.985	0.001
11	"ENSMUSG00000025272"	"Tro"	chrX	-	150645693	150649655	150645693	150646119	150649464	150649655	11	562,662,839,681	0,0,0,0	850,938,802,779	0,1,0,0	298	149	0.120933395597723	0.349363142837866	1.0,1.0,1.0,1.0	1.0,0.998,1.0,1.0	0.0
12	"ENSMUSG00000025272"	"Tro"	chrX	-	150650976	150651458	150650976	150651039	150651415	150651458	12	107,150,204,96	192,196,223,243	190,227,162,204	198,313,244,256	298	149	0.121310665271519	0.349546731125253	0.218,0.277,0.314,0.165	0.324,0.266,0.249,0.285	-0.038
