	GeneID	chr	strand	1stExonStart	1stExonEnd	2ndExonStart	2ndExonEnd	upstreamEE	downstreamES
7	ENSMUSG00000069049	chrY	+	1011259	1011323	1011839	1011967	1010685	1012047
8	ENSMUSG00000035299	chrX	+	169966062	169966158	169976921	169977029	169927555	169981884
9	ENSMUSG00000079317	chrX	+	166446790	166446902	166449787	166449903	166440839	166452136
10	ENSMUSG00000031342	chrX	+	166353564	166353684	166367027	166367174	166345081	166372637
11	ENSMUSG00000031342	chrX	+	166379987	166380159	166382448	166382522	166375789	166383934
12	ENSMUSG00000031342	chrX	+	166382448	166382522	166383934	166384000	166380159	166385390
13	ENSMUSG00000031342	chrX	+	166382448	166382522	166383934	166384000	166380159	166386951
14	ENSMUSG00000031342	chrX	+	166383934	166384000	166385390	166385481	166382522	166386951
15	ENSMUSG00000031380	chrX	+	164385803	164386029	164391601	164391792	164373919	164394432
16	ENSMUSG00000031360	chrX	+	163000061	163000158	163011061	163011206	162996760	163029766
17	ENSMUSG00000031295	chrX	+	160502746	160502904	160523271	160523430	160502292	160527729
18	ENSMUSG00000031295	chrX	+	160502752	160502904	160523271	160523430	160502292	160527729
19	ENSMUSG00000031295	chrX	+	160588964	160589018	160590167	160590368	160586949	160590938
22	ENSMUSG00000041133	chrX	+	152041326	152041468	152046894	152047048	152037697	152047857
23	ENSMUSG00000025261	chrX	+	151806719	151806860	151835223	151835292	151803569	151840055
24	ENSMUSG00000025262	chrX	+	151457721	151457836	151463968	151464178	151436394	151465282
28	ENSMUSG00000041718	chrX	+	144319898	144320002	144320002	144320061	144318121	144322011
29	ENSMUSG00000041718	chrX	+	144363864	144364107	144367898	144367939	144356961	144369560
30	ENSMUSG00000031284	chrX	+	143712277	143712340	143713893	143713938	143709748	143715135
31	ENSMUSG00000047045	chrX	+	142682290	142682949	142805989	142806068	142681556	142832500
32	ENSMUSG00000047045	chrX	+	142682290	142682949	142752039	142752089	142681939	142770966
33	ENSMUSG00000047045	chrX	+	142834184	142834393	142841582	142841645	142832601	142842409
35	ENSMUSG00000031274	chrX	+	141658531	141658540	141664675	141664684	141656870	141666841
36	ENSMUSG00000079418	chrX	+	140988165	140988237	140988279	140988365	140986389	140990157
38	ENSMUSG00000087368	chrX	+	136759855	136759918	136760417	136760575	136758758	136761990
39	ENSMUSG00000087368	chrX	+	136759855	136759918	136761990	136762088	136758758	136788520
40	ENSMUSG00000087368	chrX	+	136760417	136760575	136761990	136762088	136759918	136788520
41	ENSMUSG00000087368	chrX	+	136761990	136762088	136788520	136788617	136760575	136802851
43	ENSMUSG00000044550	chrX	+	136592858	136592963	136639726	136639846	136590931	136644994
44	ENSMUSG00000044550	chrX	+	136594201	136594250	136639726	136639846	136592963	136644994
45	ENSMUSG00000043384	chrX	+	135743441	135743522	135743562	135743614	135742978	135744498
46	ENSMUSG00000043384	chrX	+	135796141	135796336	135796948	135797037	135752017	135797552
47	ENSMUSG00000043384	chrX	+	135796141	135796336	135797552	135797629	135752017	135797787
48	ENSMUSG00000043384	chrX	+	135796948	135797037	135797552	135797629	135796336	135797787
49	ENSMUSG00000043384	chrX	+	135797552	135797629	135797787	135797864	135752017	135798022
50	ENSMUSG00000043384	chrX	+	135797552	135797629	135797787	135797864	135797037	135798022
51	ENSMUSG00000043384	chrX	+	135797787	135797864	135798022	135798094	135797629	135798390
53	ENSMUSG00000049804	chrX	+	134687147	134687225	134688016	134688106	134686637	134688449
54	ENSMUSG00000049804	chrX	+	134688016	134688106	134688449	134688532	134687225	134688819
58	ENSMUSG00000034480	chrX	+	129825926	129825947	129902899	129903039	129821343	129939244
59	ENSMUSG00000034755	chrX	+	120594704	120594785	120637594	120637624	120401897	120726500
60	ENSMUSG00000034755	chrX	+	120811139	120811163	120899554	120899700	120726699	120905697
61	ENSMUSG00000025597	chrX	+	114522298	114522435	114525631	114525828	114521779	114530022
62	ENSMUSG00000025597	chrX	+	114525631	114525828	114530022	114530154	114522435	114543001
