	GeneID	chr	strand	SeStart	SeEnd	upstreamEnd	DownstreamStart
21	ENSMUSG00000069049	chrY	+	1011259	1011323	1010685	1011839
22	ENSMUSG00000069049	chrY	+	1011259	1011323	1010685	1012047
23	ENSMUSG00000069049	chrY	+	1011839	1011967	1010685	1012047
24	ENSMUSG00000069049	chrY	+	1011839	1011967	1011323	1012047
25	ENSMUSG00000069049	chrY	+	1013378	1013473	1012169	1014633
26	ENSMUSG00000069049	chrY	+	1016589	1016684	1016191	1017363
27	ENSMUSG00000069049	chrY	+	1019985	1020155	1017508	1023301
28	ENSMUSG00000069049	chrY	+	1023301	1023474	1017508	1028187
29	ENSMUSG00000056673	chrY	+	898549	898627	898115	899427
30	ENSMUSG00000056673	chrY	+	914024	914183	910849	916640
31	ENSMUSG00000035299	chrX	+	169966062	169966158	169927555	169976921
32	ENSMUSG00000035299	chrX	+	169976921	169977029	169966158	169981884
33	ENSMUSG00000035299	chrX	+	169981884	169982033	169979538	169983955
34	ENSMUSG00000035299	chrX	+	169982476	169982541	169982033	169983955
35	ENSMUSG00000087159	chrX	+	169321754	169321833	169320697	169322749
36	ENSMUSG00000087159	chrX	+	169330697	169330779	169323101	169360986
38	ENSMUSG00000031355	chrX	+	169295041	169295131	169282058	169298420
39	ENSMUSG00000031355	chrX	+	169298420	169298469	169282058	169300062
40	ENSMUSG00000031355	chrX	+	169300062	169300337	169282058	169301755
52	ENSMUSG00000079317	chrX	+	166446790	166446902	166440839	166449787
53	ENSMUSG00000079317	chrX	+	166449787	166449903	166446902	166452136
56	ENSMUSG00000031342	chrX	+	166353564	166353684	166239136	166367027
57	ENSMUSG00000031342	chrX	+	166353564	166353684	166239136	166372637
58	ENSMUSG00000031342	chrX	+	166353564	166353684	166345081	166367027
59	ENSMUSG00000031342	chrX	+	166353564	166353684	166345081	166372637
60	ENSMUSG00000031342	chrX	+	166367027	166367174	166239136	166372637
61	ENSMUSG00000031342	chrX	+	166367027	166367174	166345081	166372637
62	ENSMUSG00000031342	chrX	+	166367027	166367174	166353684	166372637
63	ENSMUSG00000031342	chrX	+	166372637	166372824	166239136	166375632
64	ENSMUSG00000031342	chrX	+	166379987	166380159	166375789	166382448
65	ENSMUSG00000031342	chrX	+	166382448	166382522	166380159	166383934
66	ENSMUSG00000031342	chrX	+	166383934	166384000	166382522	166385390
67	ENSMUSG00000031342	chrX	+	166383934	166384000	166382522	166386951
68	ENSMUSG00000031342	chrX	+	166385390	166385481	166382522	166386951
69	ENSMUSG00000031342	chrX	+	166385390	166385481	166384000	166386951
70	ENSMUSG00000040621	chrX	+	166176844	166177079	166170550	166178791
71	ENSMUSG00000040621	chrX	+	166178533	166178642	166170550	166178791
72	ENSMUSG00000040621	chrX	+	166180352	166180809	166178830	166189243
73	ENSMUSG00000040621	chrX	+	166180445	166180809	166178830	166189243
77	ENSMUSG00000047757	chrX	+	164991544	164991688	164987797	164992730
