ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
2	"ENSMUSG00000056673"	"Kdm5d"	chrY	+	914024	916760	916640	916760	910685	910849
8	"ENSMUSG00000031342"	"Gpm6b"	chrX	+	166385390	166388988	166386951	166388988	166382448	166382522
12	"ENSMUSG00000047757"	"Fancb"	chrX	+	164995886	164996121	164995978	164996121	164995343	164995422
19	"ENSMUSG00000045180"	"Shroom2"	chrX	-	152623125	152623335	152623125	152623317	152644393	152644543
22	"ENSMUSG00000025261"	"Huwe1"	chrX	+	151806271	151806407	151806275	151806407	151800882	151800946
23	"ENSMUSG00000025261"	"Huwe1"	chrX	+	151806271	151806407	151806275	151806407	151801313	151801366
25	"ENSMUSG00000025261"	"Huwe1"	chrX	+	151806271	151806407	151806275	151806407	151804445	151804540
27	"ENSMUSG00000025261"	"Huwe1"	chrX	+	151908727	151908956	151908730	151908956	151907275	151907444
29	"ENSMUSG00000025272"	"Tro"	chrX	-	150645693	150649655	150645693	150646119	150650433	150650548
37	"ENSMUSG00000044348"	"Slc25a53"	chrX	-	137015256	137016339	137015256	137015382	137027989	137028154
38	"ENSMUSG00000044348"	"Slc25a53"	chrX	-	137016248	137016339	137016248	137016335	137027989	137028154
40	"ENSMUSG00000044550"	"Tceal3"	chrX	+	136667059	136667190	136667123	136667190	136666610	136666664
43	"ENSMUSG00000049047"	"Armcx3"	chrX	+	134757235	134757342	134757263	134757342	134756646	134756885
46	"ENSMUSG00000031256"	"Cstf2"	chrX	+	134073135	134073277	134073213	134073277	134072414	134072474
47	"ENSMUSG00000031256"	"Cstf2"	chrX	+	134073135	134073277	134073213	134073277	134072677	134072764
50	"ENSMUSG00000025665"	"Rps6ka6"	chrX	-	111462849	111463101	111462849	111463098	111463270	111463455
64	"ENSMUSG00000057421"	"Las1l"	chrX	-	95953221	95955211	95953221	95953303	95955874	95956000
68	"ENSMUSG00000043549"	"4932442L08Rik"	chrX	-	94365658	94365856	94365658	94365743	94366630	94366777
69	"ENSMUSG00000033460"	"Armcx1"	chrX	+	134718655	134718818	134718725	134718818	134718369	134718461
70	"ENSMUSG00000087396"	"4933407K13Rik"	chrX	-	75709243	75710703	75709243	75709406	75727457	75727518
77	"ENSMUSG00000031392"	"Irak1"	chrX	-	74017129	74017511	74017129	74017430	74017900	74018017
105	"ENSMUSG00000036916"	"Zfp280c"	chrX	-	48578379	48578556	48578379	48578529	48591672	48591761
107	"ENSMUSG00000037475"	"Thoc2"	chrX	-	41812458	41812575	41812458	41812494	41813229	41813715
