refseq_mrna_predicted	ensembl_transcript_id
XM_006495596	ENSMUST00000170146
XM_006495613	ENSMUST00000191565
XM_006495840	ENSMUST00000186733
XM_006495929	ENSMUST00000238212
XM_006495988	ENSMUST00000188073
XM_006496037	ENSMUST00000160834
XM_006496041	ENSMUST00000195860
XM_006496111	ENSMUST00000048860
XM_006496302	ENSMUST00000095014
XM_006496351	ENSMUST00000114086
XM_006496541	ENSMUST00000190679
XM_006496734	ENSMUST00000121146
XM_006496773	ENSMUST00000111525
XM_006497233	ENSMUST00000016315
XM_006498369	ENSMUST00000041555
XM_006498371	ENSMUST00000148660
XM_006499112	ENSMUST00000103239
XM_006499196	ENSMUST00000090849
XM_006499256	ENSMUST00000090582
XM_006499387	ENSMUST00000109266
XM_006500198	ENSMUST00000046399
XM_006500254	ENSMUST00000069747
XM_006500260	ENSMUST00000017864
XM_006500310	ENSMUST00000111238
XM_006500428	ENSMUST00000168916
XM_006500443	ENSMUST00000016072
XM_006500455	ENSMUST00000028608
XM_006500713	ENSMUST00000029106
XM_006500840	ENSMUST00000045743
XM_006501057	ENSMUST00000239069
XM_006501283	ENSMUST00000196398
XM_006501359	ENSMUST00000199754
XM_006501656	ENSMUST00000107679
XM_006501847	ENSMUST00000177434
XM_006501866	ENSMUST00000090938
XM_006501984	ENSMUST00000118853
XM_006502056	ENSMUST00000090178
XM_006502128	ENSMUST00000065664
XM_006502400	ENSMUST00000051849
XM_006502475	ENSMUST00000238670
XM_006502862	ENSMUST00000030687
XM_006503448	ENSMUST00000049081
XM_006503828	ENSMUST00000076623
XM_006504003	ENSMUST00000087264
XM_006504682	ENSMUST00000085758
XM_006504721	ENSMUST00000031521
XM_006504952	ENSMUST00000031554
XM_006505473	ENSMUST00000066905
XM_006505623	ENSMUST00000032192
XM_006505954	ENSMUST00000067307
XM_006506400	ENSMUST00000032179
XM_006506963	ENSMUST00000042812
XM_006507437	ENSMUST00000033040
XM_006507449	ENSMUST00000040056
XM_006507945	ENSMUST00000076272
XM_006508226	ENSMUST00000122116
XM_006508227	ENSMUST00000120267
XM_006508232	ENSMUST00000138267
XM_006508491	ENSMUST00000185383
XM_006508653	ENSMUST00000165147
XM_006509213	ENSMUST00000038174
XM_006509765	ENSMUST00000093444
XM_006510022	ENSMUST00000003501
XM_006510465	ENSMUST00000215847
XM_006511221	ENSMUST00000042158
XM_006512619	ENSMUST00000219478
XM_006513083	ENSMUST00000072020
XM_006513527	ENSMUST00000219765
XM_006513706	ENSMUST00000020289
XM_006514067	ENSMUST00000164199
XM_006515157	ENSMUST00000071858
XM_006515380	ENSMUST00000052969
XM_006515382	ENSMUST00000021605
XM_006515690	ENSMUST00000221919
XM_006515824	ENSMUST00000095737
XM_006515895	ENSMUST00000042779
XM_006516054	ENSMUST00000110570
XM_006516487	ENSMUST00000021614
XM_006516628	ENSMUST00000006391
XM_006516638	ENSMUST00000021770
XM_006518050	ENSMUST00000052678
XM_006518092	ENSMUST00000224491
XM_006518105	ENSMUST00000022272
XM_006518321	ENSMUST00000176912
XM_006518999	ENSMUST00000227662
XM_006519156	ENSMUST00000088970
XM_006519199	ENSMUST00000038229
