ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1	"ENSMUSG00000069049"	"Eif2s3y"	chrY	+	1016056	1017508	1016056	1016191	1017363	1017508
31	"ENSMUSG00000033460"	"Armcx1"	chrX	+	134718369	134718818	134718369	134718461	134718655	134718818
48	"ENSMUSG00000031385"	"Plxnb3"	chrX	+	73766940	73767672	73766940	73767180	73767520	73767672
49	"ENSMUSG00000057836"	"Xlr3a"	chrX	-	73090858	73093304	73090858	73090958	73093269	73093304
95	"ENSMUSG00000036067"	"Slc2a6"	chr2	-	27023534	27024793	27023534	27023643	27024584	27024793
107	"ENSMUSG00000026958"	"Dpp7"	chr2	-	25353152	25354293	25353152	25353217	25354232	25354293
109	"ENSMUSG00000026958"	"Dpp7"	chr2	-	25354892	25355953	25354892	25355028	25355813	25355953
151	"ENSMUSG00000028621"	"Cyb5rl"	chr4	+	107068611	107070547	107068611	107068823	107070115	107070547
156	"ENSMUSG00000007610"	"Gtpbp3"	chr8	+	71490334	71491590	71490334	71490537	71491424	71491590
186	"ENSMUSG00000036452"	"Arhgap26"	chr18	+	39357552	39357828	39357552	39357663	39357737	39357828
189	"ENSMUSG00000024454"	"Hdac3"	chr18	-	37940952	37941766	37940952	37941110	37941707	37941766
193	"ENSMUSG00000006289"	"Osgep"	chr14	-	50916799	50917503	50916799	50916865	50917453	50917503
204	"ENSMUSG00000020156"	"Mum1"	chr10	+	80236110	80238920	80236110	80236181	80238859	80238920
266	"ENSMUSG00000061046"	"Haghl"	chr17	-	25784074	25784572	25784074	25784178	25784454	25784572
323	"ENSMUSG00000032409"	"Atr"	chr9	+	95864967	95867685	95864967	95865845	95867493	95867685
328	"ENSMUSG00000027238"	"Frmd5"	chr2	-	121545528	121548023	121545528	121547648	121547971	121548023
344	"ENSMUSG00000022756"	"Slc7a4"	chr16	-	17573555	17574586	17573555	17573664	17574473	17574586
356	"ENSMUSG00000055692"	"Tmem191c"	chr16	+	17277341	17277891	17277341	17277592	17277850	17277891
360	"ENSMUSG00000037552"	"Plekhg2"	chr7	-	28370237	28371042	28370237	28370494	28370877	28371042
380	"ENSMUSG00000006740"	"Kif5b"	chr18	-	6210699	6211252	6210699	6210804	6211191	6211252
381	"ENSMUSG00000026754"	"Golga1"	chr2	-	39047022	39047766	39047022	39047134	39047585	39047766
388	"ENSMUSG00000003360"	"Ddx23"	chr15	-	98651917	98652981	98651917	98652056	98652887	98652981
417	"ENSMUSG00000022550"	"Adck5"	chr15	+	76593937	76594447	76593937	76594051	76594363	76594447
444	"ENSMUSG00000030741"	"Spns1"	chr7	-	126373769	126375203	126373769	126373836	126375066	126375203
464	"ENSMUSG00000038900"	"Rpl12"	chr2	+	32962984	32963853	32962984	32963066	32963740	32963853
515	"ENSMUSG00000021901"	"Bap1"	chr14	+	31257880	31258530	31257880	31258041	31258457	31258530
518	"ENSMUSG00000042286"	"Stab1"	chr14	-	31139743	31140267	31139743	31139848	31140147	31140267
526	"ENSMUSG00000011658"	"Fuz"	chr7	+	44898984	44899386	44898984	44899091	44899311	44899386
529	"ENSMUSG00000021868"	"Ppif"	chr14	+	25696003	25698341	25696003	25696092	25698265	25698341
550	"ENSMUSG00000053332"	"Gas5"	chr1	+	161035982	161037315	161035982	161036014	161036819	161037315
551	"ENSMUSG00000053332"	"Gas5"	chr1	+	161035982	161037315	161035982	161036244	161036819	161037315
599	"ENSMUSG00000030815"	"Phkg2"	chr7	+	127577534	127578029	127577534	127577688	127577974	127578029
616	"ENSMUSG00000025085"	"Ablim1"	chr19	-	57040486	57041975	57040486	57040561	57041914	57041975
619	"ENSMUSG00000053253"	"Ndfip2"	chr14	+	105298002	105304836	105298002	105298127	105304730	105304836
631	"ENSMUSG00000039768"	"Dnajc11"	chr4	+	151977998	151979586	151977998	151978068	151979443	151979586
661	"ENSMUSG00000013858"	"Tmem259"	chr10	-	79977962	79978605	79977962	79978320	79978547	79978605
689	"ENSMUSG00000023764"	"Sfi1"	chr11	-	3133071	3135542	3133071	3133207	3135282	3135542
695	"ENSMUSG00000006301"	"Tmbim1"	chr1	-	74291694	74292888	74291694	74291734	74292834	74292888
704	"ENSMUSG00000039637"	"Coro7"	chr16	-	4634298	4634907	4634298	4634430	4634761	4634907
735	"ENSMUSG00000005883"	"Spo11"	chr2	+	172988930	172990000	172988930	172989030	172989923	172990000
738	"ENSMUSG00000002014"	"Ssr4"	chrX	+	73789799	73790424	73789799	73789874	73790358	73790424
754	"ENSMUSG00000024186"	"Rgs11"	chr17	+	26203461	26204383	26203461	26203512	26204331	26204383
757	"ENSMUSG00000027944"	"Hax1"	chr3	-	89997386	89998003	89997386	89997565	89997801	89998003
758	"ENSMUSG00000027944"	"Hax1"	chr3	-	89997386	89998003	89997386	89997574	89997801	89998003
777	"ENSMUSG00000020329"	"Polrmt"	chr10	-	79737263	79737713	79737263	79737362	79737599	79737713
797	"ENSMUSG00000062906"	"Hdac10"	chr15	-	89126377	89126995	89126377	89126437	89126868	89126995
838	"ENSMUSG00000062729"	"Ppox"	chr1	-	171279429	171280001	171279429	171279593	171279868	171280001
839	"ENSMUSG00000062729"	"Ppox"	chr1	-	171279429	171280522	171279429	171279574	171280387	171280522
849	"ENSMUSG00000025158"	"Rfng"	chr11	-	120782382	120783160	120782382	120782548	120783006	120783160
857	"ENSMUSG00000029868"	"Trpv6"	chr6	-	41626479	41627474	41626479	41626578	41627351	41627474
858	"ENSMUSG00000023015"	"Racgap1"	chr15	-	99634241	99637774	99634241	99634295	99637637	99637774
901	"ENSMUSG00000053754"	"Chd8"	chr14	-	52201630	52202617	52201630	52201747	52202503	52202617
919	"ENSMUSG00000022617"	"Chkb"	chr15	-	89428133	89428827	89428133	89428229	89428713	89428827
973	"ENSMUSG00000028047"	"Thbs3"	chr3	+	89224576	89225006	89224576	89224625	89224897	89225006
988	"ENSMUSG00000026349"	"Ccnt2"	chr1	+	127791604	127795800	127791604	127791733	127795254	127795800
1000	"ENSMUSG00000004933"	"Matk"	chr10	+	81261630	81262156	81261630	81261715	81261960	81262156
1025	"ENSMUSG00000019578"	"Ubxn6"	chr17	-	56069690	56070985	56069690	56069775	56070887	56070985
1027	"ENSMUSG00000031878"	"Nae1"	chr8	-	104527377	104530116	104527377	104527449	104530055	104530116
1073	"ENSMUSG00000026269"	"Rnpepl1"	chr1	+	92916710	92917746	92916710	92916946	92917633	92917746
1114	"ENSMUSG00000061689"	"Dlgap4"	chr2	+	156748022	156748420	156748022	156748102	156748331	156748420
1124	"ENSMUSG00000015790"	"Surf1"	chr2	-	26915595	26916006	26915595	26915784	26915954	26916006
1177	"ENSMUSG00000019822"	"Smpd2"	chr10	-	41488733	41489351	41488733	41488823	41489274	41489351
1189	"ENSMUSG00000019802"	"Sec63"	chr10	+	42796205	42798855	42796205	42796264	42798746	42798855
1203	"ENSMUSG00000026848"	"Tor1b"	chr2	+	30953751	30955953	30953751	30954008	30955777	30955953
1214	"ENSMUSG00000001416"	"Cct3"	chr3	+	88299341	88300991	88299341	88299403	88300928	88300991
